Orthogroup	Mavium	Mlepra
OG0000220	AAS03141.1, AAS03204.1	CAC31090.1
OG0000221	AAS02470.1, AAS03150.1	CAC31079.1
OG0000222	AAS02969.1, AAS03190.1	CAC31049.1
OG0000223	AAS02970.1, AAS03191.1	CAC31048.1
OG0000226	AAS03307.1, AAS05681.1	CAC29763.1
OG0000230	AAS03343.1, AAS05601.1	CAC31910.1
OG0000231	AAS03346.1, AAS05310.1	CAC31907.1
OG0000232	AAS04577.1, AAS04950.1	CAC30462.1
OG0000234	AAS05787.1, AAS04930.1	CAC30445.1
OG0000239	AAS04786.1, AAS03303.1	CAC31509.1
OG0000240	AAS06321.1, AAS04780.1	CAC31514.1
OG0000241	AAS04778.1, AAS02690.1	CAC31516.1
OG0000245	AAS05669.1, AAS03514.1	CAC31622.1
OG0000246	AAS05731.1, AAS03531.1	CAC30755.1
OG0000247	AAS03004.1, AAS03544.1	CAC30751.1
OG0000250	AAS03588.1, AAS06560.1	CAC31594.1
OG0000251	AAS03428.1, AAS03607.1	CAC31607.1
OG0000252	AAS03626.1, AAS06455.1	CAC31657.1
OG0000253	AAS03655.1, AAS06355.1	CAC31770.1
OG0000256	AAS04465.1, AAS03725.1	CAC31746.1
OG0000257	AAS03727.1, AAS03269.1	CAC31748.1
OG0000258	AAS03850.1, AAS05548.1	CAC31038.1
OG0000260	AAS03134.1, AAS03923.1	CAC30986.1
OG0000261	AAS03932.1, AAS03086.1	CAC30978.1
OG0000263	AAS03947.1, AAS04638.1	CAC30965.1
OG0000265	AAS06649.1, AAS04082.1	CAC30374.1
OG0000268	AAS04194.1, AAS04375.1	CAC31682.1
OG0000269	AAS04206.1	CAC31209.1, CAC31303.1
OG0000272	AAS04249.1, AAS03090.1	CAC31263.1
OG0000273	AAS04251.1	CAC31261.1
OG0000274	AAS03738.1, AAS04258.1	CAC31255.1
OG0000275	AAS04274.1, AAS05613.1	CAC31241.1
OG0000276	AAS04312.1, AAS06227.1	CAC30603.1
OG0000279	AAS06323.1, AAS04456.1	CAC30334.1
OG0000280	AAS04485.1, AAS04484.1	CAC30128.1
OG0000284	AAS04998.1, AAS04607.1	CAC31635.1
OG0000286	AAS03987.1, AAS04639.1	CAC29934.1
OG0000287	AAS03984.1, AAS04651.1	CAC31571.1
OG0000288	AAS03366.1, AAS03367.1	CAC30000.1
OG0000289	AAS03742.1, AAS05108.1	CAC31721.1
OG0000290	AAS04922.1, AAS05124.1	CAC30714.1
OG0000291	AAS02701.1, AAS05133.1	CAC31407.1
OG0000292	AAS03182.1, AAS05176.1	CAC31358.1
OG0000293	AAS04185.1, AAS05232.1	CAC30513.1
OG0000295	AAS04493.1, AAS06295.1	CAC31875.1
OG0000296	AAS03739.1, AAS05567.1	CAC30631.1
OG0000297	AAS05568.1	CAC30632.1
OG0000298	AAS04573.1, AAS05573.1	CAC30637.1
OG0000299	AAS05574.1, AAS04572.1	CAC30638.1
OG0000300	AAS05581.1, AAS06230.1	CAC30645.1
OG0000302	AAS05635.1	CAC30677.1, CAC32015.1
OG0000303	AAS03930.1, AAS05641.1	CAC30683.1
OG0000304	AAS06001.1, AAS05675.1	CAC30709.1
OG0000305	AAS06281.1, AAS05720.1	CAC30178.1
OG0000309	AAS03798.1, AAS05862.1	CAC30321.1
OG0000312	AAS05934.1	CAC30256.1
OG0000313	AAS06610.1, AAS02444.1	CAC31795.1
OG0000314	AAS05954.1, AAS05190.1	CAC30235.1
OG0000321	AAS06004.1	CAC30194.1
OG0000324	AAS03282.1, AAS06774.1	CAC30920.1
OG0000325	AAS02896.1, AAS06115.1	CAC31203.1
OG0000328	AAS02747.1, AAS05796.1	CAC29712.1
OG0000329	AAS02986.1, AAS02740.1	CAC29706.1
OG0000330	AAS02715.1, AAS02399.1	CAC31818.1
OG0000331	AAS02635.1, AAS04338.1	CAC31847.1
OG0000333	AAS02538.1, AAS04689.1	CAC29610.1
OG0000334	AAS02537.1	CAC29609.1
OG0000335	AAS02496.1	CAC29572.1, CAC31451.1
OG0000340	AAS03907.1, AAS03951.1, AAS04759.1, AAS03693.1	CAC30996.1
OG0000342	AAS02318.1	CAC29509.1
OG0000343	AAS02319.1	CAC29510.1
OG0000344	AAS02320.1	CAC29511.1
OG0000345	AAS02321.1	CAC29512.1
OG0000346	AAS02322.1	CAC29513.1
OG0000347	AAS02323.1	CAC29514.1
OG0000348	AAS02328.1	CAC29519.1
OG0000349	AAS02330.1	CAC29521.1
OG0000350	AAS02332.1	CAC29523.1
OG0000351	AAS02333.1	CAC29524.1
OG0000352	AAS02335.1	CAC29525.1
OG0000353	AAS02336.1	CAC29526.1
OG0000354	AAS02337.1	CAC29527.1
OG0000355	AAS02338.1	CAC29528.1
OG0000356	AAS02339.1	CAC29529.1
OG0000357	AAS02340.1	CAC29530.1
OG0000359	AAS02362.1	CAC29536.1
OG0000360	AAS02364.1	CAC29539.1
OG0000361	AAS02365.1	CAC29540.1
OG0000362	AAS02367.1	CAC32228.1
OG0000364	AAS02378.1	CAC32223.1
OG0000365	AAS02380.1	CAC32221.1
OG0000366	AAS02381.1	CAC32220.1
OG0000367	AAS02382.1	CAC32219.1
OG0000368	AAS02384.1	CAC32217.1
OG0000369	AAS02385.1	CAC32216.1
OG0000370	AAS02386.1	CAC32215.1
OG0000371	AAS02387.1	CAC32214.1
OG0000372	AAS02388.1	CAC32212.1
OG0000373	AAS06006.1	CAC32204.1
OG0000375	AAS04614.1	CAC30953.1
OG0000377	AAS06048.1	CAC32203.1
OG0000378	AAS06064.1	CAC32202.1
OG0000380	AAS06070.1	CAC32196.1
OG0000381	AAS06074.1	CAC32193.1
OG0000382	AAS06077.1	CAC32191.1
OG0000384	AAS06104.1	CAC32179.1
OG0000387	AAS06114.1	CAC32172.1
OG0000388	AAS06116.1	CAC32171.1
OG0000390	AAS06122.1	CAC32168.1
OG0000391	AAS06123.1	CAC32167.1
OG0000392	AAS06124.1	CAC32166.1
OG0000393	AAS06128.1	CAC32163.1
OG0000394	AAS06160.1	CAC32127.1
OG0000395	AAS06161.1	CAC32128.1
OG0000396	AAS06162.1	CAC32129.1
OG0000397	AAS06163.1	CAC32130.1
OG0000398	AAS06166.1	CAC32132.1
OG0000399	AAS06172.1	CAC32135.1
OG0000400	AAS06173.1	CAC32136.1
OG0000401	AAS06174.1	CAC32137.1
OG0000402	AAS06181.1	CAC32140.1
OG0000403	AAS06187.1	CAC32149.1
OG0000405	AAS06189.1	CAC32150.1
OG0000406	AAS06191.1	CAC32152.1
OG0000407	AAS06192.1	CAC32153.1
OG0000408	AAS06193.1	CAC32154.1
OG0000409	AAS06196.1	CAC32156.1
OG0000410	AAS06202.1	CAC32159.1
OG0000411	AAS06213.1	CAC32116.1
OG0000412	AAS06214.1	CAC32115.1
OG0000413	AAS06215.1	CAC32114.1
OG0000414	AAS06216.1	CAC32113.1
OG0000415	AAS06217.1	CAC32112.1
OG0000416	AAS06223.1	CAC32105.1
OG0000417	AAS06236.1	CAC32102.1
OG0000418	AAS06238.1	CAC32100.1
OG0000419	AAS06239.1	CAC32099.1
OG0000420	AAS06241.1	CAC32097.1
OG0000421	AAS06242.1	CAC32096.1
OG0000422	AAS06243.1	CAC32095.1
OG0000423	AAS06246.1	CAC32092.1
OG0000424	AAS06250.1	CAC32088.1
OG0000425	AAS06258.1	CAC32081.1
OG0000426	AAS06259.1	CAC32080.1
OG0000427	AAS06264.1	CAC32077.1
OG0000430	AAS06328.1	CAC32068.1
OG0000431	AAS06329.1	CAC32067.1
OG0000432	AAS06330.1	CAC32066.1
OG0000433	AAS06335.1	CAC32061.1
OG0000434	AAS06336.1	CAC32060.1
OG0000435	AAS06337.1	CAC32059.1
OG0000436	AAS06338.1	CAC32058.1
OG0000439	AAS06346.1	CAC32053.1
OG0000442	AAS06370.1	CAC32024.1
OG0000444	AAS06378.1	CAC32020.1
OG0000445	AAS06380.1	CAC32019.1
OG0000446	AAS06381.1	CAC32018.1
OG0000447	AAS06391.1	CAC32012.1
OG0000448	AAS06393.1	CAC32010.1
OG0000449	AAS06419.1	CAC29788.1
OG0000450	AAS06417.1	CAC29789.1
OG0000451	AAS06414.1	CAC29792.1
OG0000452	AAS06413.1	CAC29793.1
OG0000453	AAS06412.1	CAC29795.1
OG0000454	AAS06409.1	CAC32002.1
OG0000455	AAS06407.1	CAC32004.1
OG0000456	AAS06405.1	CAC32006.1
OG0000457	AAS06403.1	CAC32007.1
OG0000458	AAS06422.1	CAC29784.1
OG0000459	AAS06423.1	CAC29783.1
OG0000460	AAS06430.1	CAC29779.1
OG0000461	AAS06433.1	CAC29778.1
OG0000462	AAS06443.1	CAC29812.1
OG0000463	AAS06444.1	CAC29811.1
OG0000464	AAS06447.1	CAC29808.1
OG0000465	AAS06448.1	CAC29807.1
OG0000466	AAS06449.1	CAC29806.1
OG0000467	AAS06450.1	CAC29805.1
OG0000469	AAS06462.1	CAC29803.1
OG0000470	AAS06463.1	CAC29802.1
OG0000471	AAS06465.1	CAC30887.1
OG0000472	AAS06468.1	CAC30884.1
OG0000473	AAS06469.1	CAC30882.1
OG0000474	AAS06470.1	CAC30881.1
OG0000476	AAS06479.1	CAC29818.1
OG0000477	AAS06480.1	CAC29819.1
OG0000478	AAS06498.1	CAC31896.1
OG0000479	AAS06506.1	CAC31903.1
OG0000480	AAS06507.1	CAC31904.1
OG0000481	AAS06508.1	CAC31982.1
OG0000482	AAS06510.1	CAC31980.1
OG0000483	AAS06512.1	CAC31978.1
OG0000484	AAS06515.1	CAC31974.1
OG0000485	AAS06518.1	CAC31971.1
OG0000486	AAS06519.1	CAC31970.1
OG0000487	AAS06520.1	CAC31969.1
OG0000488	AAS06521.1	CAC31968.1
OG0000489	AAS06522.1	CAC31967.1
OG0000490	AAS06523.1	CAC31966.1
OG0000492	AAS06525.1	CAC31964.1
OG0000493	AAS06526.1	CAC31963.1
OG0000494	AAS06529.1	CAC31960.1
OG0000495	AAS06530.1	CAC31959.1
OG0000496	AAS06531.1	CAC31958.1
OG0000497	AAS06533.1	CAC31956.1
OG0000498	AAS06536.1	CAC31952.1
OG0000499	AAS06537.1	CAC31951.1
OG0000500	AAS06539.1	CAC31949.1
OG0000501	AAS06541.1	CAC31947.1
OG0000502	AAS06542.1	CAC31946.1
OG0000503	AAS06544.1	CAC31943.1
OG0000504	AAS06545.1	CAC31942.1
OG0000505	AAS06546.1	CAC31941.1
OG0000506	AAS06547.1	CAC31940.1
OG0000507	AAS06552.1	CAC31938.1
OG0000508	AAS06553.1	CAC31937.1
OG0000509	AAS06555.1	CAC31935.1
OG0000510	AAS06570.1	CAC31930.1
OG0000511	AAS06571.1	CAC31929.1
OG0000512	AAS06572.1	CAC31928.1
OG0000513	AAS06573.1	CAC31927.1
OG0000514	AAS06574.1	CAC31926.1
OG0000515	AAS06575.1	CAC31925.1
OG0000516	AAS06577.1	CAC31923.1
OG0000517	AAS06579.1	CAC31922.1
OG0000518	AAS06588.1	CAC31213.1
OG0000519	AAS06590.1	CAC31215.1
OG0000520	AAS06591.1	CAC31216.1
OG0000521	AAS06592.1	CAC31217.1
OG0000523	AAS06594.1	CAC31219.1
OG0000524	AAS06600.1	CAC31784.1
OG0000525	AAS06601.1	CAC31785.1
OG0000526	AAS06602.1	CAC31786.1
OG0000527	AAS06603.1	CAC31787.1
OG0000528	AAS06606.1	CAC31790.1
OG0000529	AAS06607.1	CAC31792.1
OG0000530	AAS06609.1	CAC31794.1
OG0000531	AAS06654.1	CAC30867.1
OG0000532	AAS06655.1	CAC30866.1
OG0000533	AAS06656.1	CAC30865.1
OG0000534	AAS06657.1	CAC30864.1
OG0000535	AAS06658.1	CAC30863.1
OG0000536	AAS06659.1	CAC30862.1
OG0000537	AAS06660.1	CAC30861.1
OG0000538	AAS06661.1	CAC30860.1
OG0000539	AAS06662.1	CAC30859.1
OG0000540	AAS06663.1	CAC30858.1
OG0000541	AAS06666.1	CAC30857.1
OG0000542	AAS06668.1	CAC30853.1
OG0000543	AAS06669.1	CAC30852.1
OG0000544	AAS06675.1	CAC30850.1
OG0000545	AAS06676.1	CAC30849.1
OG0000546	AAS06679.1	CAC30846.1
OG0000547	AAS06680.1	CAC30845.1
OG0000548	AAS06681.1	CAC30844.1
OG0000549	AAS06682.1	CAC30843.1
OG0000550	AAS06690.1	CAC30834.1
OG0000551	AAS06691.1	CAC30833.1
OG0000552	AAS06692.1	CAC30832.1
OG0000553	AAS06710.1	CAC30818.1
OG0000554	AAS06711.1	CAC30817.1
OG0000555	AAS06712.1	CAC30816.1
OG0000556	AAS06713.1	CAC30815.1
OG0000557	AAS06714.1	CAC30814.1
OG0000558	AAS06715.1	CAC30813.1
OG0000559	AAS06716.1	CAC30812.1
OG0000560	AAS06717.1	CAC30811.1
OG0000561	AAS06718.1	CAC30810.1
OG0000562	AAS06719.1	CAC30809.1
OG0000563	AAS06720.1	CAC30808.1
OG0000565	AAS06727.1	CAC30803.1
OG0000566	AAS06728.1	CAC30802.1
OG0000567	AAS06729.1	CAC30801.1
OG0000568	AAS06730.1	CAC30800.1
OG0000569	AAS06731.1	CAC30799.1
OG0000570	AAS06732.1	CAC30798.1
OG0000571	AAS06733.1	CAC30797.1
OG0000572	AAS06734.1	CAC30796.1
OG0000573	AAS06735.1	CAC30795.1
OG0000574	AAS06736.1	CAC30794.1
OG0000575	AAS06746.1	CAC30789.1
OG0000576	AAS06748.1	CAC30787.1
OG0000577	AAS06749.1	CAC30786.1
OG0000578	AAS06750.1	CAC30785.1
OG0000580	AAS02910.1	CAC31193.1
OG0000585	AAS02923.1	CAC31191.1
OG0000586	AAS02928.1	CAC31186.1
OG0000587	AAS02931.1	CAC31183.1
OG0000588	AAS02932.1	CAC31182.1
OG0000589	AAS02942.1	CAC31175.1
OG0000590	AAS02943.1	CAC31174.1
OG0000591	AAS02949.1	CAC31168.1
OG0000592	AAS02952.1	CAC31166.1
OG0000593	AAS06770.1	CAC31165.1
OG0000594	AAS02954.1	CAC31162.1
OG0000595	AAS02955.1	CAC31161.1
OG0000596	AAS02956.1	CAC31160.1
OG0000597	AAS02957.1	CAC31159.1
OG0000598	AAS02958.1	CAC31158.1
OG0000599	AAS02960.1	CAC31155.1
OG0000600	AAS02964.1	CAC31151.1
OG0000601	AAS02965.1	CAC31150.1
OG0000602	AAS02967.1	CAC31148.1
OG0000603	AAS02974.1	CAC31141.1
OG0000607	AAS03100.1	CAC31122.1
OG0000609	AAS03116.1	CAC31112.1
OG0000610	AAS03117.1	CAC31111.1
OG0000611	AAS03118.1	CAC31110.1
OG0000612	AAS03122.1	CAC31106.1
OG0000613	AAS03127.1	CAC31102.1
OG0000614	AAS03131.1	CAC31099.1
OG0000615	AAS03132.1	CAC31098.1
OG0000616	AAS03133.1	CAC31097.1
OG0000617	AAS03135.1	CAC31096.1
OG0000618	AAS03139.1	CAC31092.1
OG0000619	AAS03140.1	CAC31091.1
OG0000620	AAS03142.1	CAC31089.1
OG0000621	AAS03146.1	CAC31085.1
OG0000622	AAS03151.1	CAC31078.1
OG0000623	AAS03157.1	CAC31073.1
OG0000624	AAS03162.1	CAC31068.1
OG0000625	AAS03163.1	CAC31066.1
OG0000626	AAS03186.1	CAC31053.1
OG0000630	AAS03208.1	CAC29658.1
OG0000631	AAS03209.1	CAC29659.1
OG0000632	AAS03210.1	CAC29661.1
OG0000633	AAS03212.1	CAC29662.1
OG0000634	AAS03213.1	CAC29663.1
OG0000635	AAS03214.1	CAC29664.1
OG0000636	AAS03217.1	CAC29666.1
OG0000637	AAS03218.1	CAC29667.1
OG0000638	AAS03219.1	CAC29668.1
OG0000639	AAS03220.1	CAC29669.1
OG0000640	AAS03225.1	CAC29677.1
OG0000641	AAS02397.1	CAC30952.1
OG0000642	AAS03232.1	CAC29681.1
OG0000643	AAS03233.1	CAC29682.1
OG0000644	AAS03234.1	CAC29683.1
OG0000645	AAS03235.1	CAC29684.1
OG0000646	AAS03236.1	CAC29685.1
OG0000647	AAS03237.1	CAC29686.1
OG0000649	AAS03239.1	CAC29688.1
OG0000650	AAS03240.1	CAC29689.1
OG0000651	AAS03241.1	CAC29690.1
OG0000652	AAS03242.1	CAC29691.1
OG0000653	AAS03243.1	CAC29692.1
OG0000654	AAS03244.1	CAC29693.1
OG0000655	AAS03255.1	CAC29695.1
OG0000656	AAS03260.1	CAC29700.1
OG0000657	AAS03261.1	CAC29701.1
OG0000659	AAS03289.1	CAC29746.1
OG0000660	AAS03290.1	CAC29747.1
OG0000661	AAS03291.1	CAC29748.1
OG0000662	AAS03292.1	CAC29749.1
OG0000663	AAS03293.1	CAC29750.1
OG0000664	AAS03294.1	CAC29751.1
OG0000665	AAS03295.1	CAC29752.1
OG0000666	AAS03296.1	CAC29753.1
OG0000667	AAS03298.1	CAC29754.1
OG0000668	AAS03300.1	CAC29756.1
OG0000669	AAS03301.1	CAC29757.1
OG0000670	AAS03304.1	CAC29760.1
OG0000671	AAS03308.1	CAC29764.1
OG0000672	AAS03309.1	CAC29765.1
OG0000673	AAS03310.1	CAC29766.1
OG0000674	AAS03335.1	CAC31917.1
OG0000675	AAS03336.1	CAC31916.1
OG0000676	AAS03342.1	CAC31911.1
OG0000677	AAS03344.1	CAC31909.1
OG0000678	AAS03345.1	CAC31908.1
OG0000679	AAS05024.1	CAC31906.1
OG0000680	AAS05020.1	CAC31984.1
OG0000682	AAS05017.1	CAC30909.1
OG0000683	AAS05015.1	CAC30907.1
OG0000684	AAS05014.1	CAC30906.1
OG0000685	AAS05013.1	CAC30905.1
OG0000686	AAS05010.1	CAC30902.1
OG0000687	AAS05009.1	CAC30901.1
OG0000688	AAS05008.1	CAC30900.1
OG0000689	AAS05005.1	CAC30897.1
OG0000690	AAS05004.1	CAC30896.1
OG0000691	AAS05003.1	CAC30895.1
OG0000692	AAS05002.1	CAC30894.1
OG0000693	AAS05001.1	CAC30893.1
OG0000694	AAS05000.1	CAC30892.1
OG0000695	AAS04999.1	CAC30891.1
OG0000697	AAS04981.1	CAC31336.1
OG0000699	AAS04978.1	CAC31342.1
OG0000703	AAS04947.1	CAC30459.1
OG0000704	AAS04943.1	CAC30457.1
OG0000705	AAS04942.1	CAC30456.1
OG0000706	AAS04941.1	CAC30455.1
OG0000707	AAS04940.1	CAC30454.1
OG0000709	AAS04933.1	CAC30448.1
OG0000710	AAS04932.1	CAC30447.1
OG0000711	AAS04929.1	CAC30444.1
OG0000712	AAS04928.1	CAC30442.1
OG0000713	AAS04923.1	CAC30438.1
OG0000714	AAS04551.1	CAC31613.1
OG0000715	AAS04897.1	CAC31432.1
OG0000716	AAS04895.1	CAC31439.1
OG0000717	AAS04891.1	CAC31440.1
OG0000718	AAS04889.1	CAC31442.1
OG0000719	AAS04887.1	CAC31444.1
OG0000720	AAS04886.1	CAC31445.1
OG0000721	AAS04885.1	CAC31446.1
OG0000722	AAS04884.1	CAC31447.1
OG0000723	AAS04881.1	CAC31450.1
OG0000724	AAS04875.1	CAC31456.1
OG0000725	AAS04874.1	CAC31457.1
OG0000726	AAS04873.1	CAC31458.1
OG0000727	AAS04872.1	CAC31459.1
OG0000728	AAS04871.1	CAC31460.1
OG0000729	AAS04870.1	CAC31461.1
OG0000732	AAS04865.1	CAC31467.1
OG0000733	AAS04864.1	CAC31468.1
OG0000734	AAS04863.1	CAC31469.1
OG0000735	AAS04862.1	CAC31470.1
OG0000736	AAS04859.1	CAC31471.1
OG0000737	AAS04858.1	CAC31472.1
OG0000738	AAS04856.1	CAC31474.1
OG0000739	AAS04853.1	CAC31476.1
OG0000740	AAS04852.1	CAC31477.1
OG0000741	AAS04850.1	CAC31479.1
OG0000742	AAS04839.1	CAC31480.1
OG0000743	AAS04837.1	CAC31482.1
OG0000744	AAS04834.1	CAC31484.1
OG0000745	AAS04832.1	CAC31486.1
OG0000747	AAS04817.1	CAC31494.1
OG0000748	AAS04816.1	CAC31495.1
OG0000749	AAS04815.1	CAC31496.1
OG0000750	AAS04814.1	CAC31497.1
OG0000751	AAS04813.1	CAC31498.1
OG0000752	AAS04811.1	CAC31500.1
OG0000753	AAS04810.1	CAC31501.1
OG0000755	AAS04808.1	CAC31502.1
