Orthogroup	Mmicro	Mbovis
OG0000033	AMC58089.1	ALV09818.1
OG0000033	AMC57621.1	ALV09432.1
OG0000034	AMC58845.1, AMC58843.1	ALV10434.1
OG0000034	AMC59364.1	ALV10843.1
OG0000035	AMC58753.1	ALV12911.1
OG0000035	AMC61644.1	ALV12686.1
OG0000035	AMC61649.1	ALV12688.1
OG0000036	AMC59414.1	ALV12983.1
OG0000036	AMC59417.1	ALV12984.1
OG0000036	AMC59319.1	ALV10809.1
OG0000036	AMC59416.1	ALV10882.1
OG0000037	AMC57536.1	ALV09367.1
OG0000037	AMC58506.1	ALV10166.1
OG0000037	AMC57548.1	ALV09376.1
OG0000038	AMC58978.1	ALV10547.1
OG0000038	AMC60759.1	ALV13125.1
OG0000038	AMC57754.1	ALV09544.1
OG0000039	AMC60505.1	ALV11764.1
OG0000039	AMC60713.1	ALV11934.1
OG0000039	AMC61652.1	ALV12691.1
OG0000039	AMC58106.1	ALV09832.1
OG0000040	AMC58460.1	ALV10130.1
OG0000041	AMC58986.1	ALV10553.1
OG0000042	AMC58003.1, AMC57805.1	ALV12825.1, ALV12802.1
OG0000042	AMC57869.1	ALV09639.1
OG0000043	AMC57859.1	ALV09633.1
OG0000043	AMC60182.1	ALV11499.1
OG0000043	AMC58948.1	ALV10521.1
OG0000043	AMC58417.1	ALV10097.1
OG0000044	AMC61648.1	ALV12687.1
OG0000044	AMC59132.1	ALV12952.1
OG0000044	AMC58754.1	ALV10366.1
OG0000045	AMC58902.1	ALV10482.1
OG0000045	AMC58905.1	ALV10484.1
OG0000045	AMC58903.1, AMC58904.1	ALV10483.1
OG0000046	AMC59382.1	ALV10857.1
OG0000046	AMC61534.1	ALV12602.1
OG0000047	AMC59440.1	ALV10902.1
OG0000048	AMC58092.1	ALV09820.1
OG0000048	AMC57624.1	ALV12790.1
OG0000049	AMC57867.1	ALV09638.1
OG0000049	AMC59486.1	ALV10945.1
OG0000050	AMC59137.1	ALV10663.1
OG0000050	AMC59139.1	ALV10665.1
OG0000052	AMC60035.1, AMC59377.1	ALV10853.1
OG0000053	AMC59920.1	ALV11287.1
OG0000053	AMC59921.1	ALV11288.1
OG0000054	AMC61332.1	ALV12438.1
OG0000055	AMC61359.1	ALV13204.1
OG0000056	AMC61368.1	ALV12469.1
OG0000057	AMC57545.1	ALV09374.1
OG0000058	AMC61197.1	ALV12352.1
OG0000058	AMC57919.1	ALV09685.1
OG0000059	AMC58896.1, AMC61617.1	ALV12666.1
OG0000059	AMC57804.1	ALV09964.1
OG0000060	AMC58467.1	ALV10134.1
OG0000060	AMC58462.1	ALV10132.1
OG0000061	AMC59649.1	ALV11075.1
OG0000061	AMC58749.1	ALV10362.1
OG0000062	AMC58765.1	ALV10373.1
OG0000062	AMC59055.1	ALV10610.1
OG0000062	AMC60053.1	ALV11391.1
OG0000063	AMC61263.1	ALV12396.1
OG0000063	AMC58953.1	ALV10525.1
OG0000064	AMC59266.1, AMC59267.1	ALV10770.1
OG0000064	AMC59273.1	ALV10774.1
OG0000065	AMC59970.1	ALV13039.1
OG0000066	AMC61360.1	ALV12463.1
OG0000067	AMC61440.1	ALV13213.1
OG0000069	AMC57618.1	ALV09430.1
OG0000069	AMC58087.1	ALV09816.1
OG0000070	AMC58090.1	ALV12834.1
OG0000070	AMC57622.1	ALV09433.1
OG0000071	AMC58091.1	ALV09819.1
OG0000071	AMC57623.1	ALV09434.1
OG0000072	AMC58093.1	ALV12835.1
OG0000072	AMC57625.1	ALV09435.1
OG0000073	AMC57674.1	ALV09473.1
OG0000074	AMC59069.1	ALV10623.1
OG0000074	AMC57703.1	ALV09502.1
OG0000075	AMC57720.1	ALV09518.1
OG0000075	AMC60009.1	ALV13043.1
OG0000076	AMC58239.1	ALV09956.1
OG0000076	AMC58234.1	ALV09952.1
OG0000076	AMC61603.1	ALV13235.1
OG0000077	AMC58635.1	ALV10264.1
OG0000077	AMC61272.1	ALV12400.1
OG0000078	AMC58789.1	ALV10397.1
OG0000079	AMC58942.1	ALV10517.1
OG0000080	AMC59020.1	ALV10580.1
OG0000080	AMC60177.1	ALV11497.1
OG0000081	AMC59174.1	ALV10695.1
OG0000082	AMC59336.1	ALV10823.1
OG0000082	AMC59401.1	ALV12980.1
OG0000083	AMC59647.1	ALV11073.1
OG0000083	AMC59672.1	ALV11094.1
OG0000084	AMC61721.1	ALV12746.1
OG0000084	AMC59738.1, AMC59735.1, AMC59739.1	ALV11144.1
OG0000085	AMC61340.1	ALV13202.1
OG0000086	AMC61574.1	ALV12630.1
OG0000088	AMC60945.1	ALV12121.1
OG0000088	AMC57501.1	ALV09340.1
OG0000089	AMC57506.1	ALV09344.1
OG0000090	AMC57507.1	ALV09345.1
OG0000090	AMC57918.1	ALV09684.1
OG0000091	AMC58655.1	ALV10283.1
OG0000091	AMC57510.1	ALV09347.1
OG0000092	AMC57818.1	ALV09597.1
OG0000092	AMC59785.1	ALV11184.1
OG0000093	AMC58695.1	ALV10317.1
OG0000093	AMC57945.1	ALV09709.1
OG0000094	AMC58008.1	ALV09754.1
OG0000094	AMC58290.1	ALV09998.1
OG0000095	AMC58019.1	ALV09762.1
OG0000096	AMC58055.1	ALV09794.1
OG0000096	AMC58531.1	ALV10185.1
OG0000099	AMC60860.1	ALV12853.1, ALV12056.1
OG0000100	AMC58367.1	ALV10059.1
OG0000101	AMC58629.1	ALV10261.1
OG0000102	AMC61097.1	ALV12280.1
OG0000102	AMC58846.1	ALV10435.1
OG0000103	AMC60681.1	ALV11910.1
OG0000103	AMC59136.1	ALV10662.1
OG0000104	AMC59368.1	ALV12976.1
OG0000105	AMC59487.1	ALV10946.1
OG0000106	AMC60786.1	ALV11994.1
OG0000106	AMC59615.1	ALV11047.1
OG0000107	AMC59673.1	ALV11095.1
OG0000107	AMC60879.1	ALV12065.1
OG0000108	AMC59699.1	ALV13008.1
OG0000109	AMC61720.1	ALV13245.1
OG0000109	AMC59740.1	ALV11145.1
OG0000110	AMC60682.1	ALV11911.1
OG0000110	AMC60144.1	ALV11468.1
OG0000111	AMC60014.1, AMC60015.1	ALV11368.1
OG0000111	AMC60152.1	ALV13061.1
OG0000112	AMC60248.1, AMC60249.1	ALV11557.1, ALV11556.1, ALV11555.1
OG0000113	AMC60396.1	ALV11668.1
OG0000113	AMC60397.1	ALV11669.1
OG0000114	AMC60742.1	ALV11957.1
OG0000115	AMC61142.1	ALV12312.1
OG0000116	AMC61285.1	ALV12412.1
OG0000117	AMC61288.1	ALV12415.1
OG0000118	AMC61374.1	ALV12475.1
OG0000119	AMC61638.1	ALV12681.1
OG0000119	AMC61637.1	ALV12680.1
OG0000121	AMC57436.1, AMC57435.1	ALV09286.1
OG0000122	AMC57518.1, AMC57519.1	ALV09354.1
OG0000123	AMC57750.1	ALV09540.1
OG0000123	AMC58422.1	ALV10099.1
OG0000124	AMC57756.1	ALV09546.1
OG0000125	AMC57757.1	ALV09547.1
OG0000126	AMC57828.1	ALV09606.1
OG0000127	AMC57885.1	ALV09653.1
OG0000128	AMC57910.1	ALV09677.1
OG0000129	AMC58312.1	ALV10018.1
OG0000130	AMC60861.1, AMC58337.1	ALV10036.1
OG0000131	AMC58468.1	ALV10136.1
OG0000132	AMC58347.1	ALV10043.1
OG0000133	AMC58380.1	ALV12863.1
OG0000134	AMC58709.1	ALV10327.1
OG0000134	AMC58708.1	ALV12906.1
OG0000135	AMC58954.1	ALV12934.1
OG0000136	AMC58969.1	ALV10539.1
OG0000136	AMC60812.1	ALV12016.1
OG0000137	AMC59087.1	ALV10638.1
OG0000138	AMC59101.1	ALV10649.1
OG0000139	AMC59563.1	ALV12994.1
OG0000139	AMC59105.1	ALV10651.1
OG0000140	AMC59428.1	ALV12296.1, ALV10892.1
OG0000141	AMC59430.1	ALV10894.1
OG0000142	AMC59513.1	ALV12988.1
OG0000143	AMC59575.1, AMC59576.1	ALV11013.1
OG0000144	AMC59392.1, AMC59657.1	ALV10862.1, ALV11083.1
OG0000145	AMC59678.1	ALV11099.1
OG0000145	AMC60871.1	ALV13142.1
OG0000146	AMC61563.1	ALV12621.1
OG0000146	AMC59986.1	ALV11344.1
OG0000147	AMC60087.1	ALV11419.1
OG0000148	AMC60264.1	ALV11571.1
OG0000149	AMC61155.1	ALV13181.1
OG0000149	AMC60394.1	ALV11667.1
OG0000150	AMC60441.1	ALV11707.1
OG0000151	AMC60543.1	ALV13096.1
OG0000151	AMC60546.1	ALV11798.1
OG0000152	AMC60664.1	ALV11898.1
OG0000153	AMC60689.1	ALV11916.1
OG0000153	AMC60692.1	ALV11919.1
OG0000154	AMC60706.1	ALV13119.1
OG0000155	AMC60889.1	ALV13144.1
OG0000156	AMC60987.1	ALV12148.1
OG0000157	AMC60993.1	ALV12154.1
OG0000158	AMC61070.1	ALV12237.1, ALV12254.1, ALV12220.1
OG0000159	AMC61072.1	ALV12239.1, ALV12222.1, ALV12256.1
OG0000160	AMC61073.1	ALV12240.1, ALV12257.1, ALV12223.1
OG0000161	AMC61075.1	ALV12259.1, ALV12242.1, ALV12225.1
OG0000162	AMC61077.1	ALV12260.1, ALV12243.1, ALV12226.1
OG0000163	AMC61080.1	ALV12246.1, ALV12263.1, ALV12229.1
OG0000164	AMC61083.1	ALV12231.1, ALV12265.1, ALV12248.1
OG0000165	AMC61085.1	ALV12250.1, ALV12233.1, ALV12267.1
OG0000166	AMC61086.1	ALV12234.1, ALV12268.1, ALV12251.1
OG0000167	AMC61087.1	ALV12252.1, ALV12235.1, ALV12269.1
OG0000168	AMC58315.1	ALV12850.1
OG0000168	AMC61100.1	ALV13172.1
OG0000169	AMC61101.1	ALV13173.1
OG0000170	AMC61118.1	ALV13176.1
OG0000171	AMC61129.1	ALV12301.1
OG0000172	AMC61205.1	ALV12358.1
OG0000173	AMC61344.1	ALV12449.1
OG0000174	AMC61373.1	ALV12474.1
OG0000175	AMC61445.1	ALV13214.1
OG0000176	AMC61551.1	ALV12612.1
OG0000177	AMC61576.1	ALV12632.1
OG0000178	AMC61578.1	ALV12634.1
OG0000179	AMC61607.1	ALV12659.1
OG0000181	AMC59532.1	ALV10982.1
OG0000182	AMC57455.1	ALV09300.1
OG0000183	AMC57482.1	ALV09322.1
OG0000184	AMC60269.1	ALV13071.1
OG0000184	AMC57512.1	ALV09349.1
OG0000185	AMC60270.1	ALV11575.1
OG0000185	AMC57513.1	ALV09350.1
OG0000186	AMC57563.1	ALV12779.1
OG0000187	AMC57578.1	ALV09400.1
OG0000188	AMC57614.1	ALV09426.1
OG0000189	AMC57632.1	ALV09442.1
OG0000190	AMC57644.1	ALV09451.1
OG0000191	AMC57653.1	ALV09455.1
OG0000192	AMC57671.1	ALV09470.1
OG0000193	AMC57672.1	ALV09471.1
OG0000194	AMC57734.1	ALV09530.1
OG0000195	AMC58262.1	ALV09970.1
OG0000195	AMC57738.1	ALV09534.1
OG0000196	AMC57781.1	ALV09567.1
OG0000197	AMC57822.1	ALV09601.1
OG0000198	AMC57824.1	ALV09603.1
OG0000199	AMC57911.1	ALV09678.1
OG0000200	AMC57971.1	ALV12819.1
OG0000201	AMC57981.1, AMC57980.1	ALV09734.1
OG0000202	AMC57987.1	ALV09740.1
OG0000203	AMC57998.1, AMC57999.1	ALV09748.1
OG0000204	AMC58036.1	ALV09776.1
OG0000205	AMC58051.1	ALV09790.1
OG0000206	AMC58101.1	ALV09827.1
OG0000207	AMC58128.1	ALV09853.1
OG0000207	AMC58398.1	ALV10082.1
OG0000208	AMC58157.1	ALV09878.1
OG0000209	AMC58191.1	ALV09908.1
OG0000210	AMC58232.1, AMC58231.1	ALV09950.1
OG0000211	AMC58236.1	ALV12845.1
OG0000212	AMC58266.1	ALV09974.1
OG0000213	AMC58274.1	ALV09983.1
OG0000214	AMC58277.1	ALV09986.1
OG0000215	AMC58301.1	ALV10007.1
OG0000216	AMC58344.1	ALV10040.1
OG0000217	AMC58382.1	ALV10068.1
OG0000218	AMC58383.1	ALV10069.1
OG0000219	AMC58405.1	ALV10088.1
OG0000220	AMC58410.1	ALV10093.1
OG0000221	AMC58431.1	ALV10108.1
OG0000222	AMC58463.1	ALV12872.1
OG0000223	AMC58464.1	ALV10133.1
OG0000224	AMC58509.1	ALV10169.1
OG0000225	AMC58526.1	ALV10182.1
OG0000226	AMC58571.1	ALV10215.1
OG0000227	AMC58591.1	ALV10228.1
OG0000227	AMC61161.1	ALV13183.1
OG0000228	AMC58598.1	ALV10235.1
OG0000228	AMC58717.1	ALV10335.1
OG0000229	AMC58599.1	ALV10236.1
OG0000229	AMC58716.1	ALV10334.1
OG0000230	AMC58637.1	ALV10267.1
OG0000231	AMC58640.1	ALV10270.1
OG0000232	AMC58718.1	ALV10336.1
OG0000233	AMC58735.1	ALV10350.1
OG0000233	AMC59357.1	ALV12974.1
OG0000234	AMC58741.1	ALV10355.1
OG0000235	AMC58746.1	ALV10359.1
OG0000236	AMC58770.1	ALV10377.1
OG0000237	AMC58782.1	ALV10390.1
OG0000238	AMC58074.1	ALV09806.1
OG0000239	AMC58874.1	ALV10458.1
OG0000240	AMC58880.1	ALV10465.1
OG0000241	AMC58882.1	ALV12929.1
OG0000242	AMC58937.1	ALV10512.1
OG0000243	AMC58955.1	ALV10526.1
OG0000244	AMC61554.1	ALV12614.1
OG0000244	AMC59071.1	ALV10625.1
OG0000245	AMC59074.1	ALV10628.1
OG0000246	AMC59094.1	ALV10644.1
OG0000247	AMC59104.1	ALV12948.1
OG0000248	AMC61430.1	ALV13211.1
OG0000249	AMC60686.1	ALV11913.1
OG0000250	AMC59181.1	ALV10700.1
OG0000251	AMC59195.1	ALV10711.1
OG0000252	AMC59216.1	ALV10729.1
OG0000253	AMC59235.1	ALV12963.1
OG0000254	AMC59242.1	ALV10749.1
OG0000255	AMC59248.1	ALV10755.1
OG0000256	AMC59311.1	ALV12970.1
OG0000257	AMC59324.1	ALV10813.1
OG0000258	AMC59452.1	ALV10912.1
OG0000259	AMC59510.1	ALV10967.1, ALV10968.1
OG0000260	AMC59516.1	ALV10972.1
OG0000261	AMC59527.1	ALV12990.1
OG0000262	AMC59540.1	ALV12991.1
OG0000263	AMC59544.1	ALV10991.1
OG0000264	AMC59579.1	ALV12996.1
OG0000265	AMC59683.1	ALV13006.1
OG0000266	AMC59728.1	ALV11137.1
OG0000267	AMC59770.1, AMC59772.1, AMC59771.1	ALV13013.1
OG0000268	AMC59789.1	ALV13014.1
OG0000269	AMC59807.1	ALV11200.1
OG0000270	AMC59837.1	ALV11222.1
OG0000271	AMC59841.1	ALV11225.1, ALV13053.1
OG0000272	AMC59859.1	ALV11238.1
OG0000273	AMC59862.1, AMC59861.1	ALV11240.1
OG0000274	AMC59868.1	ALV11246.1
OG0000275	AMC59887.1	ALV11260.1
OG0000276	AMC59917.1	ALV11284.1
OG0000277	AMC59967.1	ALV13038.1
OG0000278	AMC60012.1	ALV11366.1
OG0000279	AMC60042.1	ALV11382.1
OG0000280	AMC60061.1	ALV11397.1
OG0000281	AMC60062.1	ALV11398.1
OG0000282	AMC60078.1	ALV11410.1
OG0000283	AMC60106.1	ALV11438.1
OG0000284	AMC60164.1	ALV11485.1
OG0000285	AMC60233.1	ALV11543.1
OG0000286	AMC60218.1	ALV11532.1
OG0000287	AMC60227.1	ALV11538.1
OG0000288	AMC60288.1	ALV13073.1
OG0000289	AMC60382.1	ALV11659.1
OG0000290	AMC60402.1	ALV11672.1
OG0000291	AMC60411.1	ALV11681.1
OG0000292	AMC60461.1	ALV11723.1
OG0000293	AMC60564.1	ALV11817.1
OG0000294	AMC60608.1	ALV11855.1
OG0000295	AMC60653.1	ALV11890.1
OG0000296	AMC60716.1	ALV11937.1
OG0000297	AMC60718.1, AMC60717.1	ALV11938.1
OG0000298	AMC60723.1	ALV11942.1
OG0000299	AMC60724.1	ALV11943.1
OG0000300	AMC60733.1	ALV11949.1
OG0000301	AMC60774.1	ALV11986.1
OG0000302	AMC60777.1	ALV13129.1
OG0000303	AMC60783.1	ALV11991.1
OG0000304	AMC60803.1	ALV12008.1
OG0000305	AMC60845.1	ALV12044.1
OG0000306	AMC60852.1	ALV12050.1
OG0000306	AMC61096.1	ALV12278.1
OG0000307	AMC60916.1	ALV12099.1
OG0000308	AMC60921.1	ALV12102.1
OG0000309	AMC60972.1	ALV12136.1
OG0000310	AMC61002.1	ALV12162.1
OG0000310	AMC61539.1	ALV13225.1
OG0000311	AMC61017.1	ALV12176.1
OG0000312	AMC61033.1	ALV12191.1
OG0000313	AMC61037.1	ALV12194.1
OG0000314	AMC61051.1	ALV12204.1
OG0000315	AMC61055.1	ALV12207.1
OG0000316	AMC61068.1	ALV13169.1, ALV13167.1, ALV13165.1
OG0000317	AMC61074.1	ALV12241.1, ALV12224.1, ALV12258.1
OG0000318	AMC61078.1	ALV12261.1, ALV12227.1, ALV12244.1
OG0000319	AMC61079.1	ALV12262.1, ALV12228.1, ALV12245.1
OG0000320	AMC61084.1	ALV12266.1, ALV12249.1, ALV12232.1
OG0000321	AMC61113.1, AMC61112.1	ALV12286.1
OG0000322	AMC61186.1	ALV12341.1
OG0000323	AMC61250.1	ALV12387.1
OG0000324	AMC61252.1	ALV12389.1
OG0000325	AMC61269.1	ALV13197.1
OG0000326	AMC61316.1	ALV12425.1
OG0000327	AMC61375.1	ALV12476.1
OG0000328	AMC61434.1	ALV12525.1
OG0000329	AMC61448.1	ALV13215.1
OG0000330	AMC61479.1	ALV12558.1
OG0000331	AMC61526.1	ALV12595.1
OG0000332	AMC61580.1	ALV12636.1
OG0000333	AMC61619.1	ALV12667.1
OG0000334	AMC61620.1	ALV12668.1
OG0000335	AMC61685.1	ALV12717.1
OG0000342	AMC57428.1	ALV09281.1
OG0000343	AMC57429.1	ALV09282.1
OG0000344	AMC57430.1	ALV09283.1
OG0000345	AMC57431.1	ALV09284.1
OG0000346	AMC57432.1	ALV12767.1
OG0000347	AMC57434.1	ALV09285.1
OG0000348	AMC57440.1	ALV09289.1
OG0000349	AMC57443.1	ALV09290.1
OG0000350	AMC57445.1	ALV09292.1
OG0000351	AMC57446.1	ALV09293.1
OG0000352	AMC57447.1	ALV09294.1
OG0000353	AMC57448.1	ALV09295.1
OG0000354	AMC57449.1	ALV09296.1
OG0000355	AMC57450.1	ALV09297.1
OG0000356	AMC57451.1	ALV09298.1
OG0000357	AMC57452.1	ALV09299.1
OG0000358	AMC57459.1, AMC57458.1	ALV09303.1
OG0000359	AMC57474.1	ALV12770.1
OG0000360	AMC57476.1	ALV09316.1
OG0000361	AMC57477.1	ALV09317.1
OG0000362	AMC57478.1	ALV09318.1
OG0000363	AMC57480.1	ALV09320.1
OG0000364	AMC57483.1	ALV09323.1
OG0000365	AMC57485.1	ALV09325.1
OG0000366	AMC57486.1	ALV09326.1
OG0000367	AMC57487.1	ALV09327.1
OG0000368	AMC57489.1	ALV09329.1
OG0000369	AMC57490.1	ALV09330.1
OG0000370	AMC57491.1	ALV09331.1
OG0000371	AMC57492.1	ALV09332.1
OG0000372	AMC57494.1	ALV09333.1
OG0000373	AMC57505.1	ALV09343.1
OG0000374	AMC57514.1	ALV09351.1
OG0000375	AMC57546.1	ALV09375.1
OG0000376	AMC57551.1	ALV09379.1
OG0000377	AMC57552.1	ALV09380.1
OG0000378	AMC57556.1	ALV12777.1
OG0000379	AMC57559.1	ALV09386.1
OG0000380	AMC57562.1	ALV12778.1
OG0000381	AMC57565.1	ALV12781.1
OG0000382	AMC57572.1	ALV09394.1
OG0000383	AMC57584.1	ALV09404.1
OG0000384	AMC57585.1	ALV09405.1
OG0000385	AMC57586.1	ALV09406.1
OG0000386	AMC57588.1	ALV09408.1
OG0000387	AMC57594.1	ALV09412.1
OG0000388	AMC57595.1	ALV12784.1
OG0000389	AMC57596.1	ALV09413.1
OG0000390	AMC57604.1	ALV09419.1
OG0000391	AMC57605.1	ALV09420.1
OG0000392	AMC57606.1	ALV12787.1
OG0000393	AMC57611.1	ALV12788.1
OG0000394	AMC57626.1	ALV09436.1
OG0000395	AMC57627.1	ALV09437.1
OG0000396	AMC57628.1	ALV09438.1
OG0000397	AMC57629.1	ALV09439.1
OG0000398	AMC57631.1	ALV09441.1
OG0000399	AMC57634.1	ALV09443.1
OG0000400	AMC57636.1	ALV09444.1
OG0000401	AMC57637.1	ALV09445.1
OG0000402	AMC57643.1	ALV09450.1
OG0000403	AMC57659.1	ALV09460.1
OG0000404	AMC57660.1	ALV09461.1
OG0000405	AMC57661.1	ALV12794.1
OG0000406	AMC57663.1	ALV09463.1
OG0000407	AMC57664.1	ALV09464.1
OG0000408	AMC57665.1	ALV09465.1
OG0000409	AMC57668.1	ALV09468.1
OG0000410	AMC57673.1	ALV09472.1
OG0000411	AMC57681.1	ALV09480.1
OG0000412	AMC57682.1	ALV09481.1
OG0000413	AMC57683.1	ALV09482.1
OG0000414	AMC57684.1	ALV09483.1
OG0000415	AMC57685.1	ALV09484.1
OG0000416	AMC57692.1	ALV09491.1
