Orthogroup	Mmicro	Mafric
OG0000021	AMC58703.1	CCC26225.1
OG0000024	AMC59519.1	CCC26978.1
OG0000024	AMC61625.1	CCC28888.1
OG0000024	AMC57576.1	CCC25203.1
OG0000025	AMC60607.1	CCC27960.1
OG0000025	AMC60506.1	CCC27867.1
OG0000025	AMC60714.1	CCC28054.1
OG0000025	AMC58105.1	CCC25684.1
OG0000025	AMC61653.1	CCC28912.1
OG0000026	AMC58475.1	CCC26021.1
OG0000027	AMC60028.1	CCC26885.1
OG0000027	AMC59420.1	CCC27429.1
OG0000027	AMC58593.1	CCC26120.1
OG0000027	AMC58768.1	CCC26289.1
OG0000028	AMC59419.1	CCC26884.1
OG0000028	AMC58594.1	CCC26121.1
OG0000028	AMC58767.1	CCC26288.1
OG0000028	AMC60029.1	CCC27430.1
OG0000029	AMC60824.1	CCC28162.1
OG0000029	AMC58820.1	CCC26336.1
OG0000030	AMC58271.1	CCC28829.1
OG0000030	AMC58498.1	CCC27890.1
OG0000030	AMC60696.1	CCC26855.1
OG0000031	AMC57616.1	CCC25239.1
OG0000032	AMC57619.1	CCC25242.1
OG0000032	AMC58088.1	CCC25668.1
OG0000033	AMC58089.1	CCC25669.1
OG0000033	AMC57621.1	CCC25243.1
OG0000034	AMC58845.1	CCC26359.1
OG0000034	AMC58843.1	CCC26357.1
OG0000034	AMC59364.1	CCC26832.1
OG0000035	AMC58753.1	CCC26273.1
OG0000035	AMC61644.1	CCC28904.1
OG0000035	AMC61649.1	CCC28908.1
OG0000036	AMC59414.1	CCC26879.1
OG0000036	AMC59417.1	CCC26882.1
OG0000036	AMC59319.1	CCC26793.1
OG0000036	AMC59416.1	CCC26881.1
OG0000037	AMC57536.1	CCC25167.1
OG0000037	AMC58506.1	CCC26050.1
OG0000037	AMC57548.1	CCC25178.1
OG0000038	AMC58978.1	CCC26480.1
OG0000038	AMC60759.1	CCC28099.1
OG0000038	AMC57754.1	CCC25359.1
OG0000039	AMC60505.1	CCC27866.1
OG0000039	AMC60713.1	CCC28053.1
OG0000039	AMC61652.1	CCC28911.1
OG0000039	AMC58106.1	CCC25685.1
OG0000040	AMC58460.1	CCC26007.1
OG0000041	AMC58986.1	CCC26487.1
OG0000042	AMC57869.1	CCC25467.1
OG0000043	AMC60182.1	CCC27573.1
OG0000043	AMC58948.1	CCC26454.1
OG0000043	AMC58417.1	CCC25971.1
OG0000044	AMC61648.1, AMC59132.1	CCC28907.1
OG0000044	AMC58754.1	CCC26274.1
OG0000045	AMC58902.1	CCC26412.1
OG0000045	AMC58905.1	CCC26415.1
OG0000045	AMC58903.1	CCC26413.1
OG0000045	AMC58904.1	CCC26414.1
OG0000046	AMC59382.1	CCC26848.1
OG0000046	AMC61534.1	CCC28802.1
OG0000047	AMC59440.1	CCC26902.1
OG0000048	AMC58092.1	CCC25672.1
OG0000048	AMC57624.1	CCC25246.1
OG0000049	AMC57867.1	CCC25466.1
OG0000049	AMC59486.1	CCC26946.1
OG0000050	AMC59137.1	CCC26623.1
OG0000050	AMC59139.1	CCC26625.1
OG0000052	AMC60032.1	CCC27433.1
OG0000052	AMC60035.1, AMC59377.1	CCC26844.1
OG0000052	AMC60031.1	CCC27432.1
OG0000052	AMC60034.1	CCC27434.1
OG0000053	AMC59920.1	CCC27326.1
OG0000053	AMC59921.1	CCC27327.1
OG0000054	AMC61332.1	CCC28610.1
OG0000055	AMC61359.1	CCC28637.1
OG0000056	AMC61368.1	CCC28645.1
OG0000057	AMC57545.1	CCC25176.1
OG0000058	AMC61197.1	CCC28500.1
OG0000058	AMC57919.1	CCC25514.1
OG0000059	AMC58896.1, AMC61617.1	CCC25823.1
OG0000060	AMC58467.1	CCC26013.1
OG0000060	AMC58462.1	CCC26009.1
OG0000061	AMC59649.1	CCC27089.1
OG0000061	AMC58749.1	CCC26268.1
OG0000062	AMC58765.1	CCC26285.1
OG0000062	AMC59055.1	CCC26547.1
OG0000062	AMC60053.1	CCC27454.1
OG0000063	AMC61263.1	CCC28560.1
OG0000063	AMC58953.1	CCC26457.1
OG0000064	AMC59266.1, AMC59267.1	CCC26744.1
OG0000064	AMC59273.1	CCC26753.1
OG0000065	AMC59970.1	CCC27375.1
OG0000066	AMC61360.1	CCC28638.1
OG0000067	AMC61440.1	CCC28716.1
OG0000069	AMC57618.1	CCC25241.1
OG0000069	AMC58087.1	CCC25667.1
OG0000070	AMC58090.1	CCC25670.1
OG0000070	AMC57622.1	CCC25244.1
OG0000071	AMC58091.1	CCC25671.1
OG0000071	AMC57623.1	CCC25245.1
OG0000072	AMC58093.1	CCC25673.1
OG0000072	AMC57625.1	CCC25247.1
OG0000073	AMC57674.1	CCC25290.1
OG0000074	AMC59069.1	CCC26561.1
OG0000074	AMC57703.1	CCC25317.1
OG0000075	AMC57720.1	CCC25334.1
OG0000075	AMC60009.1	CCC27411.1
OG0000076	AMC58239.1	CCC25813.1
OG0000076	AMC58234.1	CCC25808.1
OG0000076	AMC61603.1	CCC28871.1
OG0000077	AMC58635.1	CCC26161.1
OG0000077	AMC61272.1	CCC28569.1
OG0000078	AMC58789.1	CCC26310.1
OG0000079	AMC58942.1	CCC26450.1
OG0000080	AMC59020.1	CCC26520.1
OG0000080	AMC60177.1	CCC27570.1
OG0000081	AMC59174.1	CCC26657.1
OG0000082	AMC59336.1	CCC26808.1
OG0000082	AMC59401.1	CCC26865.1
OG0000083	AMC59647.1	CCC27087.1
OG0000083	AMC59672.1	CCC27111.1
OG0000084	AMC61721.1	CCC28982.1
OG0000084	AMC59738.1, AMC59735.1, AMC59739.1	CCC27166.1
OG0000085	AMC61340.1	CCC28618.1
OG0000086	AMC61574.1	CCC28843.1
OG0000088	AMC60945.1	CCC28268.1
OG0000088	AMC57501.1	CCC25138.1
OG0000089	AMC57506.1	CCC25141.1
OG0000090	AMC57507.1	CCC25142.1
OG0000090	AMC57918.1	CCC25513.1
OG0000091	AMC58655.1	CCC26180.1
OG0000091	AMC57510.1	CCC25144.1
OG0000092	AMC57818.1	CCC25420.1
OG0000092	AMC59785.1	CCC27209.1
OG0000093	AMC58695.1	CCC26217.1
OG0000093	AMC57945.1	CCC25540.1
OG0000094	AMC58008.1	CCC25598.1
OG0000094	AMC58290.1	CCC25858.1
OG0000095	AMC58019.1	CCC25609.1
OG0000095	AMC61695.1	CCC28959.1
OG0000096	AMC58055.1	CCC25641.1
OG0000096	AMC58531.1	CCC26071.1
OG0000098	AMC58282.1	CCC25850.1
OG0000099	AMC60860.1	CCC28194.1
OG0000099	AMC58338.1	CCC25897.1
OG0000100	AMC58367.1	CCC25925.1
OG0000101	AMC58629.1	CCC26155.1
OG0000102	AMC61097.1	CCC28411.1
OG0000102	AMC58846.1	CCC26360.1
OG0000103	AMC60681.1	CCC28027.1
OG0000103	AMC59136.1	CCC26622.1
OG0000104	AMC59368.1	CCC26836.1
OG0000105	AMC59487.1	CCC26947.1
OG0000106	AMC60786.1	CCC28125.1
OG0000106	AMC59615.1	CCC27062.1
OG0000107	AMC59673.1	CCC27112.1
OG0000107	AMC60879.1	CCC28210.1
OG0000108	AMC59699.1, AMC59700.1	CCC27136.1
OG0000109	AMC61720.1	CCC28980.1
OG0000109	AMC59740.1	CCC27167.1
OG0000110	AMC60682.1	CCC28028.1
OG0000110	AMC60144.1	CCC27536.1
OG0000111	AMC60014.1, AMC60015.1, AMC60152.1	CCC27546.1
OG0000112	AMC60248.1, AMC60249.1	CCC27631.1, CCC27630.1, CCC27629.1
OG0000113	AMC60396.1	CCC27758.1
OG0000113	AMC60397.1	CCC27759.1
OG0000114	AMC60742.1	CCC28079.1
OG0000115	AMC61142.1	CCC28452.1
OG0000116	AMC61285.1	CCC28582.1
OG0000117	AMC61288.1	CCC28585.1
OG0000118	AMC61374.1	CCC28652.1
OG0000119	AMC61638.1	CCC28899.1
OG0000119	AMC61637.1	CCC28898.1
OG0000121	AMC57436.1, AMC57435.1	CCC25081.1
OG0000122	AMC57518.1, AMC57519.1	CCC25152.1
OG0000123	AMC57750.1	CCC25355.1
OG0000123	AMC58422.1	CCC25974.1
OG0000124	AMC57756.1	CCC25361.1
OG0000125	AMC57757.1	CCC25362.1
OG0000126	AMC57828.1	CCC25430.1
OG0000127	AMC57885.1	CCC25481.1
OG0000128	AMC57910.1	CCC25506.1
OG0000129	AMC58312.1	CCC25876.1
OG0000130	AMC60861.1, AMC58337.1	CCC25896.1, CCC28195.1
OG0000131	AMC58343.1	CCC25902.1
OG0000132	AMC58347.1	CCC25906.1
OG0000133	AMC58380.1	CCC25938.1
OG0000133	AMC58379.1	CCC25937.1
OG0000134	AMC58709.1	CCC26231.1
OG0000134	AMC58708.1	CCC26230.1
OG0000135	AMC58954.1	CCC26458.1
OG0000136	AMC58969.1	CCC26472.1
OG0000136	AMC60812.1	CCC28151.1
OG0000137	AMC59087.1	CCC26576.1
OG0000138	AMC59101.1	CCC26589.1
OG0000139	AMC59563.1	CCC27016.1
OG0000139	AMC59105.1	CCC26593.1
OG0000140	AMC59428.1	CCC27440.1, CCC28614.1, CCC28237.1, CCC26892.1
OG0000141	AMC59439.1	CCC26901.1
OG0000142	AMC59513.1	CCC26972.1
OG0000143	AMC59575.1, AMC59576.1	CCC27026.1
OG0000144	AMC59392.1, AMC59657.1	CCC27097.1
OG0000145	AMC59678.1	CCC27117.1
OG0000145	AMC60871.1	CCC28204.1
OG0000146	AMC61563.1	CCC28833.1
OG0000146	AMC59986.1	CCC27390.1
OG0000147	AMC60087.1	CCC27481.1
OG0000148	AMC60263.1	CCC27644.1
OG0000149	AMC60394.1	CCC27756.1
OG0000150	AMC60441.1	CCC27803.1
OG0000151	AMC60543.1	CCC27900.1
OG0000151	AMC60546.1	CCC27903.1
OG0000152	AMC60664.1	CCC28013.1
OG0000153	AMC60692.1	CCC28037.1
OG0000154	AMC60706.1	CCC28047.1
OG0000155	AMC60889.1	CCC28219.1
OG0000156	AMC60987.1	CCC28304.1
OG0000157	AMC60993.1	CCC28311.1
OG0000158	AMC61070.1	CCC28383.1
OG0000159	AMC61072.1	CCC28385.1
OG0000160	AMC61073.1	CCC28386.1
OG0000161	AMC61075.1	CCC28388.1
OG0000162	AMC61077.1	CCC28389.1
OG0000163	AMC61080.1	CCC28392.1
OG0000164	AMC61083.1	CCC28395.1
OG0000165	AMC61085.1	CCC28397.1
OG0000166	AMC61086.1	CCC28398.1
OG0000167	AMC61087.1	CCC28399.1
OG0000168	AMC61100.1	CCC28413.1
OG0000169	AMC61101.1	CCC28414.1
OG0000170	AMC61118.1	CCC28427.1
OG0000171	AMC61129.1	CCC28439.1
OG0000172	AMC61205.1	CCC28508.1
OG0000172	AMC61215.1	CCC28513.1
OG0000173	AMC61344.1	CCC28622.1
OG0000174	AMC61373.1	CCC28651.1
OG0000175	AMC61445.1	CCC28721.1
OG0000176	AMC61551.1	CCC28818.1
OG0000176	AMC61546.1	CCC28812.1
OG0000177	AMC61576.1	CCC28845.1
OG0000178	AMC61578.1	CCC28847.1
OG0000179	AMC61607.1	CCC28875.1
OG0000182	AMC57455.1	CCC25095.1
OG0000183	AMC57482.1	CCC25120.1
OG0000184	AMC60269.1	CCC27650.1
OG0000184	AMC57512.1	CCC25146.1
OG0000185	AMC60270.1	CCC27651.1
OG0000185	AMC57513.1	CCC25147.1
OG0000186	AMC57563.1	CCC25192.1
OG0000187	AMC57578.1	CCC25205.1
OG0000188	AMC57614.1	CCC25238.1
OG0000189	AMC57632.1	CCC25254.1
OG0000190	AMC57644.1	CCC25263.1
OG0000191	AMC57653.1	CCC25269.1
OG0000192	AMC57671.1	CCC25287.1
OG0000193	AMC57672.1	CCC25288.1
OG0000194	AMC57734.1	CCC25346.1
OG0000195	AMC58262.1	CCC25831.1
OG0000195	AMC57738.1	CCC25350.1
OG0000196	AMC57781.1	CCC25384.1
OG0000197	AMC57822.1	CCC25424.1
OG0000198	AMC57824.1	CCC25426.1
OG0000199	AMC57911.1	CCC25507.1
OG0000200	AMC57971.1	CCC25566.1
OG0000201	AMC57981.1, AMC57980.1	CCC25574.1
OG0000202	AMC57987.1	CCC25580.1
OG0000203	AMC57998.1, AMC57999.1	CCC25590.1
OG0000204	AMC58036.1	CCC25622.1
OG0000205	AMC58051.1	CCC25637.1
OG0000206	AMC58101.1	CCC25680.1
OG0000207	AMC58128.1	CCC25707.1
OG0000207	AMC58398.1	CCC25955.1
OG0000208	AMC58157.1	CCC25735.1
OG0000209	AMC58191.1	CCC25766.1
OG0000210	AMC58232.1, AMC58231.1	CCC25805.1
OG0000211	AMC58236.1	CCC25810.1
OG0000212	AMC58266.1	CCC25835.1
OG0000213	AMC58274.1	CCC25842.1
OG0000214	AMC58277.1	CCC25845.1
OG0000215	AMC58301.1	CCC25866.1
OG0000216	AMC58344.1	CCC25903.1
OG0000217	AMC58382.1	CCC25940.1
OG0000218	AMC58383.1	CCC25941.1
OG0000219	AMC58405.1	CCC25961.1
OG0000220	AMC58410.1	CCC25966.1
OG0000221	AMC58431.1	CCC25983.1
OG0000222	AMC58463.1	CCC26010.1
OG0000223	AMC58464.1	CCC26011.1
OG0000224	AMC58509.1	CCC26053.1
OG0000225	AMC58526.1	CCC26068.1
OG0000226	AMC58571.1	CCC26105.1
OG0000227	AMC58591.1	CCC26118.1
OG0000227	AMC61161.1	CCC28468.1
OG0000228	AMC58598.1	CCC26239.1
OG0000228	AMC58717.1	CCC26125.1
OG0000229	AMC58716.1	CCC26126.1, CCC26238.1
OG0000230	AMC58637.1	CCC26164.1
OG0000231	AMC58640.1	CCC26167.1
OG0000232	AMC58718.1	CCC26240.1
OG0000233	AMC58735.1	CCC26254.1
OG0000234	AMC58741.1	CCC26261.1
OG0000235	AMC58746.1	CCC26265.1
OG0000236	AMC58770.1	CCC26291.1
OG0000237	AMC58782.1	CCC26303.1
OG0000238	AMC58836.1	CCC26351.1
OG0000239	AMC58874.1	CCC26387.1
OG0000240	AMC58880.1	CCC26392.1
OG0000241	AMC58882.1	CCC26394.1
OG0000242	AMC58937.1	CCC26445.1
OG0000243	AMC58955.1	CCC26459.1
OG0000244	AMC61554.1	CCC28821.1
OG0000244	AMC59071.1	CCC26563.1
OG0000245	AMC59074.1	CCC26566.1
OG0000246	AMC59094.1	CCC26583.1
OG0000247	AMC59104.1	CCC26592.1
OG0000248	AMC61430.1	CCC28706.1
OG0000248	AMC59119.1	CCC26609.1
OG0000249	AMC59122.1	CCC26612.1
OG0000249	AMC60686.1	CCC28031.1
OG0000250	AMC59181.1	CCC26664.1
OG0000251	AMC59195.1	CCC26679.1
OG0000252	AMC59216.1	CCC26700.1
OG0000253	AMC59235.1	CCC26719.1
OG0000254	AMC59242.1	CCC26723.1
OG0000255	AMC59248.1	CCC26729.1
OG0000256	AMC59311.1	CCC26789.1
OG0000257	AMC59324.1	CCC26797.1
OG0000258	AMC59452.1	CCC26912.1
OG0000259	AMC59510.1	CCC26969.1
OG0000260	AMC59516.1	CCC26975.1
OG0000261	AMC59527.1	CCC26984.1
OG0000262	AMC59540.1	CCC26995.1
OG0000263	AMC59544.1	CCC26999.1
OG0000264	AMC59579.1	CCC27029.1
OG0000265	AMC59683.1	CCC27122.1
OG0000266	AMC59728.1	CCC27160.1
OG0000267	AMC59770.1, AMC59772.1, AMC59771.1	CCC27197.1
OG0000268	AMC59789.1	CCC27213.1
OG0000269	AMC59807.1	CCC27227.1
OG0000270	AMC59837.1	CCC27254.1
OG0000271	AMC60115.1	CCC27509.1
OG0000271	AMC59841.1	CCC27258.1
OG0000272	AMC59859.1	CCC27274.1
OG0000273	AMC59862.1, AMC59861.1	CCC27276.1
OG0000274	AMC59868.1	CCC27282.1
OG0000275	AMC59887.1	CCC27297.1
OG0000276	AMC59917.1	CCC27323.1
OG0000277	AMC59967.1	CCC27373.1
OG0000278	AMC60012.1	CCC27414.1
OG0000279	AMC60042.1	CCC27443.1
OG0000280	AMC60061.1	CCC27460.1
OG0000281	AMC60062.1	CCC27461.1
OG0000282	AMC60078.1	CCC27474.1
OG0000283	AMC60106.1	CCC27501.1
OG0000284	AMC60164.1	CCC27556.1
OG0000285	AMC60233.1	CCC27616.1
OG0000286	AMC60218.1	CCC27603.1
OG0000287	AMC60227.1	CCC27610.1
OG0000288	AMC60288.1	CCC27669.1
OG0000289	AMC60382.1	CCC27745.1
OG0000290	AMC60402.1	CCC27764.1
OG0000291	AMC60411.1	CCC27773.1
OG0000292	AMC60461.1	CCC27823.1
OG0000293	AMC60564.1	CCC27921.1
OG0000294	AMC60608.1	CCC27961.1
OG0000295	AMC60653.1	CCC28003.1
OG0000296	AMC60716.1	CCC28056.1
OG0000297	AMC60718.1, AMC60717.1	CCC28057.1
OG0000298	AMC60723.1	CCC28062.1
OG0000299	AMC60724.1	CCC28063.1
OG0000300	AMC60733.1	CCC28071.1
OG0000301	AMC60774.1	CCC28113.1
OG0000302	AMC60777.1	CCC28116.1
OG0000303	AMC60783.1	CCC28122.1
OG0000304	AMC60803.1	CCC28142.1
OG0000305	AMC60845.1	CCC28179.1
OG0000306	AMC60852.1	CCC28186.1
OG0000306	AMC61096.1	CCC28410.1
OG0000307	AMC60916.1	CCC28246.1
OG0000308	AMC60921.1	CCC28250.1
OG0000309	AMC60972.1	CCC28290.1
OG0000310	AMC61002.1	CCC28320.1
OG0000310	AMC61539.1	CCC28806.1
OG0000311	AMC61017.1	CCC28335.1
OG0000312	AMC61034.1, AMC61033.1	CCC28351.1
OG0000313	AMC61037.1	CCC28354.1
OG0000314	AMC61051.1	CCC28366.1
OG0000315	AMC61055.1	CCC28369.1
OG0000316	AMC61068.1	CCC28381.1
OG0000317	AMC61074.1	CCC28387.1
OG0000318	AMC61078.1	CCC28390.1
OG0000319	AMC61079.1	CCC28391.1
OG0000320	AMC61084.1	CCC28396.1
OG0000321	AMC61113.1, AMC61112.1	CCC28423.1
OG0000322	AMC61186.1	CCC28489.1
OG0000323	AMC61250.1	CCC28547.1
OG0000324	AMC61252.1	CCC28549.1
OG0000325	AMC61269.1	CCC28566.1
OG0000326	AMC61316.1	CCC28596.1
OG0000327	AMC61375.1	CCC28653.1
OG0000328	AMC61434.1	CCC28710.1
OG0000329	AMC61448.1	CCC28724.1
OG0000330	AMC61479.1	CCC28752.1
OG0000331	AMC61526.1	CCC28795.1
OG0000332	AMC61580.1	CCC28849.1
OG0000333	AMC61619.1	CCC28883.1
OG0000334	AMC61621.1, AMC61620.1	CCC28884.1
OG0000335	AMC61685.1	CCC28939.1
OG0000342	AMC57428.1	CCC25075.1
OG0000343	AMC57429.1	CCC25076.1
OG0000344	AMC57430.1	CCC25077.1
OG0000345	AMC57431.1	CCC25078.1
OG0000346	AMC57432.1	CCC25079.1
OG0000347	AMC57434.1	CCC25080.1
OG0000348	AMC57440.1	CCC25083.1
OG0000349	AMC57443.1	CCC25085.1
OG0000350	AMC57445.1	CCC25087.1
OG0000351	AMC57446.1	CCC25088.1
OG0000352	AMC57447.1	CCC25089.1
OG0000353	AMC57448.1	CCC25090.1
OG0000354	AMC57449.1	CCC25091.1
OG0000355	AMC57450.1	CCC25092.1
OG0000356	AMC57451.1	CCC25093.1
OG0000357	AMC57452.1	CCC25094.1
OG0000358	AMC57459.1, AMC57458.1	CCC25098.1
OG0000359	AMC57474.1	CCC25112.1
OG0000360	AMC57476.1	CCC25114.1
OG0000361	AMC57477.1	CCC25115.1
OG0000362	AMC57478.1	CCC25116.1
OG0000363	AMC57480.1	CCC25118.1
OG0000364	AMC57483.1	CCC25121.1
OG0000365	AMC57485.1	CCC25123.1
OG0000366	AMC57486.1	CCC25124.1
OG0000367	AMC57487.1	CCC25125.1
OG0000368	AMC57489.1	CCC25127.1
OG0000369	AMC57490.1	CCC25128.1
OG0000370	AMC57491.1	CCC25129.1
OG0000371	AMC57492.1	CCC25130.1
OG0000372	AMC57494.1	CCC25132.1
OG0000373	AMC57505.1	CCC25140.1
OG0000374	AMC57514.1	CCC25148.1
OG0000375	AMC57546.1	CCC25177.1
OG0000376	AMC57551.1	CCC25181.1
OG0000377	AMC57552.1	CCC25182.1
OG0000378	AMC57556.1	CCC25186.1
OG0000379	AMC57559.1	CCC25189.1
OG0000380	AMC57562.1	CCC25191.1
OG0000381	AMC57565.1	CCC25194.1
OG0000382	AMC57572.1	CCC25199.1
OG0000383	AMC57584.1	CCC25210.1
OG0000384	AMC57585.1	CCC25211.1
OG0000385	AMC57586.1	CCC25212.1
OG0000386	AMC57588.1	CCC25214.1
OG0000387	AMC57594.1	CCC25220.1
OG0000388	AMC57595.1	CCC25221.1
OG0000389	AMC57596.1	CCC25222.1
OG0000390	AMC57604.1	CCC25229.1
OG0000391	AMC57605.1	CCC25230.1
OG0000392	AMC57606.1	CCC25231.1
OG0000393	AMC57611.1	CCC25235.1
OG0000394	AMC57626.1	CCC25248.1
OG0000395	AMC57627.1	CCC25249.1
OG0000396	AMC57628.1	CCC25250.1
OG0000397	AMC57629.1	CCC25251.1
OG0000398	AMC57631.1	CCC25253.1
OG0000399	AMC57634.1	CCC25256.1
OG0000400	AMC57636.1	CCC25257.1
OG0000401	AMC57637.1	CCC25258.1
OG0000402	AMC57643.1	CCC25262.1
OG0000403	AMC57659.1	CCC25275.1
OG0000404	AMC57660.1	CCC25276.1
OG0000405	AMC57661.1	CCC25277.1
OG0000406	AMC57663.1	CCC25279.1
OG0000407	AMC57664.1	CCC25280.1
OG0000408	AMC57665.1	CCC25281.1
OG0000409	AMC57668.1	CCC25284.1
OG0000410	AMC57673.1	CCC25289.1
OG0000411	AMC57681.1	CCC25296.1
OG0000412	AMC57682.1	CCC25297.1
OG0000413	AMC57683.1	CCC25298.1
OG0000414	AMC57684.1	CCC25299.1
OG0000415	AMC57685.1	CCC25300.1
OG0000416	AMC57692.1	CCC25306.1
OG0000417	AMC57694.1	CCC25308.1
OG0000418	AMC57696.1	CCC25310.1
OG0000419	AMC57697.1	CCC25311.1
OG0000420	AMC57700.1	CCC25314.1
OG0000421	AMC57701.1	CCC25315.1
OG0000422	AMC57702.1	CCC25316.1
OG0000423	AMC57704.1	CCC25318.1
