HOG	OG	Gene Tree Parent Clade	Mavium	Mafric	Mlepra	Mbovis	Mmicro
N3.HOG0000086	OG0000005	n19		CCC28910.1		ALV12690.1	
N3.HOG0000087	OG0000005	n22		CCC25478.1		ALV09649.1	
N3.HOG0000088	OG0000005	n16		CCC28016.1		ALV11901.1	
N3.HOG0000089	OG0000005	n27		CCC28025.1		ALV11908.1	
N3.HOG0000090	OG0000005	n30		CCC28005.1		ALV11892.1	
N3.HOG0000091	OG0000005	n11		CCC26628.1		ALV10668.1	
N3.HOG0000092	OG0000005	n13		CCC26620.1		ALV10661.1	
N3.HOG0000093	OG0000006	n1		CCC27189.1		ALV11165.1	
N3.HOG0000094	OG0000006	n12		CCC26286.1		ALV12916.1	
N3.HOG0000095	OG0000006	n10		CCC26895.1		ALV10896.1	
N3.HOG0000096	OG0000006	n23		CCC28559.1		ALV12395.1	
N3.HOG0000097	OG0000006	n18		CCC26880.1		ALV10881.1	
N3.HOG0000098	OG0000006	n20		CCC26883.1		ALV10883.1	
N3.HOG0000099	OG0000007	n1		CCC25545.1		ALV09713.1	
N3.HOG0000100	OG0000007	n8		CCC25726.1		ALV09870.1	
N3.HOG0000101	OG0000007	n12		CCC25544.1		ALV12813.1	
N3.HOG0000102	OG0000007	n17		CCC28474.1		ALV12328.1	
N3.HOG0000103	OG0000007	n20		CCC25724.1		ALV09868.1	
N3.HOG0000104	OG0000007	n22		CCC25725.1		ALV09869.1	
N3.HOG0000105	OG0000008	n0		CCC28626.1		ALV12452.1	
N3.HOG0000106	OG0000009	n4		CCC25524.1		ALV09694.1	
N3.HOG0000107	OG0000009	n9		CCC25476.1			
N3.HOG0000108	OG0000009	n20		CCC25757.1		ALV09901.1	
N3.HOG0000109	OG0000009	n11		CCC25586.1		ALV09745.1	
N3.HOG0000110	OG0000009	n13		CCC26656.1		ALV10694.1	
N3.HOG0000111	OG0000009	n18		CCC27422.1		ALV11372.1	
N3.HOG0000112	OG0000011	n1		CCC26216.1		ALV10316.1	
N3.HOG0000113	OG0000011	n7		CCC26237.1		ALV11023.1, ALV10333.1	
N3.HOG0000114	OG0000011	n13		CCC28551.1			
N3.HOG0000115	OG0000011	n15		CCC26671.1		ALV12957.1	
N3.HOG0000116	OG0000011	n17				ALV09369.1, ALV13193.1	
N3.HOG0000117	OG0000012	n1		CCC25852.1		ALV09992.1	
N3.HOG0000118	OG0000012	n4				ALV09479.1	
N3.HOG0000119	OG0000013	n1		CCC26158.1		ALV12896.1	
N3.HOG0000120	OG0000013	n5		CCC28792.1		ALV12592.1	
N3.HOG0000121	OG0000013	n9		CCC28636.1		ALV12462.1	
N3.HOG0000122	OG0000013	n14		CCC28598.1		ALV13201.1	
N3.HOG0000123	OG0000014	n15		CCC25525.1		ALV09695.1	
N3.HOG0000124	OG0000014	n4		CCC26655.1		ALV12954.1	
N3.HOG0000125	OG0000014	n10		CCC25758.1		ALV12843.1	
N3.HOG0000126	OG0000016	n2		CCC25240.1		ALV09429.1	
N3.HOG0000127	OG0000016	n14		CCC25666.1		ALV09815.1	
N3.HOG0000128	OG0000016	n7		CCC28583.1		ALV12413.1	
N3.HOG0000129	OG0000017	n0		CCC28641.1		ALV12466.1	
N3.HOG0000130	OG0000018	n1		CCC26818.1		ALV10831.1	
N3.HOG0000131	OG0000018	n4		CCC25912.1		ALV10045.1	
N3.HOG0000132	OG0000019	n1		CCC27740.1		ALV13126.1	
N3.HOG0000133	OG0000019	n8		CCC27597.1, CCC26131.1, CCC26290.1		ALV12917.1, ALV11524.1	
N3.HOG0000134	OG0000019	n13		CCC28100.1		ALV10240.1	
N3.HOG0000135	OG0000020	n6		CCC26856.1, CCC28406.1		ALV11787.1	
N3.HOG0000136	OG0000020	n8		CCC26260.1		ALV09980.1	
N3.HOG0000137	OG0000021	n0		CCC26225.1		ALV10322.1	
N3.HOG0000138	OG0000024	n1		CCC26978.1		ALV10975.1	
N3.HOG0000139	OG0000024	n6		CCC28888.1		ALV12672.1	
N3.HOG0000140	OG0000024	n10		CCC25203.1		ALV09398.1	
N3.HOG0000141	OG0000025	n1		CCC27960.1		ALV11854.1	
N3.HOG0000142	OG0000025	n12		CCC28912.1		ALV12692.1	
N3.HOG0000143	OG0000025	n5		CCC27867.1		ALV11765.1	
N3.HOG0000144	OG0000025	n8		CCC28054.1		ALV11935.1	
N3.HOG0000145	OG0000025	n10		CCC25684.1		ALV09831.1	
N3.HOG0000146	OG0000026	n0		CCC26021.1		ALV10141.1	
N3.HOG0000147	OG0000027	n9		CCC26120.1		ALV10230.1	
N3.HOG0000148	OG0000027	n11		CCC26289.1		ALV10376.1	
N3.HOG0000149	OG0000027	n4		CCC26885.1		ALV11378.1, ALV10885.1	
N3.HOG0000150	OG0000027	n7		CCC27429.1			
N3.HOG0000151	OG0000028	n12		CCC27430.1			
N3.HOG0000152	OG0000028	n10		CCC26288.1		ALV10375.1	
N3.HOG0000153	OG0000028	n6		CCC26884.1		ALV10884.1	
N3.HOG0000154	OG0000028	n8		CCC26121.1		ALV10231.1	
N3.HOG0000155	OG0000029	n2		CCC28162.1		ALV12026.1	
N3.HOG0000156	OG0000029	n11		CCC26336.1		ALV10417.1	
N3.HOG0000157	OG0000030	n3				ALV11788.1	
N3.HOG0000158	OG0000030	n13		CCC26855.1			
N3.HOG0000159	OG0000030	n10		CCC28829.1		ALV09981.1	
N3.HOG0000160	OG0000030	n12		CCC27890.1			
N3.HOG0000161	OG0000031	n0		CCC25239.1		ALV09428.1	
N3.HOG0000162	OG0000032	n2		CCC25242.1		ALV09431.1	
N3.HOG0000163	OG0000032	n10		CCC25668.1		ALV09817.1	
N3.HOG0000164	OG0000033	n3		CCC25669.1		ALV09818.1	
N3.HOG0000165	OG0000033	n6		CCC25243.1		ALV09432.1	
N3.HOG0000166	OG0000034	n7		CCC26832.1		ALV10843.1	
N3.HOG0000167	OG0000034	n10		CCC26012.1			
N3.HOG0000168	OG0000034	n4		CCC26359.1			
N3.HOG0000169	OG0000034	n5		CCC26357.1			
N3.HOG0000170	OG0000035	n3		CCC26273.1		ALV12911.1	
N3.HOG0000171	OG0000035	n6		CCC28904.1		ALV12686.1	
N3.HOG0000172	OG0000035	n10		CCC28908.1		ALV12688.1	
N3.HOG0000173	OG0000036	n11		CCC26881.1		ALV10882.1	
N3.HOG0000174	OG0000036	n9		CCC26793.1		ALV10809.1	
N3.HOG0000175	OG0000036	n5		CCC26879.1		ALV12983.1	
N3.HOG0000176	OG0000036	n7		CCC26882.1		ALV12984.1	
N3.HOG0000177	OG0000037	n1		CCC25167.1		ALV09367.1	
N3.HOG0000178	OG0000037	n5		CCC26050.1		ALV10166.1	
N3.HOG0000179	OG0000037	n9		CCC25178.1		ALV09376.1	
N3.HOG0000180	OG0000038	n1		CCC26480.1		ALV10547.1	
N3.HOG0000181	OG0000038	n6		CCC28099.1		ALV13125.1	
N3.HOG0000182	OG0000038	n8		CCC25359.1		ALV09544.1	
N3.HOG0000183	OG0000039	n1		CCC27866.1		ALV11764.1	
N3.HOG0000184	OG0000039	n4		CCC28053.1		ALV11934.1	
N3.HOG0000185	OG0000039	n8		CCC28911.1		ALV12691.1	
N3.HOG0000186	OG0000039	n10		CCC25685.1		ALV09832.1	
N3.HOG0000187	OG0000040	n0		CCC26007.1		ALV10130.1	
N3.HOG0000188	OG0000041	n0		CCC26487.1		ALV10553.1	
N3.HOG0000189	OG0000042	n1				ALV12825.1, ALV12802.1	
N3.HOG0000190	OG0000042	n8		CCC25467.1		ALV09639.1	
N3.HOG0000191	OG0000043	n3				ALV09633.1	
N3.HOG0000192	OG0000043	n4		CCC27573.1		ALV11499.1	
N3.HOG0000193	OG0000043	n7		CCC26454.1		ALV10521.1	
N3.HOG0000194	OG0000043	n9		CCC25971.1		ALV10097.1	
N3.HOG0000195	OG0000044	n8		CCC26274.1		ALV10366.1	
N3.HOG0000196	OG0000044	n6				ALV12687.1	
N3.HOG0000197	OG0000044	n7				ALV12952.1	
N3.HOG0000198	OG0000045	n2		CCC26412.1		ALV10482.1	
N3.HOG0000199	OG0000045	n5		CCC26415.1		ALV10484.1	
N3.HOG0000200	OG0000045	n9		CCC26413.1			
N3.HOG0000201	OG0000045	n10		CCC26414.1			
N3.HOG0000202	OG0000046	n1		CCC26848.1		ALV10857.1	
N3.HOG0000203	OG0000046	n5		CCC28802.1		ALV12602.1	
N3.HOG0000204	OG0000047	n0		CCC26902.1		ALV10902.1	
N3.HOG0000205	OG0000048	n2		CCC25672.1		ALV09820.1	
N3.HOG0000206	OG0000048	n7		CCC25246.1		ALV12790.1	
N3.HOG0000207	OG0000049	n2		CCC25466.1		ALV09638.1	
N3.HOG0000208	OG0000049	n7		CCC26946.1		ALV10945.1	
N3.HOG0000209	OG0000050	n3		CCC26623.1		ALV10663.1	
N3.HOG0000210	OG0000050	n5		CCC26625.1		ALV10665.1	
N3.HOG0000211	OG0000051	n0		CCC26790.1		ALV10806.1	
N3.HOG0000212	OG0000052	n1		CCC27433.1			
N3.HOG0000213	OG0000052	n9		CCC27434.1			
N3.HOG0000214	OG0000052	n5		CCC26844.1		ALV10853.1	
N3.HOG0000215	OG0000052	n8		CCC27432.1			
N3.HOG0000216	OG0000053	n1		CCC27326.1		ALV11287.1	
N3.HOG0000217	OG0000053	n5		CCC27327.1		ALV11288.1	
N3.HOG0000218	OG0000054	n0		CCC28610.1		ALV12438.1	
N3.HOG0000219	OG0000055	n0		CCC28637.1		ALV13204.1	
N3.HOG0000220	OG0000056	n0		CCC28645.1		ALV12469.1	
N3.HOG0000221	OG0000057	n0		CCC25176.1		ALV09374.1	
N3.HOG0000222	OG0000058	n1		CCC28500.1		ALV12352.1	
N3.HOG0000223	OG0000058	n5		CCC25514.1		ALV09685.1	
N3.HOG0000224	OG0000059	n1		CCC25823.1		ALV12666.1	
N3.HOG0000225	OG0000059	n8				ALV09964.1	
N3.HOG0000226	OG0000060	n2		CCC26013.1		ALV10134.1	
N3.HOG0000227	OG0000060	n6		CCC26009.1		ALV10132.1	
N3.HOG0000228	OG0000061	n2		CCC27089.1		ALV11075.1	
N3.HOG0000229	OG0000061	n6		CCC26268.1		ALV10362.1	
N3.HOG0000230	OG0000062	n2		CCC26285.1		ALV10373.1	
N3.HOG0000231	OG0000062	n5		CCC26547.1		ALV10610.1	
N3.HOG0000232	OG0000062	n7		CCC27454.1		ALV11391.1	
N3.HOG0000233	OG0000063	n2		CCC26287.1		ALV10374.1	
N3.HOG0000234	OG0000063	n4		CCC28560.1		ALV12396.1	
N3.HOG0000235	OG0000063	n7		CCC26457.1		ALV10525.1	
N3.HOG0000236	OG0000064	n1		CCC26744.1		ALV10770.1	
N3.HOG0000237	OG0000064	n5		CCC26753.1		ALV10774.1	
N3.HOG0000238	OG0000065	n0		CCC27375.1		ALV13039.1	
N3.HOG0000239	OG0000066	n0		CCC28638.1		ALV12463.1	
N3.HOG0000240	OG0000067	n0		CCC28716.1		ALV13213.1	
N3.HOG0000241	OG0000069	n2		CCC25241.1		ALV09430.1	
N3.HOG0000242	OG0000069	n5		CCC25667.1		ALV09816.1	
N3.HOG0000243	OG0000070	n2		CCC25670.1		ALV12834.1	
N3.HOG0000244	OG0000070	n5		CCC25244.1		ALV09433.1	
N3.HOG0000245	OG0000071	n2		CCC25671.1		ALV09819.1	
N3.HOG0000246	OG0000071	n5		CCC25245.1		ALV09434.1	
N3.HOG0000247	OG0000072	n2		CCC25673.1		ALV12835.1	
N3.HOG0000248	OG0000072	n5		CCC25247.1		ALV09435.1	
N3.HOG0000249	OG0000073	n0		CCC25290.1		ALV09473.1	
N3.HOG0000250	OG0000074	n2		CCC26561.1		ALV10623.1	
N3.HOG0000251	OG0000074	n5		CCC25317.1		ALV09502.1	
N3.HOG0000252	OG0000075	n2		CCC25334.1		ALV09518.1	
N3.HOG0000253	OG0000075	n5		CCC27411.1		ALV13043.1	
N3.HOG0000254	OG0000076	n1		CCC25813.1		ALV09956.1	
N3.HOG0000255	OG0000076	n4		CCC25808.1		ALV09952.1	
N3.HOG0000256	OG0000076	n6		CCC28871.1		ALV13235.1	
N3.HOG0000257	OG0000077	n2		CCC26161.1		ALV10264.1	
N3.HOG0000258	OG0000077	n5		CCC28569.1		ALV12400.1	
N3.HOG0000259	OG0000078	n0		CCC26310.1		ALV10397.1	
N3.HOG0000260	OG0000079	n2		CCC26450.1		ALV10517.1	
N3.HOG0000261	OG0000080	n2		CCC26520.1		ALV10580.1	
N3.HOG0000262	OG0000080	n5		CCC27570.1		ALV11497.1	
N3.HOG0000263	OG0000081	n0		CCC26657.1		ALV10695.1	
N3.HOG0000264	OG0000082	n4		CCC26808.1		ALV10823.1	
N3.HOG0000265	OG0000082	n6		CCC26865.1		ALV12980.1	
N3.HOG0000266	OG0000083	n1		CCC27087.1		ALV11073.1	
N3.HOG0000267	OG0000083	n4		CCC27111.1		ALV11094.1	
N3.HOG0000268	OG0000084	n2		CCC28982.1		ALV12746.1	
N3.HOG0000269	OG0000084	n4		CCC27166.1		ALV11144.1	
N3.HOG0000270	OG0000085	n0		CCC28618.1		ALV13202.1	
N3.HOG0000271	OG0000086	n0		CCC28843.1		ALV12630.1	
N3.HOG0000272	OG0000088	n3		CCC28268.1		ALV12121.1	
N3.HOG0000273	OG0000088	n5		CCC25138.1		ALV09340.1	
N3.HOG0000274	OG0000089	n0		CCC25141.1		ALV09344.1	
N3.HOG0000275	OG0000090	n3		CCC25142.1		ALV09345.1	
N3.HOG0000276	OG0000090	n5		CCC25513.1		ALV09684.1	
N3.HOG0000277	OG0000091	n3		CCC26180.1		ALV10283.1	
N3.HOG0000278	OG0000091	n5		CCC25144.1		ALV09347.1	
N3.HOG0000279	OG0000092	n3		CCC25420.1		ALV09597.1	
N3.HOG0000280	OG0000092	n5		CCC27209.1		ALV11184.1	
N3.HOG0000281	OG0000093	n1		CCC26217.1		ALV10317.1	
N3.HOG0000282	OG0000093	n4		CCC25540.1		ALV09709.1	
N3.HOG0000283	OG0000094	n1		CCC25598.1		ALV09754.1	
N3.HOG0000284	OG0000094	n4		CCC25858.1		ALV09998.1	
N3.HOG0000285	OG0000095	n2		CCC25609.1		ALV09762.1	
N3.HOG0000286	OG0000095	n5		CCC28959.1			
N3.HOG0000287	OG0000096	n3		CCC25641.1		ALV09794.1	
N3.HOG0000288	OG0000096	n5		CCC26071.1		ALV10185.1	
N3.HOG0000289	OG0000097	n0		CCC25839.1		ALV09978.1	
N3.HOG0000290	OG0000098	n0		CCC25850.1			
N3.HOG0000291	OG0000099	n3		CCC28194.1		ALV12853.1, ALV12056.1	
N3.HOG0000292	OG0000099	n6		CCC25897.1			
N3.HOG0000293	OG0000100	n0		CCC25925.1		ALV10059.1	
N3.HOG0000294	OG0000101	n0		CCC26155.1		ALV10261.1	
N3.HOG0000295	OG0000102	n1		CCC28411.1		ALV12280.1	
N3.HOG0000296	OG0000102	n4		CCC26360.1		ALV10435.1	
N3.HOG0000297	OG0000103	n3		CCC28027.1		ALV11910.1	
N3.HOG0000298	OG0000103	n5		CCC26622.1		ALV10662.1	
N3.HOG0000299	OG0000104	n0		CCC26836.1		ALV12976.1	
N3.HOG0000300	OG0000105	n0		CCC26947.1		ALV10946.1	
N3.HOG0000301	OG0000106	n3		CCC28125.1		ALV11994.1	
N3.HOG0000302	OG0000106	n5		CCC27062.1		ALV11047.1	
N3.HOG0000303	OG0000107	n2		CCC27112.1		ALV11095.1	
N3.HOG0000304	OG0000107	n4		CCC28210.1		ALV12065.1	
N3.HOG0000305	OG0000108	n2				ALV13008.1	
N3.HOG0000306	OG0000109	n3		CCC28980.1		ALV13245.1	
N3.HOG0000307	OG0000109	n5		CCC27167.1		ALV11145.1	
N3.HOG0000308	OG0000110	n3		CCC28028.1		ALV11911.1	
N3.HOG0000309	OG0000110	n5		CCC27536.1		ALV11468.1	
N3.HOG0000310	OG0000111	n4				ALV11368.1	
N3.HOG0000311	OG0000111	n6				ALV13061.1	
N3.HOG0000312	OG0000112	n3		CCC27631.1		ALV11557.1	
N3.HOG0000313	OG0000112	n5		CCC27630.1		ALV11556.1	
N3.HOG0000314	OG0000112	n6		CCC27629.1		ALV11555.1	
N3.HOG0000315	OG0000113	n3		CCC27758.1		ALV11668.1	
N3.HOG0000316	OG0000113	n5		CCC27759.1		ALV11669.1	
N3.HOG0000317	OG0000114	n0		CCC28079.1		ALV11957.1	
N3.HOG0000318	OG0000115	n0		CCC28452.1		ALV12312.1	
N3.HOG0000319	OG0000116	n0		CCC28582.1		ALV12412.1	
N3.HOG0000320	OG0000117	n0		CCC28585.1		ALV12415.1	
N3.HOG0000321	OG0000118	n0		CCC28652.1		ALV12475.1	
N3.HOG0000322	OG0000119	n1		CCC28899.1		ALV12681.1	
N3.HOG0000323	OG0000119	n4		CCC28898.1		ALV12680.1	
N3.HOG0000324	OG0000121	n0		CCC25081.1		ALV09286.1	
N3.HOG0000325	OG0000123	n2		CCC25355.1		ALV09540.1	
N3.HOG0000326	OG0000123	n4		CCC25974.1		ALV10099.1	
N3.HOG0000327	OG0000124	n3		CCC25361.1		ALV09546.1	
N3.HOG0000328	OG0000124	n5		CCC28097.1		ALV11972.1	
N3.HOG0000329	OG0000125	n3		CCC25362.1		ALV09547.1	
N3.HOG0000330	OG0000125	n5		CCC28096.1		ALV11971.1	
N3.HOG0000331	OG0000126	n0		CCC25430.1		ALV09606.1	
N3.HOG0000332	OG0000127	n0		CCC25481.1		ALV09653.1	
N3.HOG0000333	OG0000128	n0		CCC25506.1		ALV09677.1	
N3.HOG0000334	OG0000129	n0		CCC25876.1		ALV10018.1	
N3.HOG0000335	OG0000130	n0		CCC25896.1, CCC28195.1		ALV10036.1	
N3.HOG0000336	OG0000131	n2				ALV10136.1	
N3.HOG0000337	OG0000131	n4		CCC25902.1			
N3.HOG0000338	OG0000132	n0		CCC25906.1		ALV10043.1	
N3.HOG0000339	OG0000133	n1		CCC25938.1		ALV12863.1	
N3.HOG0000340	OG0000133	n4		CCC25937.1			
N3.HOG0000341	OG0000134	n2		CCC26231.1		ALV10327.1	
N3.HOG0000342	OG0000134	n4		CCC26230.1		ALV12906.1	
N3.HOG0000343	OG0000135	n0		CCC26458.1		ALV12934.1	
N3.HOG0000344	OG0000136	n2		CCC26472.1		ALV10539.1	
N3.HOG0000345	OG0000136	n4		CCC28151.1		ALV12016.1	
N3.HOG0000346	OG0000137	n0		CCC26576.1		ALV10638.1	
N3.HOG0000347	OG0000138	n0		CCC26589.1		ALV10649.1	
N3.HOG0000348	OG0000139	n2		CCC27016.1		ALV12994.1	
N3.HOG0000349	OG0000139	n4		CCC26593.1		ALV10651.1	
N3.HOG0000350	OG0000140	n2		CCC27440.1, CCC28614.1, CCC28237.1		ALV12296.1	
N3.HOG0000351	OG0000140	n5		CCC26892.1		ALV10892.1	
N3.HOG0000352	OG0000141	n1		CCC26901.1			
N3.HOG0000353	OG0000141	n3				ALV10894.1	
N3.HOG0000354	OG0000142	n0		CCC26972.1		ALV12988.1	
N3.HOG0000355	OG0000143	n0		CCC27026.1		ALV11013.1	
N3.HOG0000356	OG0000144	n0		CCC27097.1		ALV10862.1, ALV11083.1	
N3.HOG0000357	OG0000145	n2		CCC27117.1		ALV11099.1	
N3.HOG0000358	OG0000145	n4		CCC28204.1		ALV13142.1	
N3.HOG0000359	OG0000146	n2		CCC28833.1		ALV12621.1	
N3.HOG0000360	OG0000146	n4		CCC27390.1		ALV11344.1	
N3.HOG0000361	OG0000147	n0		CCC27481.1		ALV11419.1	
N3.HOG0000362	OG0000148	n2				ALV11571.1	
N3.HOG0000363	OG0000148	n4		CCC27644.1			
N3.HOG0000364	OG0000148	n5		CCC27645.1		ALV11570.1	
N3.HOG0000365	OG0000149	n3				ALV13181.1	
N3.HOG0000366	OG0000149	n4		CCC27756.1		ALV11667.1	
N3.HOG0000367	OG0000150	n0		CCC27803.1		ALV11707.1	
N3.HOG0000368	OG0000151	n2		CCC27900.1		ALV13096.1	
N3.HOG0000369	OG0000151	n4		CCC27903.1		ALV11798.1	
N3.HOG0000370	OG0000152	n0		CCC28013.1		ALV11898.1	
N3.HOG0000371	OG0000153	n3				ALV11916.1	
N3.HOG0000372	OG0000153	n4		CCC28037.1		ALV11919.1	
N3.HOG0000373	OG0000154	n0		CCC28047.1		ALV13119.1	
N3.HOG0000374	OG0000155	n0		CCC28219.1		ALV13144.1	
N3.HOG0000375	OG0000156	n0		CCC28304.1		ALV12148.1	
N3.HOG0000376	OG0000157	n0		CCC28311.1		ALV12154.1	
N3.HOG0000377	OG0000158	n0		CCC28383.1		ALV12237.1, ALV12254.1, ALV12220.1	
N3.HOG0000378	OG0000159	n0		CCC28385.1		ALV12239.1, ALV12222.1, ALV12256.1	
N3.HOG0000379	OG0000160	n0		CCC28386.1		ALV12240.1, ALV12257.1, ALV12223.1	
N3.HOG0000380	OG0000161	n0		CCC28388.1		ALV12259.1, ALV12242.1, ALV12225.1	
N3.HOG0000381	OG0000162	n0		CCC28389.1		ALV12260.1, ALV12243.1, ALV12226.1	
N3.HOG0000382	OG0000163	n0		CCC28392.1		ALV12246.1, ALV12263.1, ALV12229.1	
N3.HOG0000383	OG0000164	n0		CCC28395.1		ALV12231.1, ALV12265.1, ALV12248.1	
N3.HOG0000384	OG0000165	n0		CCC28397.1		ALV12250.1, ALV12233.1, ALV12267.1	
N3.HOG0000385	OG0000166	n0		CCC28398.1		ALV12234.1, ALV12268.1, ALV12251.1	
N3.HOG0000386	OG0000167	n0		CCC28399.1		ALV12252.1, ALV12235.1, ALV12269.1	
N3.HOG0000387	OG0000168	n3				ALV12850.1	
N3.HOG0000388	OG0000168	n4		CCC28413.1		ALV13172.1	
N3.HOG0000389	OG0000169	n0		CCC28414.1		ALV13173.1	
