Orthogroup	Mafric	Mmicro
OG0000014	CCC26655.1	AMC59172.1
OG0000014	CCC25758.1	AMC58183.1
OG0000014	CCC25525.1	AMC57930.1
OG0000016	CCC25240.1	AMC57617.1
OG0000016	CCC28583.1	AMC61286.1
OG0000016	CCC25666.1	AMC58086.1
OG0000017	CCC28641.1	AMC61363.1
OG0000018	CCC26818.1	AMC59347.1
OG0000018	CCC25912.1	AMC58352.1
OG0000019	CCC27740.1	AMC60858.1, AMC60377.1
OG0000019	CCC27597.1, CCC26131.1, CCC26290.1	AMC60211.1
OG0000019	CCC28100.1	AMC58769.1, AMC58602.1
OG0000020	CCC26747.1, CCC27889.1, CCC28206.1, CCC26856.1, CCC28406.1, CCC26260.1	AMC60936.1, AMC58497.1, AMC60529.1, AMC59133.1, AMC60874.1, AMC59375.1, AMC58270.1, AMC60697.1
OG0000021	CCC26225.1	AMC58703.1
OG0000024	CCC26978.1	AMC59519.1
OG0000024	CCC28888.1	AMC61625.1
OG0000024	CCC25203.1	AMC57576.1
OG0000025	CCC27960.1	AMC60607.1
OG0000025	CCC27867.1	AMC60506.1
OG0000025	CCC28054.1	AMC60714.1
OG0000025	CCC25684.1	AMC58105.1
OG0000025	CCC28912.1	AMC61653.1
OG0000026	CCC26021.1	AMC58475.1
OG0000027	CCC26885.1	AMC60028.1
OG0000027	CCC27429.1	AMC59420.1
OG0000027	CCC26120.1	AMC58593.1
OG0000027	CCC26289.1	AMC58768.1
OG0000028	CCC26884.1	AMC59419.1
OG0000028	CCC26121.1	AMC58594.1
OG0000028	CCC26288.1	AMC58767.1
OG0000028	CCC27430.1	AMC60029.1
OG0000029	CCC28162.1	AMC60824.1
OG0000029	CCC26336.1	AMC58820.1
OG0000030	CCC28829.1	AMC58271.1
OG0000030	CCC27890.1	AMC58498.1
OG0000030	CCC26855.1	AMC60696.1
OG0000031	CCC25239.1	AMC57616.1
OG0000032	CCC25242.1	AMC57619.1
OG0000032	CCC25668.1	AMC58088.1
OG0000033	CCC25669.1	AMC58089.1
OG0000033	CCC25243.1	AMC57621.1
OG0000034	CCC26359.1	AMC58845.1
OG0000034	CCC26357.1	AMC58843.1
OG0000034	CCC26832.1	AMC59364.1
OG0000035	CCC26273.1	AMC58753.1
OG0000035	CCC28904.1	AMC61644.1
OG0000035	CCC28908.1	AMC61649.1
OG0000036	CCC26879.1	AMC59414.1
OG0000036	CCC26882.1	AMC59417.1
OG0000036	CCC26793.1	AMC59319.1
OG0000036	CCC26881.1	AMC59416.1
OG0000037	CCC25167.1	AMC57536.1
OG0000037	CCC26050.1	AMC58506.1
OG0000037	CCC25178.1	AMC57548.1
OG0000038	CCC26480.1	AMC58978.1
OG0000038	CCC28099.1	AMC60759.1
OG0000038	CCC25359.1	AMC57754.1
OG0000039	CCC27866.1	AMC60505.1
OG0000039	CCC28053.1	AMC60713.1
OG0000039	CCC28911.1	AMC61652.1
OG0000039	CCC25685.1	AMC58106.1
OG0000040	CCC26007.1	AMC58460.1
OG0000041	CCC26487.1	AMC58986.1
OG0000042	CCC25467.1	AMC57869.1
OG0000043	CCC27573.1	AMC60182.1
OG0000043	CCC26454.1	AMC58948.1
OG0000043	CCC25971.1	AMC58417.1
OG0000044	CCC28907.1	AMC61648.1, AMC59132.1
OG0000044	CCC26274.1	AMC58754.1
OG0000045	CCC26412.1	AMC58902.1
OG0000045	CCC26415.1	AMC58905.1
OG0000045	CCC26413.1	AMC58903.1
OG0000045	CCC26414.1	AMC58904.1
OG0000046	CCC26848.1	AMC59382.1
OG0000046	CCC28802.1	AMC61534.1
OG0000047	CCC26902.1	AMC59440.1
OG0000048	CCC25672.1	AMC58092.1
OG0000048	CCC25246.1	AMC57624.1
OG0000049	CCC25466.1	AMC57867.1
OG0000049	CCC26946.1	AMC59486.1
OG0000050	CCC26623.1	AMC59137.1
OG0000050	CCC26625.1	AMC59139.1
OG0000052	CCC27433.1	AMC60032.1
OG0000052	CCC26844.1	AMC60035.1, AMC59377.1
OG0000052	CCC27432.1	AMC60031.1
OG0000052	CCC27434.1	AMC60034.1
OG0000053	CCC27326.1	AMC59920.1
OG0000053	CCC27327.1	AMC59921.1
OG0000054	CCC28610.1	AMC61332.1
OG0000055	CCC28637.1	AMC61359.1
OG0000056	CCC28645.1	AMC61368.1
OG0000057	CCC25176.1	AMC57545.1
OG0000058	CCC28500.1	AMC61197.1
OG0000058	CCC25514.1	AMC57919.1
OG0000059	CCC25823.1	AMC58896.1, AMC61617.1
OG0000060	CCC26013.1	AMC58467.1
OG0000060	CCC26009.1	AMC58462.1
OG0000061	CCC27089.1	AMC59649.1
OG0000061	CCC26268.1	AMC58749.1
OG0000062	CCC26285.1	AMC58765.1
OG0000062	CCC26547.1	AMC59055.1
OG0000062	CCC27454.1	AMC60053.1
OG0000063	CCC28560.1	AMC61263.1
OG0000063	CCC26457.1	AMC58953.1
OG0000064	CCC26744.1	AMC59266.1, AMC59267.1
OG0000064	CCC26753.1	AMC59273.1
OG0000065	CCC27375.1	AMC59970.1
OG0000066	CCC28638.1	AMC61360.1
OG0000067	CCC28716.1	AMC61440.1
OG0000069	CCC25241.1	AMC57618.1
OG0000069	CCC25667.1	AMC58087.1
OG0000070	CCC25670.1	AMC58090.1
OG0000070	CCC25244.1	AMC57622.1
OG0000071	CCC25671.1	AMC58091.1
OG0000071	CCC25245.1	AMC57623.1
OG0000072	CCC25673.1	AMC58093.1
OG0000072	CCC25247.1	AMC57625.1
OG0000073	CCC25290.1	AMC57674.1
OG0000074	CCC26561.1	AMC59069.1
OG0000074	CCC25317.1	AMC57703.1
OG0000075	CCC25334.1	AMC57720.1
OG0000075	CCC27411.1	AMC60009.1
OG0000076	CCC25813.1	AMC58239.1
OG0000076	CCC25808.1	AMC58234.1
OG0000076	CCC28871.1	AMC61603.1
OG0000077	CCC26161.1	AMC58635.1
OG0000077	CCC28569.1	AMC61272.1
OG0000078	CCC26310.1	AMC58789.1
OG0000079	CCC26450.1	AMC58942.1
OG0000080	CCC26520.1	AMC59020.1
OG0000080	CCC27570.1	AMC60177.1
OG0000081	CCC26657.1	AMC59174.1
OG0000082	CCC26808.1	AMC59336.1
OG0000082	CCC26865.1	AMC59401.1
OG0000083	CCC27087.1	AMC59647.1
OG0000083	CCC27111.1	AMC59672.1
OG0000084	CCC28982.1	AMC61721.1
OG0000084	CCC27166.1	AMC59738.1, AMC59735.1, AMC59739.1
OG0000085	CCC28618.1	AMC61340.1
OG0000086	CCC28843.1	AMC61574.1
OG0000088	CCC28268.1	AMC60945.1
OG0000088	CCC25138.1	AMC57501.1
OG0000089	CCC25141.1	AMC57506.1
OG0000090	CCC25142.1	AMC57507.1
OG0000090	CCC25513.1	AMC57918.1
OG0000091	CCC26180.1	AMC58655.1
OG0000091	CCC25144.1	AMC57510.1
OG0000092	CCC25420.1	AMC57818.1
OG0000092	CCC27209.1	AMC59785.1
OG0000093	CCC26217.1	AMC58695.1
OG0000093	CCC25540.1	AMC57945.1
OG0000094	CCC25598.1	AMC58008.1
OG0000094	CCC25858.1	AMC58290.1
OG0000095	CCC25609.1	AMC58019.1
OG0000095	CCC28959.1	AMC61695.1
OG0000096	CCC25641.1	AMC58055.1
OG0000096	CCC26071.1	AMC58531.1
OG0000098	CCC25850.1	AMC58282.1
OG0000099	CCC28194.1	AMC60860.1
OG0000099	CCC25897.1	AMC58338.1
OG0000100	CCC25925.1	AMC58367.1
OG0000101	CCC26155.1	AMC58629.1
OG0000102	CCC28411.1	AMC61097.1
OG0000102	CCC26360.1	AMC58846.1
OG0000103	CCC28027.1	AMC60681.1
OG0000103	CCC26622.1	AMC59136.1
OG0000104	CCC26836.1	AMC59368.1
OG0000105	CCC26947.1	AMC59487.1
OG0000106	CCC28125.1	AMC60786.1
OG0000106	CCC27062.1	AMC59615.1
OG0000107	CCC27112.1	AMC59673.1
OG0000107	CCC28210.1	AMC60879.1
OG0000108	CCC27136.1	AMC59699.1, AMC59700.1
OG0000109	CCC28980.1	AMC61720.1
OG0000109	CCC27167.1	AMC59740.1
OG0000110	CCC28028.1	AMC60682.1
OG0000110	CCC27536.1	AMC60144.1
OG0000111	CCC27546.1	AMC60014.1, AMC60015.1, AMC60152.1
OG0000112	CCC27631.1, CCC27630.1, CCC27629.1	AMC60248.1, AMC60249.1
OG0000113	CCC27758.1	AMC60396.1
OG0000113	CCC27759.1	AMC60397.1
OG0000114	CCC28079.1	AMC60742.1
OG0000115	CCC28452.1	AMC61142.1
OG0000116	CCC28582.1	AMC61285.1
OG0000117	CCC28585.1	AMC61288.1
OG0000118	CCC28652.1	AMC61374.1
OG0000119	CCC28899.1	AMC61638.1
OG0000119	CCC28898.1	AMC61637.1
OG0000121	CCC25081.1	AMC57436.1, AMC57435.1
OG0000122	CCC25152.1	AMC57518.1, AMC57519.1
OG0000123	CCC25355.1	AMC57750.1
OG0000123	CCC25974.1	AMC58422.1
OG0000124	CCC25361.1	AMC57756.1
OG0000125	CCC25362.1	AMC57757.1
OG0000126	CCC25430.1	AMC57828.1
OG0000127	CCC25481.1	AMC57885.1
OG0000128	CCC25506.1	AMC57910.1
OG0000129	CCC25876.1	AMC58312.1
OG0000130	CCC25896.1, CCC28195.1	AMC60861.1, AMC58337.1
OG0000131	CCC25902.1	AMC58343.1
OG0000132	CCC25906.1	AMC58347.1
OG0000133	CCC25938.1	AMC58380.1
OG0000133	CCC25937.1	AMC58379.1
OG0000134	CCC26231.1	AMC58709.1
OG0000134	CCC26230.1	AMC58708.1
OG0000135	CCC26458.1	AMC58954.1
OG0000136	CCC26472.1	AMC58969.1
OG0000136	CCC28151.1	AMC60812.1
OG0000137	CCC26576.1	AMC59087.1
OG0000138	CCC26589.1	AMC59101.1
OG0000139	CCC27016.1	AMC59563.1
OG0000139	CCC26593.1	AMC59105.1
OG0000140	CCC27440.1, CCC28614.1, CCC28237.1, CCC26892.1	AMC59428.1
OG0000141	CCC26901.1	AMC59439.1
OG0000142	CCC26972.1	AMC59513.1
OG0000143	CCC27026.1	AMC59575.1, AMC59576.1
OG0000144	CCC27097.1	AMC59392.1, AMC59657.1
OG0000145	CCC27117.1	AMC59678.1
OG0000145	CCC28204.1	AMC60871.1
OG0000146	CCC28833.1	AMC61563.1
OG0000146	CCC27390.1	AMC59986.1
OG0000147	CCC27481.1	AMC60087.1
OG0000148	CCC27644.1	AMC60263.1
OG0000149	CCC27756.1	AMC60394.1
OG0000150	CCC27803.1	AMC60441.1
OG0000151	CCC27900.1	AMC60543.1
OG0000151	CCC27903.1	AMC60546.1
OG0000152	CCC28013.1	AMC60664.1
OG0000153	CCC28037.1	AMC60692.1
OG0000154	CCC28047.1	AMC60706.1
OG0000155	CCC28219.1	AMC60889.1
OG0000156	CCC28304.1	AMC60987.1
OG0000157	CCC28311.1	AMC60993.1
OG0000158	CCC28383.1	AMC61070.1
OG0000159	CCC28385.1	AMC61072.1
OG0000160	CCC28386.1	AMC61073.1
OG0000161	CCC28388.1	AMC61075.1
OG0000162	CCC28389.1	AMC61077.1
OG0000163	CCC28392.1	AMC61080.1
OG0000164	CCC28395.1	AMC61083.1
OG0000165	CCC28397.1	AMC61085.1
OG0000166	CCC28398.1	AMC61086.1
OG0000167	CCC28399.1	AMC61087.1
OG0000168	CCC28413.1	AMC61100.1
OG0000169	CCC28414.1	AMC61101.1
OG0000170	CCC28427.1	AMC61118.1
OG0000171	CCC28439.1	AMC61129.1
OG0000172	CCC28508.1	AMC61205.1
OG0000172	CCC28513.1	AMC61215.1
OG0000173	CCC28622.1	AMC61344.1
OG0000174	CCC28651.1	AMC61373.1
OG0000175	CCC28721.1	AMC61445.1
OG0000176	CCC28818.1	AMC61551.1
OG0000176	CCC28812.1	AMC61546.1
OG0000177	CCC28845.1	AMC61576.1
OG0000178	CCC28847.1	AMC61578.1
OG0000179	CCC28875.1	AMC61607.1
OG0000182	CCC25095.1	AMC57455.1
OG0000183	CCC25120.1	AMC57482.1
OG0000184	CCC27650.1	AMC60269.1
OG0000184	CCC25146.1	AMC57512.1
OG0000185	CCC27651.1	AMC60270.1
OG0000185	CCC25147.1	AMC57513.1
OG0000186	CCC25192.1	AMC57563.1
OG0000187	CCC25205.1	AMC57578.1
OG0000188	CCC25238.1	AMC57614.1
OG0000189	CCC25254.1	AMC57632.1
OG0000190	CCC25263.1	AMC57644.1
OG0000191	CCC25269.1	AMC57653.1
OG0000192	CCC25287.1	AMC57671.1
OG0000193	CCC25288.1	AMC57672.1
OG0000194	CCC25346.1	AMC57734.1
OG0000195	CCC25831.1	AMC58262.1
OG0000195	CCC25350.1	AMC57738.1
OG0000196	CCC25384.1	AMC57781.1
OG0000197	CCC25424.1	AMC57822.1
OG0000198	CCC25426.1	AMC57824.1
OG0000199	CCC25507.1	AMC57911.1
OG0000200	CCC25566.1	AMC57971.1
OG0000201	CCC25574.1	AMC57981.1, AMC57980.1
OG0000202	CCC25580.1	AMC57987.1
OG0000203	CCC25590.1	AMC57998.1, AMC57999.1
OG0000204	CCC25622.1	AMC58036.1
OG0000205	CCC25637.1	AMC58051.1
OG0000206	CCC25680.1	AMC58101.1
OG0000207	CCC25707.1	AMC58128.1
OG0000207	CCC25955.1	AMC58398.1
OG0000208	CCC25735.1	AMC58157.1
OG0000209	CCC25766.1	AMC58191.1
OG0000210	CCC25805.1	AMC58232.1, AMC58231.1
OG0000211	CCC25810.1	AMC58236.1
OG0000212	CCC25835.1	AMC58266.1
OG0000213	CCC25842.1	AMC58274.1
OG0000214	CCC25845.1	AMC58277.1
OG0000215	CCC25866.1	AMC58301.1
OG0000216	CCC25903.1	AMC58344.1
OG0000217	CCC25940.1	AMC58382.1
OG0000218	CCC25941.1	AMC58383.1
OG0000219	CCC25961.1	AMC58405.1
OG0000220	CCC25966.1	AMC58410.1
OG0000221	CCC25983.1	AMC58431.1
OG0000222	CCC26010.1	AMC58463.1
OG0000223	CCC26011.1	AMC58464.1
OG0000224	CCC26053.1	AMC58509.1
OG0000225	CCC26068.1	AMC58526.1
OG0000226	CCC26105.1	AMC58571.1
OG0000227	CCC26118.1	AMC58591.1
OG0000227	CCC28468.1	AMC61161.1
OG0000228	CCC26239.1	AMC58598.1
OG0000228	CCC26125.1	AMC58717.1
OG0000229	CCC26126.1, CCC26238.1	AMC58716.1
OG0000230	CCC26164.1	AMC58637.1
OG0000231	CCC26167.1	AMC58640.1
OG0000232	CCC26240.1	AMC58718.1
OG0000233	CCC26254.1	AMC58735.1
OG0000234	CCC26261.1	AMC58741.1
OG0000235	CCC26265.1	AMC58746.1
OG0000236	CCC26291.1	AMC58770.1
OG0000237	CCC26303.1	AMC58782.1
OG0000238	CCC26351.1	AMC58836.1
OG0000239	CCC26387.1	AMC58874.1
OG0000240	CCC26392.1	AMC58880.1
OG0000241	CCC26394.1	AMC58882.1
OG0000242	CCC26445.1	AMC58937.1
OG0000243	CCC26459.1	AMC58955.1
OG0000244	CCC28821.1	AMC61554.1
OG0000244	CCC26563.1	AMC59071.1
OG0000245	CCC26566.1	AMC59074.1
OG0000246	CCC26583.1	AMC59094.1
OG0000247	CCC26592.1	AMC59104.1
OG0000248	CCC28706.1	AMC61430.1
OG0000248	CCC26609.1	AMC59119.1
OG0000249	CCC26612.1	AMC59122.1
OG0000249	CCC28031.1	AMC60686.1
OG0000250	CCC26664.1	AMC59181.1
OG0000251	CCC26679.1	AMC59195.1
OG0000252	CCC26700.1	AMC59216.1
OG0000253	CCC26719.1	AMC59235.1
OG0000254	CCC26723.1	AMC59242.1
OG0000255	CCC26729.1	AMC59248.1
OG0000256	CCC26789.1	AMC59311.1
OG0000257	CCC26797.1	AMC59324.1
OG0000258	CCC26912.1	AMC59452.1
OG0000259	CCC26969.1	AMC59510.1
OG0000260	CCC26975.1	AMC59516.1
OG0000261	CCC26984.1	AMC59527.1
OG0000262	CCC26995.1	AMC59540.1
OG0000263	CCC26999.1	AMC59544.1
OG0000264	CCC27029.1	AMC59579.1
OG0000265	CCC27122.1	AMC59683.1
OG0000266	CCC27160.1	AMC59728.1
OG0000267	CCC27197.1	AMC59770.1, AMC59772.1, AMC59771.1
OG0000268	CCC27213.1	AMC59789.1
OG0000269	CCC27227.1	AMC59807.1
OG0000270	CCC27254.1	AMC59837.1
OG0000271	CCC27509.1	AMC60115.1
OG0000271	CCC27258.1	AMC59841.1
OG0000272	CCC27274.1	AMC59859.1
OG0000273	CCC27276.1	AMC59862.1, AMC59861.1
OG0000274	CCC27282.1	AMC59868.1
OG0000275	CCC27297.1	AMC59887.1
OG0000276	CCC27323.1	AMC59917.1
OG0000277	CCC27373.1	AMC59967.1
OG0000278	CCC27414.1	AMC60012.1
OG0000279	CCC27443.1	AMC60042.1
OG0000280	CCC27460.1	AMC60061.1
OG0000281	CCC27461.1	AMC60062.1
OG0000282	CCC27474.1	AMC60078.1
OG0000283	CCC27501.1	AMC60106.1
OG0000284	CCC27556.1	AMC60164.1
OG0000285	CCC27616.1	AMC60233.1
OG0000286	CCC27603.1	AMC60218.1
OG0000287	CCC27610.1	AMC60227.1
OG0000288	CCC27669.1	AMC60288.1
OG0000289	CCC27745.1	AMC60382.1
OG0000290	CCC27764.1	AMC60402.1
OG0000291	CCC27773.1	AMC60411.1
OG0000292	CCC27823.1	AMC60461.1
OG0000293	CCC27921.1	AMC60564.1
OG0000294	CCC27961.1	AMC60608.1
OG0000295	CCC28003.1	AMC60653.1
OG0000296	CCC28056.1	AMC60716.1
OG0000297	CCC28057.1	AMC60718.1, AMC60717.1
OG0000298	CCC28062.1	AMC60723.1
OG0000299	CCC28063.1	AMC60724.1
OG0000300	CCC28071.1	AMC60733.1
OG0000301	CCC28113.1	AMC60774.1
OG0000302	CCC28116.1	AMC60777.1
OG0000303	CCC28122.1	AMC60783.1
OG0000304	CCC28142.1	AMC60803.1
OG0000305	CCC28179.1	AMC60845.1
OG0000306	CCC28186.1	AMC60852.1
OG0000306	CCC28410.1	AMC61096.1
OG0000307	CCC28246.1	AMC60916.1
OG0000308	CCC28250.1	AMC60921.1
OG0000309	CCC28290.1	AMC60972.1
OG0000310	CCC28320.1	AMC61002.1
OG0000310	CCC28806.1	AMC61539.1
OG0000311	CCC28335.1	AMC61017.1
OG0000312	CCC28351.1	AMC61034.1, AMC61033.1
OG0000313	CCC28354.1	AMC61037.1
OG0000314	CCC28366.1	AMC61051.1
OG0000315	CCC28369.1	AMC61055.1
OG0000316	CCC28381.1	AMC61068.1
OG0000317	CCC28387.1	AMC61074.1
OG0000318	CCC28390.1	AMC61078.1
OG0000319	CCC28391.1	AMC61079.1
OG0000320	CCC28396.1	AMC61084.1
OG0000321	CCC28423.1	AMC61113.1, AMC61112.1
OG0000322	CCC28489.1	AMC61186.1
OG0000323	CCC28547.1	AMC61250.1
OG0000324	CCC28549.1	AMC61252.1
OG0000325	CCC28566.1	AMC61269.1
OG0000326	CCC28596.1	AMC61316.1
OG0000327	CCC28653.1	AMC61375.1
OG0000328	CCC28710.1	AMC61434.1
OG0000329	CCC28724.1	AMC61448.1
OG0000330	CCC28752.1	AMC61479.1
OG0000331	CCC28795.1	AMC61526.1
OG0000332	CCC28849.1	AMC61580.1
OG0000333	CCC28883.1	AMC61619.1
OG0000334	CCC28884.1	AMC61621.1, AMC61620.1
OG0000335	CCC28939.1	AMC61685.1
OG0000342	CCC25075.1	AMC57428.1
OG0000343	CCC25076.1	AMC57429.1
OG0000344	CCC25077.1	AMC57430.1
OG0000345	CCC25078.1	AMC57431.1
OG0000346	CCC25079.1	AMC57432.1
OG0000347	CCC25080.1	AMC57434.1
OG0000348	CCC25083.1	AMC57440.1
OG0000349	CCC25085.1	AMC57443.1
OG0000350	CCC25087.1	AMC57445.1
OG0000351	CCC25088.1	AMC57446.1
OG0000352	CCC25089.1	AMC57447.1
OG0000353	CCC25090.1	AMC57448.1
OG0000354	CCC25091.1	AMC57449.1
OG0000355	CCC25092.1	AMC57450.1
OG0000356	CCC25093.1	AMC57451.1
OG0000357	CCC25094.1	AMC57452.1
OG0000358	CCC25098.1	AMC57459.1, AMC57458.1
OG0000359	CCC25112.1	AMC57474.1
OG0000360	CCC25114.1	AMC57476.1
OG0000361	CCC25115.1	AMC57477.1
OG0000362	CCC25116.1	AMC57478.1
OG0000363	CCC25118.1	AMC57480.1
OG0000364	CCC25121.1	AMC57483.1
OG0000365	CCC25123.1	AMC57485.1
OG0000366	CCC25124.1	AMC57486.1
OG0000367	CCC25125.1	AMC57487.1
OG0000368	CCC25127.1	AMC57489.1
OG0000369	CCC25128.1	AMC57490.1
OG0000370	CCC25129.1	AMC57491.1
OG0000371	CCC25130.1	AMC57492.1
OG0000372	CCC25132.1	AMC57494.1
OG0000373	CCC25140.1	AMC57505.1
OG0000374	CCC25148.1	AMC57514.1
OG0000375	CCC25177.1	AMC57546.1
OG0000376	CCC25181.1	AMC57551.1
OG0000377	CCC25182.1	AMC57552.1
OG0000378	CCC25186.1	AMC57556.1
OG0000379	CCC25189.1	AMC57559.1
OG0000380	CCC25191.1	AMC57562.1
OG0000381	CCC25194.1	AMC57565.1
OG0000382	CCC25199.1	AMC57572.1
OG0000383	CCC25210.1	AMC57584.1
OG0000384	CCC25211.1	AMC57585.1
OG0000385	CCC25212.1	AMC57586.1
OG0000386	CCC25214.1	AMC57588.1
OG0000387	CCC25220.1	AMC57594.1
OG0000388	CCC25221.1	AMC57595.1
OG0000389	CCC25222.1	AMC57596.1
OG0000390	CCC25229.1	AMC57604.1
OG0000391	CCC25230.1	AMC57605.1
OG0000392	CCC25231.1	AMC57606.1
OG0000393	CCC25235.1	AMC57611.1
OG0000394	CCC25248.1	AMC57626.1
OG0000395	CCC25249.1	AMC57627.1
OG0000396	CCC25250.1	AMC57628.1
OG0000397	CCC25251.1	AMC57629.1
OG0000398	CCC25253.1	AMC57631.1
OG0000399	CCC25256.1	AMC57634.1
OG0000400	CCC25257.1	AMC57636.1
OG0000401	CCC25258.1	AMC57637.1
OG0000402	CCC25262.1	AMC57643.1
OG0000403	CCC25275.1	AMC57659.1
OG0000404	CCC25276.1	AMC57660.1
OG0000405	CCC25277.1	AMC57661.1
OG0000406	CCC25279.1	AMC57663.1
OG0000407	CCC25280.1	AMC57664.1
OG0000408	CCC25281.1	AMC57665.1
OG0000409	CCC25284.1	AMC57668.1
OG0000410	CCC25289.1	AMC57673.1
OG0000411	CCC25296.1	AMC57681.1
OG0000412	CCC25297.1	AMC57682.1
OG0000413	CCC25298.1	AMC57683.1
OG0000414	CCC25299.1	AMC57684.1
OG0000415	CCC25300.1	AMC57685.1
OG0000416	CCC25306.1	AMC57692.1
OG0000417	CCC25308.1	AMC57694.1
OG0000418	CCC25310.1	AMC57696.1
OG0000419	CCC25311.1	AMC57697.1
OG0000420	CCC25314.1	AMC57700.1
OG0000421	CCC25315.1	AMC57701.1
OG0000422	CCC25316.1	AMC57702.1
OG0000423	CCC25318.1	AMC57704.1
