Orthogroup	Mafric	Mbovis
OG0000026	CCC26021.1	ALV10141.1
OG0000027	CCC26885.1	ALV11378.1, ALV10885.1
OG0000027	CCC26120.1	ALV10230.1
OG0000027	CCC26289.1	ALV10376.1
OG0000028	CCC26884.1	ALV10884.1
OG0000028	CCC26121.1	ALV10231.1
OG0000028	CCC26288.1	ALV10375.1
OG0000029	CCC28162.1	ALV12026.1
OG0000029	CCC26336.1	ALV10417.1
OG0000030	CCC28829.1	ALV09981.1
OG0000031	CCC25239.1	ALV09428.1
OG0000032	CCC25242.1	ALV09431.1
OG0000032	CCC25668.1	ALV09817.1
OG0000033	CCC25669.1	ALV09818.1
OG0000033	CCC25243.1	ALV09432.1
OG0000034	CCC26359.1, CCC26357.1	ALV10434.1
OG0000034	CCC26832.1	ALV10843.1
OG0000035	CCC26273.1	ALV12911.1
OG0000035	CCC28904.1	ALV12686.1
OG0000035	CCC28908.1	ALV12688.1
OG0000036	CCC26879.1	ALV12983.1
OG0000036	CCC26882.1	ALV12984.1
OG0000036	CCC26793.1	ALV10809.1
OG0000036	CCC26881.1	ALV10882.1
OG0000037	CCC25167.1	ALV09367.1
OG0000037	CCC26050.1	ALV10166.1
OG0000037	CCC25178.1	ALV09376.1
OG0000038	CCC26480.1	ALV10547.1
OG0000038	CCC28099.1	ALV13125.1
OG0000038	CCC25359.1	ALV09544.1
OG0000039	CCC27866.1	ALV11764.1
OG0000039	CCC28053.1	ALV11934.1
OG0000039	CCC28911.1	ALV12691.1
OG0000039	CCC25685.1	ALV09832.1
OG0000040	CCC26007.1	ALV10130.1
OG0000041	CCC26487.1	ALV10553.1
OG0000042	CCC25467.1	ALV09639.1
OG0000043	CCC27573.1	ALV11499.1
OG0000043	CCC26454.1	ALV10521.1
OG0000043	CCC25971.1	ALV10097.1
OG0000044	CCC28907.1	ALV12687.1, ALV12952.1
OG0000044	CCC26274.1	ALV10366.1
OG0000045	CCC26412.1	ALV10482.1
OG0000045	CCC26415.1	ALV10484.1
OG0000045	CCC26413.1, CCC26414.1	ALV10483.1
OG0000046	CCC26848.1	ALV10857.1
OG0000046	CCC28802.1	ALV12602.1
OG0000047	CCC26902.1	ALV10902.1
OG0000048	CCC25672.1	ALV09820.1
OG0000048	CCC25246.1	ALV12790.1
OG0000049	CCC25466.1	ALV09638.1
OG0000049	CCC26946.1	ALV10945.1
OG0000050	CCC26623.1	ALV10663.1
OG0000050	CCC26625.1	ALV10665.1
OG0000051	CCC26790.1	ALV10806.1
OG0000052	CCC26844.1	ALV10853.1
OG0000053	CCC27326.1	ALV11287.1
OG0000053	CCC27327.1	ALV11288.1
OG0000054	CCC28610.1	ALV12438.1
OG0000055	CCC28637.1	ALV13204.1
OG0000056	CCC28645.1	ALV12469.1
OG0000057	CCC25176.1	ALV09374.1
OG0000058	CCC28500.1	ALV12352.1
OG0000058	CCC25514.1	ALV09685.1
OG0000059	CCC25823.1	ALV12666.1
OG0000060	CCC26013.1	ALV10134.1
OG0000060	CCC26009.1	ALV10132.1
OG0000061	CCC27089.1	ALV11075.1
OG0000061	CCC26268.1	ALV10362.1
OG0000062	CCC26285.1	ALV10373.1
OG0000062	CCC26547.1	ALV10610.1
OG0000062	CCC27454.1	ALV11391.1
OG0000063	CCC26287.1	ALV10374.1
OG0000063	CCC28560.1	ALV12396.1
OG0000063	CCC26457.1	ALV10525.1
OG0000064	CCC26744.1	ALV10770.1
OG0000064	CCC26753.1	ALV10774.1
OG0000065	CCC27375.1	ALV13039.1
OG0000066	CCC28638.1	ALV12463.1
OG0000067	CCC28716.1	ALV13213.1
OG0000069	CCC25241.1	ALV09430.1
OG0000069	CCC25667.1	ALV09816.1
OG0000070	CCC25670.1	ALV12834.1
OG0000070	CCC25244.1	ALV09433.1
OG0000071	CCC25671.1	ALV09819.1
OG0000071	CCC25245.1	ALV09434.1
OG0000072	CCC25673.1	ALV12835.1
OG0000072	CCC25247.1	ALV09435.1
OG0000073	CCC25290.1	ALV09473.1
OG0000074	CCC26561.1	ALV10623.1
OG0000074	CCC25317.1	ALV09502.1
OG0000075	CCC25334.1	ALV09518.1
OG0000075	CCC27411.1	ALV13043.1
OG0000076	CCC25813.1	ALV09956.1
OG0000076	CCC25808.1	ALV09952.1
OG0000076	CCC28871.1	ALV13235.1
OG0000077	CCC26161.1	ALV10264.1
OG0000077	CCC28569.1	ALV12400.1
OG0000078	CCC26310.1	ALV10397.1
OG0000079	CCC26450.1	ALV10517.1
OG0000080	CCC26520.1	ALV10580.1
OG0000080	CCC27570.1	ALV11497.1
OG0000081	CCC26657.1	ALV10695.1
OG0000082	CCC26808.1	ALV10823.1
OG0000082	CCC26865.1	ALV12980.1
OG0000083	CCC27087.1	ALV11073.1
OG0000083	CCC27111.1	ALV11094.1
OG0000084	CCC28982.1	ALV12746.1
OG0000084	CCC27166.1	ALV11144.1
OG0000085	CCC28618.1	ALV13202.1
OG0000086	CCC28843.1	ALV12630.1
OG0000088	CCC28268.1	ALV12121.1
OG0000088	CCC25138.1	ALV09340.1
OG0000089	CCC25141.1	ALV09344.1
OG0000090	CCC25142.1	ALV09345.1
OG0000090	CCC25513.1	ALV09684.1
OG0000091	CCC26180.1	ALV10283.1
OG0000091	CCC25144.1	ALV09347.1
OG0000092	CCC25420.1	ALV09597.1
OG0000092	CCC27209.1	ALV11184.1
OG0000093	CCC26217.1	ALV10317.1
OG0000093	CCC25540.1	ALV09709.1
OG0000094	CCC25598.1	ALV09754.1
OG0000094	CCC25858.1	ALV09998.1
OG0000095	CCC25609.1	ALV09762.1
OG0000096	CCC25641.1	ALV09794.1
OG0000096	CCC26071.1	ALV10185.1
OG0000097	CCC25839.1	ALV09978.1
OG0000099	CCC28194.1	ALV12853.1, ALV12056.1
OG0000100	CCC25925.1	ALV10059.1
OG0000101	CCC26155.1	ALV10261.1
OG0000102	CCC28411.1	ALV12280.1
OG0000102	CCC26360.1	ALV10435.1
OG0000103	CCC28027.1	ALV11910.1
OG0000103	CCC26622.1	ALV10662.1
OG0000104	CCC26836.1	ALV12976.1
OG0000105	CCC26947.1	ALV10946.1
OG0000106	CCC28125.1	ALV11994.1
OG0000106	CCC27062.1	ALV11047.1
OG0000107	CCC27112.1	ALV11095.1
OG0000107	CCC28210.1	ALV12065.1
OG0000108	CCC27136.1	ALV13008.1
OG0000109	CCC28980.1	ALV13245.1
OG0000109	CCC27167.1	ALV11145.1
OG0000110	CCC28028.1	ALV11911.1
OG0000110	CCC27536.1	ALV11468.1
OG0000111	CCC27546.1	ALV11368.1, ALV13061.1
OG0000112	CCC27631.1	ALV11557.1
OG0000112	CCC27630.1	ALV11556.1
OG0000112	CCC27629.1	ALV11555.1
OG0000113	CCC27758.1	ALV11668.1
OG0000113	CCC27759.1	ALV11669.1
OG0000114	CCC28079.1	ALV11957.1
OG0000115	CCC28452.1	ALV12312.1
OG0000116	CCC28582.1	ALV12412.1
OG0000117	CCC28585.1	ALV12415.1
OG0000118	CCC28652.1	ALV12475.1
OG0000119	CCC28899.1	ALV12681.1
OG0000119	CCC28898.1	ALV12680.1
OG0000121	CCC25081.1	ALV09286.1
OG0000122	CCC25152.1	ALV09354.1
OG0000123	CCC25355.1	ALV09540.1
OG0000123	CCC25974.1	ALV10099.1
OG0000124	CCC25361.1	ALV09546.1
OG0000124	CCC28097.1	ALV11972.1
OG0000125	CCC25362.1	ALV09547.1
OG0000125	CCC28096.1	ALV11971.1
OG0000126	CCC25430.1	ALV09606.1
OG0000127	CCC25481.1	ALV09653.1
OG0000128	CCC25506.1	ALV09677.1
OG0000129	CCC25876.1	ALV10018.1
OG0000130	CCC25896.1, CCC28195.1	ALV10036.1
OG0000132	CCC25906.1	ALV10043.1
OG0000133	CCC25938.1	ALV12863.1
OG0000134	CCC26231.1	ALV10327.1
OG0000134	CCC26230.1	ALV12906.1
OG0000135	CCC26458.1	ALV12934.1
OG0000136	CCC26472.1	ALV10539.1
OG0000136	CCC28151.1	ALV12016.1
OG0000137	CCC26576.1	ALV10638.1
OG0000138	CCC26589.1	ALV10649.1
OG0000139	CCC27016.1	ALV12994.1
OG0000139	CCC26593.1	ALV10651.1
OG0000140	CCC27440.1, CCC28614.1, CCC28237.1	ALV12296.1
OG0000140	CCC26892.1	ALV10892.1
OG0000142	CCC26972.1	ALV12988.1
OG0000143	CCC27026.1	ALV11013.1
OG0000144	CCC27097.1	ALV10862.1, ALV11083.1
OG0000145	CCC27117.1	ALV11099.1
OG0000145	CCC28204.1	ALV13142.1
OG0000146	CCC28833.1	ALV12621.1
OG0000146	CCC27390.1	ALV11344.1
OG0000147	CCC27481.1	ALV11419.1
OG0000148	CCC27645.1	ALV11570.1
OG0000149	CCC27756.1	ALV11667.1
OG0000150	CCC27803.1	ALV11707.1
OG0000151	CCC27900.1	ALV13096.1
OG0000151	CCC27903.1	ALV11798.1
OG0000152	CCC28013.1	ALV11898.1
OG0000153	CCC28037.1	ALV11919.1
OG0000154	CCC28047.1	ALV13119.1
OG0000155	CCC28219.1	ALV13144.1
OG0000156	CCC28304.1	ALV12148.1
OG0000157	CCC28311.1	ALV12154.1
OG0000158	CCC28383.1	ALV12237.1, ALV12254.1, ALV12220.1
OG0000159	CCC28385.1	ALV12239.1, ALV12222.1, ALV12256.1
OG0000160	CCC28386.1	ALV12240.1, ALV12257.1, ALV12223.1
OG0000161	CCC28388.1	ALV12259.1, ALV12242.1, ALV12225.1
OG0000162	CCC28389.1	ALV12260.1, ALV12243.1, ALV12226.1
OG0000163	CCC28392.1	ALV12246.1, ALV12263.1, ALV12229.1
OG0000164	CCC28395.1	ALV12231.1, ALV12265.1, ALV12248.1
OG0000165	CCC28397.1	ALV12250.1, ALV12233.1, ALV12267.1
OG0000166	CCC28398.1	ALV12234.1, ALV12268.1, ALV12251.1
OG0000167	CCC28399.1	ALV12252.1, ALV12235.1, ALV12269.1
OG0000168	CCC28413.1	ALV13172.1
OG0000169	CCC28414.1	ALV13173.1
OG0000170	CCC28427.1	ALV13176.1
OG0000171	CCC28439.1	ALV12301.1
OG0000171	CCC28430.1	ALV12291.1
OG0000172	CCC28508.1	ALV12358.1
OG0000173	CCC28622.1	ALV12449.1
OG0000174	CCC28651.1	ALV12474.1
OG0000175	CCC28721.1	ALV13214.1
OG0000176	CCC28818.1	ALV12612.1
OG0000177	CCC28845.1	ALV12632.1
OG0000178	CCC28847.1	ALV12634.1
OG0000179	CCC28875.1	ALV12659.1
OG0000182	CCC25095.1	ALV09300.1
OG0000183	CCC25120.1	ALV09322.1
OG0000184	CCC27650.1	ALV13071.1
OG0000184	CCC25146.1	ALV09349.1
OG0000185	CCC27651.1	ALV11575.1
OG0000185	CCC25147.1	ALV09350.1
OG0000186	CCC25192.1	ALV12779.1
OG0000187	CCC25205.1	ALV09400.1
OG0000188	CCC25238.1	ALV09426.1
OG0000189	CCC25254.1	ALV09442.1
OG0000190	CCC25263.1	ALV09451.1
OG0000191	CCC25269.1	ALV09455.1
OG0000192	CCC25287.1	ALV09470.1
OG0000193	CCC25288.1	ALV09471.1
OG0000194	CCC25346.1	ALV09530.1
OG0000195	CCC25831.1	ALV09970.1
OG0000195	CCC25350.1	ALV09534.1
OG0000196	CCC25384.1	ALV09567.1
OG0000197	CCC25424.1	ALV09601.1
OG0000198	CCC25426.1	ALV09603.1
OG0000199	CCC25507.1	ALV09678.1
OG0000200	CCC25566.1	ALV12819.1
OG0000201	CCC25574.1	ALV09734.1
OG0000202	CCC25580.1	ALV09740.1
OG0000203	CCC25590.1	ALV09748.1
OG0000204	CCC25622.1	ALV09776.1
OG0000205	CCC25637.1	ALV09790.1
OG0000206	CCC25680.1	ALV09827.1
OG0000206	CCC28074.1	ALV11953.1
OG0000207	CCC25707.1	ALV09853.1
OG0000207	CCC25955.1	ALV10082.1
OG0000208	CCC25735.1	ALV09878.1
OG0000209	CCC25766.1	ALV09908.1
OG0000210	CCC25805.1	ALV09950.1
OG0000211	CCC25810.1	ALV12845.1
OG0000212	CCC25835.1	ALV09974.1
OG0000213	CCC25842.1	ALV09983.1
OG0000214	CCC25845.1	ALV09986.1
OG0000215	CCC25866.1	ALV10007.1
OG0000216	CCC25903.1	ALV10040.1
OG0000217	CCC25940.1	ALV10068.1
OG0000218	CCC25941.1	ALV10069.1
OG0000219	CCC25961.1	ALV10088.1
OG0000220	CCC25966.1	ALV10093.1
OG0000221	CCC25983.1	ALV10108.1
OG0000222	CCC26010.1	ALV12872.1
OG0000223	CCC26011.1	ALV10133.1
OG0000224	CCC26053.1	ALV10169.1
OG0000225	CCC26068.1	ALV10182.1
OG0000226	CCC26105.1	ALV10215.1
OG0000227	CCC26118.1	ALV10228.1
OG0000227	CCC28468.1	ALV13183.1
OG0000228	CCC26239.1	ALV10235.1
OG0000228	CCC26125.1	ALV10335.1
OG0000229	CCC26126.1, CCC26238.1	ALV10334.1
OG0000230	CCC26164.1	ALV10267.1
OG0000231	CCC26167.1	ALV10270.1
OG0000232	CCC26240.1	ALV10336.1
OG0000233	CCC26254.1	ALV10350.1
OG0000234	CCC26261.1	ALV10355.1
OG0000235	CCC26265.1	ALV10359.1
OG0000236	CCC26291.1	ALV10377.1
OG0000237	CCC26303.1	ALV10390.1
OG0000239	CCC26387.1	ALV10458.1
OG0000240	CCC26392.1	ALV10465.1
OG0000241	CCC26394.1	ALV12929.1
OG0000242	CCC26445.1	ALV10512.1
OG0000243	CCC26459.1	ALV10526.1
OG0000244	CCC28821.1	ALV12614.1
OG0000244	CCC26563.1	ALV10625.1
OG0000245	CCC26566.1	ALV10628.1
OG0000246	CCC26583.1	ALV10644.1
OG0000247	CCC26592.1	ALV12948.1
OG0000248	CCC28706.1	ALV13211.1
OG0000249	CCC28031.1	ALV11913.1
OG0000250	CCC26664.1	ALV10700.1
OG0000251	CCC26679.1	ALV10711.1
OG0000252	CCC26700.1	ALV10729.1
OG0000253	CCC26719.1	ALV12963.1
OG0000254	CCC26723.1	ALV10749.1
OG0000255	CCC26729.1	ALV10755.1
OG0000256	CCC26789.1	ALV12970.1
OG0000257	CCC26797.1	ALV10813.1
OG0000258	CCC26912.1	ALV10912.1
OG0000259	CCC26969.1	ALV10967.1, ALV10968.1
OG0000260	CCC26975.1	ALV10972.1
OG0000261	CCC26984.1	ALV12990.1
OG0000262	CCC26995.1	ALV12991.1
OG0000263	CCC26999.1	ALV10991.1
OG0000264	CCC27029.1	ALV12996.1
OG0000265	CCC27122.1	ALV13006.1
OG0000266	CCC27160.1	ALV11137.1
OG0000267	CCC27197.1	ALV13013.1
OG0000268	CCC27213.1	ALV13014.1
OG0000269	CCC27227.1	ALV11200.1
OG0000270	CCC27254.1	ALV11222.1
OG0000271	CCC27258.1	ALV11225.1, ALV13053.1
OG0000272	CCC27274.1	ALV11238.1
OG0000273	CCC27276.1	ALV11240.1
OG0000274	CCC27282.1	ALV11246.1
OG0000275	CCC27297.1	ALV11260.1
OG0000276	CCC27323.1	ALV11284.1
OG0000277	CCC27373.1	ALV13038.1
OG0000278	CCC27414.1	ALV11366.1
OG0000279	CCC27443.1	ALV11382.1
OG0000280	CCC27460.1	ALV11397.1
OG0000281	CCC27461.1	ALV11398.1
OG0000282	CCC27474.1	ALV11410.1
OG0000283	CCC27501.1	ALV11438.1
OG0000284	CCC27556.1	ALV11485.1
OG0000285	CCC27578.1	ALV11505.1
OG0000285	CCC27616.1	ALV11543.1
OG0000286	CCC27603.1	ALV11532.1
OG0000287	CCC27610.1	ALV11538.1
OG0000288	CCC27669.1	ALV13073.1
OG0000289	CCC27745.1	ALV11659.1
OG0000290	CCC27764.1	ALV11672.1
OG0000291	CCC27773.1	ALV11681.1
OG0000292	CCC27823.1	ALV11723.1
OG0000293	CCC27921.1	ALV11817.1
OG0000294	CCC27961.1	ALV11855.1
OG0000295	CCC28003.1	ALV11890.1
OG0000296	CCC28056.1	ALV11937.1
OG0000297	CCC28057.1	ALV11938.1
OG0000298	CCC28062.1	ALV11942.1
OG0000299	CCC28063.1	ALV11943.1
OG0000300	CCC28071.1	ALV11949.1
OG0000301	CCC28113.1	ALV11986.1
OG0000302	CCC28116.1	ALV13129.1
OG0000303	CCC28122.1	ALV11991.1
OG0000304	CCC28142.1	ALV12008.1
OG0000305	CCC28179.1	ALV12044.1
OG0000306	CCC28186.1	ALV12050.1
OG0000306	CCC28410.1	ALV12278.1
OG0000307	CCC28246.1	ALV12099.1
OG0000308	CCC28250.1	ALV12102.1
OG0000309	CCC28290.1	ALV12136.1
OG0000310	CCC28320.1	ALV12162.1
OG0000310	CCC28806.1	ALV13225.1
OG0000311	CCC28335.1	ALV12176.1
OG0000312	CCC28351.1	ALV12191.1
OG0000313	CCC28354.1	ALV12194.1
OG0000314	CCC28366.1	ALV12204.1
OG0000315	CCC28369.1	ALV12207.1
OG0000316	CCC28381.1	ALV13169.1, ALV13167.1, ALV13165.1
OG0000317	CCC28387.1	ALV12241.1, ALV12224.1, ALV12258.1
OG0000318	CCC28390.1	ALV12261.1, ALV12227.1, ALV12244.1
OG0000319	CCC28391.1	ALV12262.1, ALV12228.1, ALV12245.1
OG0000320	CCC28396.1	ALV12266.1, ALV12249.1, ALV12232.1
OG0000321	CCC28423.1	ALV12286.1
OG0000322	CCC28489.1	ALV12341.1
OG0000323	CCC28547.1	ALV12387.1
OG0000324	CCC28549.1	ALV12389.1
OG0000325	CCC28566.1	ALV13197.1
OG0000326	CCC28596.1	ALV12425.1
OG0000327	CCC28653.1	ALV12476.1
OG0000328	CCC28710.1	ALV12525.1
OG0000329	CCC28724.1	ALV13215.1
OG0000330	CCC28752.1	ALV12558.1
OG0000331	CCC28795.1	ALV12595.1
OG0000332	CCC28849.1	ALV12636.1
OG0000333	CCC28883.1	ALV12667.1
OG0000334	CCC28884.1	ALV12668.1
OG0000335	CCC28939.1	ALV12717.1
OG0000342	CCC25075.1	ALV09281.1
OG0000343	CCC25076.1	ALV09282.1
OG0000344	CCC25077.1	ALV09283.1
OG0000345	CCC25078.1	ALV09284.1
OG0000346	CCC25079.1	ALV12767.1
OG0000347	CCC25080.1	ALV09285.1
OG0000348	CCC25083.1	ALV09289.1
OG0000349	CCC25085.1	ALV09290.1
OG0000350	CCC25087.1	ALV09292.1
OG0000351	CCC25088.1	ALV09293.1
OG0000352	CCC25089.1	ALV09294.1
OG0000353	CCC25090.1	ALV09295.1
OG0000354	CCC25091.1	ALV09296.1
OG0000355	CCC25092.1	ALV09297.1
OG0000356	CCC25093.1	ALV09298.1
OG0000357	CCC25094.1	ALV09299.1
OG0000358	CCC25098.1	ALV09303.1
OG0000359	CCC25112.1	ALV12770.1
OG0000360	CCC25114.1	ALV09316.1
OG0000361	CCC25115.1	ALV09317.1
OG0000362	CCC25116.1	ALV09318.1
OG0000363	CCC25118.1	ALV09320.1
OG0000364	CCC25121.1	ALV09323.1
OG0000365	CCC25123.1	ALV09325.1
OG0000366	CCC25124.1	ALV09326.1
OG0000367	CCC25125.1	ALV09327.1
OG0000368	CCC25127.1	ALV09329.1
OG0000369	CCC25128.1	ALV09330.1
OG0000370	CCC25129.1	ALV09331.1
OG0000371	CCC25130.1	ALV09332.1
OG0000372	CCC25132.1	ALV09333.1
OG0000373	CCC25140.1	ALV09343.1
OG0000374	CCC25148.1	ALV09351.1
OG0000375	CCC25177.1	ALV09375.1
OG0000376	CCC25181.1	ALV09379.1
OG0000377	CCC25182.1	ALV09380.1
OG0000378	CCC25186.1	ALV12777.1
OG0000379	CCC25189.1	ALV09386.1
OG0000380	CCC25191.1	ALV12778.1
OG0000381	CCC25194.1	ALV12781.1
OG0000382	CCC25199.1	ALV09394.1
OG0000383	CCC25210.1	ALV09404.1
OG0000384	CCC25211.1	ALV09405.1
OG0000385	CCC25212.1	ALV09406.1
OG0000386	CCC25214.1	ALV09408.1
OG0000387	CCC25220.1	ALV09412.1
OG0000388	CCC25221.1	ALV12784.1
OG0000389	CCC25222.1	ALV09413.1
OG0000390	CCC25229.1	ALV09419.1
OG0000391	CCC25230.1	ALV09420.1
OG0000392	CCC25231.1	ALV12787.1
OG0000393	CCC25235.1	ALV12788.1
OG0000394	CCC25248.1	ALV09436.1
OG0000395	CCC25249.1	ALV09437.1
OG0000396	CCC25250.1	ALV09438.1
OG0000397	CCC25251.1	ALV09439.1
OG0000398	CCC25253.1	ALV09441.1
OG0000399	CCC25256.1	ALV09443.1
OG0000400	CCC25257.1	ALV09444.1
OG0000401	CCC25258.1	ALV09445.1
OG0000402	CCC25262.1	ALV09450.1
OG0000403	CCC25275.1	ALV09460.1
OG0000404	CCC25276.1	ALV09461.1
OG0000405	CCC25277.1	ALV12794.1
OG0000406	CCC25279.1	ALV09463.1
OG0000407	CCC25280.1	ALV09464.1
OG0000408	CCC25281.1	ALV09465.1
OG0000409	CCC25284.1	ALV09468.1
OG0000410	CCC25289.1	ALV09472.1
OG0000411	CCC25296.1	ALV09480.1
OG0000412	CCC25297.1	ALV09481.1
OG0000413	CCC25298.1	ALV09482.1
OG0000414	CCC25299.1	ALV09483.1
OG0000415	CCC25300.1	ALV09484.1
OG0000416	CCC25306.1	ALV09491.1
OG0000417	CCC25308.1	ALV09493.1
OG0000418	CCC25310.1	ALV09495.1
OG0000419	CCC25311.1	ALV09496.1
OG0000420	CCC25314.1	ALV09499.1
OG0000421	CCC25315.1	ALV09500.1
OG0000422	CCC25316.1	ALV09501.1
OG0000423	CCC25318.1	ALV09503.1
OG0000424	CCC25323.1	ALV09508.1
OG0000425	CCC25336.1	ALV09520.1
OG0000426	CCC25337.1	ALV09521.1
OG0000427	CCC25343.1	ALV09527.1
OG0000428	CCC25344.1	ALV09528.1
OG0000429	CCC25345.1	ALV09529.1
OG0000430	CCC25356.1	ALV09541.1
OG0000431	CCC25357.1	ALV09542.1
OG0000432	CCC25358.1	ALV09543.1
OG0000433	CCC25363.1	ALV09548.1
OG0000434	CCC25364.1	ALV09549.1
OG0000435	CCC25365.1	ALV09550.1
OG0000436	CCC25366.1	ALV09551.1
OG0000437	CCC25376.1	ALV09559.1
OG0000438	CCC25382.1	ALV09565.1
OG0000439	CCC25383.1	ALV09566.1
OG0000440	CCC25385.1	ALV09568.1
