Orthogroup	Mbovis	Mmicro
OG0000013	ALV12896.1	AMC58632.1
OG0000013	ALV12592.1	AMC61523.1
OG0000013	ALV12462.1	AMC61358.1
OG0000013	ALV13201.1	AMC61318.1
OG0000014	ALV12954.1	AMC59172.1
OG0000014	ALV12843.1	AMC58183.1
OG0000014	ALV09695.1	AMC57930.1
OG0000016	ALV09429.1	AMC57617.1
OG0000016	ALV12413.1	AMC61286.1
OG0000016	ALV09815.1	AMC58086.1
OG0000017	ALV12466.1	AMC61363.1
OG0000018	ALV10831.1	AMC59347.1
OG0000018	ALV10045.1	AMC58352.1
OG0000019	ALV13126.1	AMC60858.1, AMC60377.1
OG0000019	ALV12917.1, ALV11524.1	AMC60211.1
OG0000019	ALV10240.1	AMC58769.1, AMC58602.1
OG0000020	ALV11787.1, ALV09980.1	AMC60936.1, AMC58497.1, AMC60529.1, AMC59133.1, AMC60874.1, AMC59375.1, AMC58270.1, AMC60697.1
OG0000021	ALV10322.1	AMC58703.1
OG0000024	ALV10975.1	AMC59519.1
OG0000024	ALV12672.1	AMC61625.1
OG0000024	ALV09398.1	AMC57576.1
OG0000025	ALV11854.1	AMC60607.1
OG0000025	ALV11765.1	AMC60506.1
OG0000025	ALV11935.1	AMC60714.1
OG0000025	ALV09831.1	AMC58105.1
OG0000025	ALV12692.1	AMC61653.1
OG0000026	ALV10141.1	AMC58475.1
OG0000027	ALV11378.1, ALV10885.1	AMC60028.1
OG0000027	ALV10230.1	AMC58593.1
OG0000027	ALV10376.1	AMC58768.1
OG0000028	ALV10884.1	AMC59419.1
OG0000028	ALV10231.1	AMC58594.1
OG0000028	ALV10375.1	AMC58767.1
OG0000029	ALV12026.1	AMC60824.1
OG0000029	ALV10417.1	AMC58820.1
OG0000030	ALV11788.1	AMC59376.1
OG0000030	ALV09981.1	AMC58271.1
OG0000031	ALV09428.1	AMC57616.1
OG0000032	ALV09431.1	AMC57619.1
OG0000032	ALV09817.1	AMC58088.1
OG0000033	ALV09818.1	AMC58089.1
OG0000033	ALV09432.1	AMC57621.1
OG0000034	ALV10434.1	AMC58845.1, AMC58843.1
OG0000034	ALV10843.1	AMC59364.1
OG0000035	ALV12911.1	AMC58753.1
OG0000035	ALV12686.1	AMC61644.1
OG0000035	ALV12688.1	AMC61649.1
OG0000036	ALV12983.1	AMC59414.1
OG0000036	ALV12984.1	AMC59417.1
OG0000036	ALV10809.1	AMC59319.1
OG0000036	ALV10882.1	AMC59416.1
OG0000037	ALV09367.1	AMC57536.1
OG0000037	ALV10166.1	AMC58506.1
OG0000037	ALV09376.1	AMC57548.1
OG0000038	ALV10547.1	AMC58978.1
OG0000038	ALV13125.1	AMC60759.1
OG0000038	ALV09544.1	AMC57754.1
OG0000039	ALV11764.1	AMC60505.1
OG0000039	ALV11934.1	AMC60713.1
OG0000039	ALV12691.1	AMC61652.1
OG0000039	ALV09832.1	AMC58106.1
OG0000040	ALV10130.1	AMC58460.1
OG0000041	ALV10553.1	AMC58986.1
OG0000042	ALV12825.1, ALV12802.1	AMC58003.1, AMC57805.1
OG0000042	ALV09639.1	AMC57869.1
OG0000043	ALV09633.1	AMC57859.1
OG0000043	ALV11499.1	AMC60182.1
OG0000043	ALV10521.1	AMC58948.1
OG0000043	ALV10097.1	AMC58417.1
OG0000044	ALV12687.1	AMC61648.1
OG0000044	ALV12952.1	AMC59132.1
OG0000044	ALV10366.1	AMC58754.1
OG0000045	ALV10482.1	AMC58902.1
OG0000045	ALV10484.1	AMC58905.1
OG0000045	ALV10483.1	AMC58903.1, AMC58904.1
OG0000046	ALV10857.1	AMC59382.1
OG0000046	ALV12602.1	AMC61534.1
OG0000047	ALV10902.1	AMC59440.1
OG0000048	ALV09820.1	AMC58092.1
OG0000048	ALV12790.1	AMC57624.1
OG0000049	ALV09638.1	AMC57867.1
OG0000049	ALV10945.1	AMC59486.1
OG0000050	ALV10663.1	AMC59137.1
OG0000050	ALV10665.1	AMC59139.1
OG0000052	ALV10853.1	AMC60035.1, AMC59377.1
OG0000053	ALV11287.1	AMC59920.1
OG0000053	ALV11288.1	AMC59921.1
OG0000054	ALV12438.1	AMC61332.1
OG0000055	ALV13204.1	AMC61359.1
OG0000056	ALV12469.1	AMC61368.1
OG0000057	ALV09374.1	AMC57545.1
OG0000058	ALV12352.1	AMC61197.1
OG0000058	ALV09685.1	AMC57919.1
OG0000059	ALV12666.1	AMC58896.1, AMC61617.1
OG0000059	ALV09964.1	AMC57804.1
OG0000060	ALV10134.1	AMC58467.1
OG0000060	ALV10132.1	AMC58462.1
OG0000061	ALV11075.1	AMC59649.1
OG0000061	ALV10362.1	AMC58749.1
OG0000062	ALV10373.1	AMC58765.1
OG0000062	ALV10610.1	AMC59055.1
OG0000062	ALV11391.1	AMC60053.1
OG0000063	ALV12396.1	AMC61263.1
OG0000063	ALV10525.1	AMC58953.1
OG0000064	ALV10770.1	AMC59266.1, AMC59267.1
OG0000064	ALV10774.1	AMC59273.1
OG0000065	ALV13039.1	AMC59970.1
OG0000066	ALV12463.1	AMC61360.1
OG0000067	ALV13213.1	AMC61440.1
OG0000069	ALV09430.1	AMC57618.1
OG0000069	ALV09816.1	AMC58087.1
OG0000070	ALV12834.1	AMC58090.1
OG0000070	ALV09433.1	AMC57622.1
OG0000071	ALV09819.1	AMC58091.1
OG0000071	ALV09434.1	AMC57623.1
OG0000072	ALV12835.1	AMC58093.1
OG0000072	ALV09435.1	AMC57625.1
OG0000073	ALV09473.1	AMC57674.1
OG0000074	ALV10623.1	AMC59069.1
OG0000074	ALV09502.1	AMC57703.1
OG0000075	ALV09518.1	AMC57720.1
OG0000075	ALV13043.1	AMC60009.1
OG0000076	ALV09956.1	AMC58239.1
OG0000076	ALV09952.1	AMC58234.1
OG0000076	ALV13235.1	AMC61603.1
OG0000077	ALV10264.1	AMC58635.1
OG0000077	ALV12400.1	AMC61272.1
OG0000078	ALV10397.1	AMC58789.1
OG0000079	ALV10517.1	AMC58942.1
OG0000080	ALV10580.1	AMC59020.1
OG0000080	ALV11497.1	AMC60177.1
OG0000081	ALV10695.1	AMC59174.1
OG0000082	ALV10823.1	AMC59336.1
OG0000082	ALV12980.1	AMC59401.1
OG0000083	ALV11073.1	AMC59647.1
OG0000083	ALV11094.1	AMC59672.1
OG0000084	ALV12746.1	AMC61721.1
OG0000084	ALV11144.1	AMC59738.1, AMC59735.1, AMC59739.1
OG0000085	ALV13202.1	AMC61340.1
OG0000086	ALV12630.1	AMC61574.1
OG0000088	ALV12121.1	AMC60945.1
OG0000088	ALV09340.1	AMC57501.1
OG0000089	ALV09344.1	AMC57506.1
OG0000090	ALV09345.1	AMC57507.1
OG0000090	ALV09684.1	AMC57918.1
OG0000091	ALV10283.1	AMC58655.1
OG0000091	ALV09347.1	AMC57510.1
OG0000092	ALV09597.1	AMC57818.1
OG0000092	ALV11184.1	AMC59785.1
OG0000093	ALV10317.1	AMC58695.1
OG0000093	ALV09709.1	AMC57945.1
OG0000094	ALV09754.1	AMC58008.1
OG0000094	ALV09998.1	AMC58290.1
OG0000095	ALV09762.1	AMC58019.1
OG0000096	ALV09794.1	AMC58055.1
OG0000096	ALV10185.1	AMC58531.1
OG0000099	ALV12853.1, ALV12056.1	AMC60860.1
OG0000100	ALV10059.1	AMC58367.1
OG0000101	ALV10261.1	AMC58629.1
OG0000102	ALV12280.1	AMC61097.1
OG0000102	ALV10435.1	AMC58846.1
OG0000103	ALV11910.1	AMC60681.1
OG0000103	ALV10662.1	AMC59136.1
OG0000104	ALV12976.1	AMC59368.1
OG0000105	ALV10946.1	AMC59487.1
OG0000106	ALV11994.1	AMC60786.1
OG0000106	ALV11047.1	AMC59615.1
OG0000107	ALV11095.1	AMC59673.1
OG0000107	ALV12065.1	AMC60879.1
OG0000108	ALV13008.1	AMC59699.1
OG0000109	ALV13245.1	AMC61720.1
OG0000109	ALV11145.1	AMC59740.1
OG0000110	ALV11911.1	AMC60682.1
OG0000110	ALV11468.1	AMC60144.1
OG0000111	ALV11368.1	AMC60014.1, AMC60015.1
OG0000111	ALV13061.1	AMC60152.1
OG0000112	ALV11557.1, ALV11556.1, ALV11555.1	AMC60248.1, AMC60249.1
OG0000113	ALV11668.1	AMC60396.1
OG0000113	ALV11669.1	AMC60397.1
OG0000114	ALV11957.1	AMC60742.1
OG0000115	ALV12312.1	AMC61142.1
OG0000116	ALV12412.1	AMC61285.1
OG0000117	ALV12415.1	AMC61288.1
OG0000118	ALV12475.1	AMC61374.1
OG0000119	ALV12681.1	AMC61638.1
OG0000119	ALV12680.1	AMC61637.1
OG0000121	ALV09286.1	AMC57436.1, AMC57435.1
OG0000122	ALV09354.1	AMC57518.1, AMC57519.1
OG0000123	ALV09540.1	AMC57750.1
OG0000123	ALV10099.1	AMC58422.1
OG0000124	ALV09546.1	AMC57756.1
OG0000125	ALV09547.1	AMC57757.1
OG0000126	ALV09606.1	AMC57828.1
OG0000127	ALV09653.1	AMC57885.1
OG0000128	ALV09677.1	AMC57910.1
OG0000129	ALV10018.1	AMC58312.1
OG0000130	ALV10036.1	AMC60861.1, AMC58337.1
OG0000131	ALV10136.1	AMC58468.1
OG0000132	ALV10043.1	AMC58347.1
OG0000133	ALV12863.1	AMC58380.1
OG0000134	ALV10327.1	AMC58709.1
OG0000134	ALV12906.1	AMC58708.1
OG0000135	ALV12934.1	AMC58954.1
OG0000136	ALV10539.1	AMC58969.1
OG0000136	ALV12016.1	AMC60812.1
OG0000137	ALV10638.1	AMC59087.1
OG0000138	ALV10649.1	AMC59101.1
OG0000139	ALV12994.1	AMC59563.1
OG0000139	ALV10651.1	AMC59105.1
OG0000140	ALV12296.1, ALV10892.1	AMC59428.1
OG0000141	ALV10894.1	AMC59430.1
OG0000142	ALV12988.1	AMC59513.1
OG0000143	ALV11013.1	AMC59575.1, AMC59576.1
OG0000144	ALV10862.1, ALV11083.1	AMC59392.1, AMC59657.1
OG0000145	ALV11099.1	AMC59678.1
OG0000145	ALV13142.1	AMC60871.1
OG0000146	ALV12621.1	AMC61563.1
OG0000146	ALV11344.1	AMC59986.1
OG0000147	ALV11419.1	AMC60087.1
OG0000148	ALV11571.1	AMC60264.1
OG0000149	ALV13181.1	AMC61155.1
OG0000149	ALV11667.1	AMC60394.1
OG0000150	ALV11707.1	AMC60441.1
OG0000151	ALV13096.1	AMC60543.1
OG0000151	ALV11798.1	AMC60546.1
OG0000152	ALV11898.1	AMC60664.1
OG0000153	ALV11916.1	AMC60689.1
OG0000153	ALV11919.1	AMC60692.1
OG0000154	ALV13119.1	AMC60706.1
OG0000155	ALV13144.1	AMC60889.1
OG0000156	ALV12148.1	AMC60987.1
OG0000157	ALV12154.1	AMC60993.1
OG0000158	ALV12237.1, ALV12254.1, ALV12220.1	AMC61070.1
OG0000159	ALV12239.1, ALV12222.1, ALV12256.1	AMC61072.1
OG0000160	ALV12240.1, ALV12257.1, ALV12223.1	AMC61073.1
OG0000161	ALV12259.1, ALV12242.1, ALV12225.1	AMC61075.1
OG0000162	ALV12260.1, ALV12243.1, ALV12226.1	AMC61077.1
OG0000163	ALV12246.1, ALV12263.1, ALV12229.1	AMC61080.1
OG0000164	ALV12231.1, ALV12265.1, ALV12248.1	AMC61083.1
OG0000165	ALV12250.1, ALV12233.1, ALV12267.1	AMC61085.1
OG0000166	ALV12234.1, ALV12268.1, ALV12251.1	AMC61086.1
OG0000167	ALV12252.1, ALV12235.1, ALV12269.1	AMC61087.1
OG0000168	ALV12850.1	AMC58315.1
OG0000168	ALV13172.1	AMC61100.1
OG0000169	ALV13173.1	AMC61101.1
OG0000170	ALV13176.1	AMC61118.1
OG0000171	ALV12301.1	AMC61129.1
OG0000172	ALV12358.1	AMC61205.1
OG0000173	ALV12449.1	AMC61344.1
OG0000174	ALV12474.1	AMC61373.1
OG0000175	ALV13214.1	AMC61445.1
OG0000176	ALV12612.1	AMC61551.1
OG0000177	ALV12632.1	AMC61576.1
OG0000178	ALV12634.1	AMC61578.1
OG0000179	ALV12659.1	AMC61607.1
OG0000181	ALV10982.1	AMC59532.1
OG0000182	ALV09300.1	AMC57455.1
OG0000183	ALV09322.1	AMC57482.1
OG0000184	ALV13071.1	AMC60269.1
OG0000184	ALV09349.1	AMC57512.1
OG0000185	ALV11575.1	AMC60270.1
OG0000185	ALV09350.1	AMC57513.1
OG0000186	ALV12779.1	AMC57563.1
OG0000187	ALV09400.1	AMC57578.1
OG0000188	ALV09426.1	AMC57614.1
OG0000189	ALV09442.1	AMC57632.1
OG0000190	ALV09451.1	AMC57644.1
OG0000191	ALV09455.1	AMC57653.1
OG0000192	ALV09470.1	AMC57671.1
OG0000193	ALV09471.1	AMC57672.1
OG0000194	ALV09530.1	AMC57734.1
OG0000195	ALV09970.1	AMC58262.1
OG0000195	ALV09534.1	AMC57738.1
OG0000196	ALV09567.1	AMC57781.1
OG0000197	ALV09601.1	AMC57822.1
OG0000198	ALV09603.1	AMC57824.1
OG0000199	ALV09678.1	AMC57911.1
OG0000200	ALV12819.1	AMC57971.1
OG0000201	ALV09734.1	AMC57981.1, AMC57980.1
OG0000202	ALV09740.1	AMC57987.1
OG0000203	ALV09748.1	AMC57998.1, AMC57999.1
OG0000204	ALV09776.1	AMC58036.1
OG0000205	ALV09790.1	AMC58051.1
OG0000206	ALV09827.1	AMC58101.1
OG0000207	ALV09853.1	AMC58128.1
OG0000207	ALV10082.1	AMC58398.1
OG0000208	ALV09878.1	AMC58157.1
OG0000209	ALV09908.1	AMC58191.1
OG0000210	ALV09950.1	AMC58232.1, AMC58231.1
OG0000211	ALV12845.1	AMC58236.1
OG0000212	ALV09974.1	AMC58266.1
OG0000213	ALV09983.1	AMC58274.1
OG0000214	ALV09986.1	AMC58277.1
OG0000215	ALV10007.1	AMC58301.1
OG0000216	ALV10040.1	AMC58344.1
OG0000217	ALV10068.1	AMC58382.1
OG0000218	ALV10069.1	AMC58383.1
OG0000219	ALV10088.1	AMC58405.1
OG0000220	ALV10093.1	AMC58410.1
OG0000221	ALV10108.1	AMC58431.1
OG0000222	ALV12872.1	AMC58463.1
OG0000223	ALV10133.1	AMC58464.1
OG0000224	ALV10169.1	AMC58509.1
OG0000225	ALV10182.1	AMC58526.1
OG0000226	ALV10215.1	AMC58571.1
OG0000227	ALV10228.1	AMC58591.1
OG0000227	ALV13183.1	AMC61161.1
OG0000228	ALV10235.1	AMC58598.1
OG0000228	ALV10335.1	AMC58717.1
OG0000229	ALV10236.1	AMC58599.1
OG0000229	ALV10334.1	AMC58716.1
OG0000230	ALV10267.1	AMC58637.1
OG0000231	ALV10270.1	AMC58640.1
OG0000232	ALV10336.1	AMC58718.1
OG0000233	ALV10350.1	AMC58735.1
OG0000233	ALV12974.1	AMC59357.1
OG0000234	ALV10355.1	AMC58741.1
OG0000235	ALV10359.1	AMC58746.1
OG0000236	ALV10377.1	AMC58770.1
OG0000237	ALV10390.1	AMC58782.1
OG0000238	ALV09806.1	AMC58074.1
OG0000239	ALV10458.1	AMC58874.1
OG0000240	ALV10465.1	AMC58880.1
OG0000241	ALV12929.1	AMC58882.1
OG0000242	ALV10512.1	AMC58937.1
OG0000243	ALV10526.1	AMC58955.1
OG0000244	ALV12614.1	AMC61554.1
OG0000244	ALV10625.1	AMC59071.1
OG0000245	ALV10628.1	AMC59074.1
OG0000246	ALV10644.1	AMC59094.1
OG0000247	ALV12948.1	AMC59104.1
OG0000248	ALV13211.1	AMC61430.1
OG0000249	ALV11913.1	AMC60686.1
OG0000250	ALV10700.1	AMC59181.1
OG0000251	ALV10711.1	AMC59195.1
OG0000252	ALV10729.1	AMC59216.1
OG0000253	ALV12963.1	AMC59235.1
OG0000254	ALV10749.1	AMC59242.1
OG0000255	ALV10755.1	AMC59248.1
OG0000256	ALV12970.1	AMC59311.1
OG0000257	ALV10813.1	AMC59324.1
OG0000258	ALV10912.1	AMC59452.1
OG0000259	ALV10967.1, ALV10968.1	AMC59510.1
OG0000260	ALV10972.1	AMC59516.1
OG0000261	ALV12990.1	AMC59527.1
OG0000262	ALV12991.1	AMC59540.1
OG0000263	ALV10991.1	AMC59544.1
OG0000264	ALV12996.1	AMC59579.1
OG0000265	ALV13006.1	AMC59683.1
OG0000266	ALV11137.1	AMC59728.1
OG0000267	ALV13013.1	AMC59770.1, AMC59772.1, AMC59771.1
OG0000268	ALV13014.1	AMC59789.1
OG0000269	ALV11200.1	AMC59807.1
OG0000270	ALV11222.1	AMC59837.1
OG0000271	ALV11225.1, ALV13053.1	AMC59841.1
OG0000272	ALV11238.1	AMC59859.1
OG0000273	ALV11240.1	AMC59862.1, AMC59861.1
OG0000274	ALV11246.1	AMC59868.1
OG0000275	ALV11260.1	AMC59887.1
OG0000276	ALV11284.1	AMC59917.1
OG0000277	ALV13038.1	AMC59967.1
OG0000278	ALV11366.1	AMC60012.1
OG0000279	ALV11382.1	AMC60042.1
OG0000280	ALV11397.1	AMC60061.1
OG0000281	ALV11398.1	AMC60062.1
OG0000282	ALV11410.1	AMC60078.1
OG0000283	ALV11438.1	AMC60106.1
OG0000284	ALV11485.1	AMC60164.1
OG0000285	ALV11543.1	AMC60233.1
OG0000286	ALV11532.1	AMC60218.1
OG0000287	ALV11538.1	AMC60227.1
OG0000288	ALV13073.1	AMC60288.1
OG0000289	ALV11659.1	AMC60382.1
OG0000290	ALV11672.1	AMC60402.1
OG0000291	ALV11681.1	AMC60411.1
OG0000292	ALV11723.1	AMC60461.1
OG0000293	ALV11817.1	AMC60564.1
OG0000294	ALV11855.1	AMC60608.1
OG0000295	ALV11890.1	AMC60653.1
OG0000296	ALV11937.1	AMC60716.1
OG0000297	ALV11938.1	AMC60718.1, AMC60717.1
OG0000298	ALV11942.1	AMC60723.1
OG0000299	ALV11943.1	AMC60724.1
OG0000300	ALV11949.1	AMC60733.1
OG0000301	ALV11986.1	AMC60774.1
OG0000302	ALV13129.1	AMC60777.1
OG0000303	ALV11991.1	AMC60783.1
OG0000304	ALV12008.1	AMC60803.1
OG0000305	ALV12044.1	AMC60845.1
OG0000306	ALV12050.1	AMC60852.1
OG0000306	ALV12278.1	AMC61096.1
OG0000307	ALV12099.1	AMC60916.1
OG0000308	ALV12102.1	AMC60921.1
OG0000309	ALV12136.1	AMC60972.1
OG0000310	ALV12162.1	AMC61002.1
OG0000310	ALV13225.1	AMC61539.1
OG0000311	ALV12176.1	AMC61017.1
OG0000312	ALV12191.1	AMC61033.1
OG0000313	ALV12194.1	AMC61037.1
OG0000314	ALV12204.1	AMC61051.1
OG0000315	ALV12207.1	AMC61055.1
OG0000316	ALV13169.1, ALV13167.1, ALV13165.1	AMC61068.1
OG0000317	ALV12241.1, ALV12224.1, ALV12258.1	AMC61074.1
OG0000318	ALV12261.1, ALV12227.1, ALV12244.1	AMC61078.1
OG0000319	ALV12262.1, ALV12228.1, ALV12245.1	AMC61079.1
OG0000320	ALV12266.1, ALV12249.1, ALV12232.1	AMC61084.1
OG0000321	ALV12286.1	AMC61113.1, AMC61112.1
OG0000322	ALV12341.1	AMC61186.1
OG0000323	ALV12387.1	AMC61250.1
OG0000324	ALV12389.1	AMC61252.1
OG0000325	ALV13197.1	AMC61269.1
OG0000326	ALV12425.1	AMC61316.1
OG0000327	ALV12476.1	AMC61375.1
OG0000328	ALV12525.1	AMC61434.1
OG0000329	ALV13215.1	AMC61448.1
OG0000330	ALV12558.1	AMC61479.1
OG0000331	ALV12595.1	AMC61526.1
OG0000332	ALV12636.1	AMC61580.1
OG0000333	ALV12667.1	AMC61619.1
OG0000334	ALV12668.1	AMC61620.1
OG0000335	ALV12717.1	AMC61685.1
OG0000342	ALV09281.1	AMC57428.1
OG0000343	ALV09282.1	AMC57429.1
OG0000344	ALV09283.1	AMC57430.1
OG0000345	ALV09284.1	AMC57431.1
OG0000346	ALV12767.1	AMC57432.1
OG0000347	ALV09285.1	AMC57434.1
OG0000348	ALV09289.1	AMC57440.1
OG0000349	ALV09290.1	AMC57443.1
OG0000350	ALV09292.1	AMC57445.1
OG0000351	ALV09293.1	AMC57446.1
OG0000352	ALV09294.1	AMC57447.1
OG0000353	ALV09295.1	AMC57448.1
OG0000354	ALV09296.1	AMC57449.1
OG0000355	ALV09297.1	AMC57450.1
OG0000356	ALV09298.1	AMC57451.1
OG0000357	ALV09299.1	AMC57452.1
OG0000358	ALV09303.1	AMC57459.1, AMC57458.1
OG0000359	ALV12770.1	AMC57474.1
OG0000360	ALV09316.1	AMC57476.1
OG0000361	ALV09317.1	AMC57477.1
OG0000362	ALV09318.1	AMC57478.1
OG0000363	ALV09320.1	AMC57480.1
OG0000364	ALV09323.1	AMC57483.1
OG0000365	ALV09325.1	AMC57485.1
OG0000366	ALV09326.1	AMC57486.1
OG0000367	ALV09327.1	AMC57487.1
OG0000368	ALV09329.1	AMC57489.1
OG0000369	ALV09330.1	AMC57490.1
OG0000370	ALV09331.1	AMC57491.1
OG0000371	ALV09332.1	AMC57492.1
OG0000372	ALV09333.1	AMC57494.1
OG0000373	ALV09343.1	AMC57505.1
OG0000374	ALV09351.1	AMC57514.1
OG0000375	ALV09375.1	AMC57546.1
OG0000376	ALV09379.1	AMC57551.1
OG0000377	ALV09380.1	AMC57552.1
OG0000378	ALV12777.1	AMC57556.1
OG0000379	ALV09386.1	AMC57559.1
OG0000380	ALV12778.1	AMC57562.1
OG0000381	ALV12781.1	AMC57565.1
OG0000382	ALV09394.1	AMC57572.1
OG0000383	ALV09404.1	AMC57584.1
OG0000384	ALV09405.1	AMC57585.1
OG0000385	ALV09406.1	AMC57586.1
OG0000386	ALV09408.1	AMC57588.1
OG0000387	ALV09412.1	AMC57594.1
OG0000388	ALV12784.1	AMC57595.1
OG0000389	ALV09413.1	AMC57596.1
OG0000390	ALV09419.1	AMC57604.1
OG0000391	ALV09420.1	AMC57605.1
OG0000392	ALV12787.1	AMC57606.1
OG0000393	ALV12788.1	AMC57611.1
OG0000394	ALV09436.1	AMC57626.1
OG0000395	ALV09437.1	AMC57627.1
OG0000396	ALV09438.1	AMC57628.1
OG0000397	ALV09439.1	AMC57629.1
OG0000398	ALV09441.1	AMC57631.1
OG0000399	ALV09443.1	AMC57634.1
OG0000400	ALV09444.1	AMC57636.1
OG0000401	ALV09445.1	AMC57637.1
OG0000402	ALV09450.1	AMC57643.1
OG0000403	ALV09460.1	AMC57659.1
OG0000404	ALV09461.1	AMC57660.1
OG0000405	ALV12794.1	AMC57661.1
OG0000406	ALV09463.1	AMC57663.1
OG0000407	ALV09464.1	AMC57664.1
OG0000408	ALV09465.1	AMC57665.1
OG0000409	ALV09468.1	AMC57668.1
OG0000410	ALV09472.1	AMC57673.1
OG0000411	ALV09480.1	AMC57681.1
OG0000412	ALV09481.1	AMC57682.1
OG0000413	ALV09482.1	AMC57683.1
OG0000414	ALV09483.1	AMC57684.1
OG0000415	ALV09484.1	AMC57685.1
OG0000416	ALV09491.1	AMC57692.1
