Orthogroup	Mbovis	Mafric
OG0000043	ALV10097.1	CCC25971.1
OG0000044	ALV12687.1, ALV12952.1	CCC28907.1
OG0000044	ALV10366.1	CCC26274.1
OG0000045	ALV10482.1	CCC26412.1
OG0000045	ALV10484.1	CCC26415.1
OG0000045	ALV10483.1	CCC26413.1, CCC26414.1
OG0000046	ALV10857.1	CCC26848.1
OG0000046	ALV12602.1	CCC28802.1
OG0000047	ALV10902.1	CCC26902.1
OG0000048	ALV09820.1	CCC25672.1
OG0000048	ALV12790.1	CCC25246.1
OG0000049	ALV09638.1	CCC25466.1
OG0000049	ALV10945.1	CCC26946.1
OG0000050	ALV10663.1	CCC26623.1
OG0000050	ALV10665.1	CCC26625.1
OG0000051	ALV10806.1	CCC26790.1
OG0000052	ALV10853.1	CCC26844.1
OG0000053	ALV11287.1	CCC27326.1
OG0000053	ALV11288.1	CCC27327.1
OG0000054	ALV12438.1	CCC28610.1
OG0000055	ALV13204.1	CCC28637.1
OG0000056	ALV12469.1	CCC28645.1
OG0000057	ALV09374.1	CCC25176.1
OG0000058	ALV12352.1	CCC28500.1
OG0000058	ALV09685.1	CCC25514.1
OG0000059	ALV12666.1	CCC25823.1
OG0000060	ALV10134.1	CCC26013.1
OG0000060	ALV10132.1	CCC26009.1
OG0000061	ALV11075.1	CCC27089.1
OG0000061	ALV10362.1	CCC26268.1
OG0000062	ALV10373.1	CCC26285.1
OG0000062	ALV10610.1	CCC26547.1
OG0000062	ALV11391.1	CCC27454.1
OG0000063	ALV10374.1	CCC26287.1
OG0000063	ALV12396.1	CCC28560.1
OG0000063	ALV10525.1	CCC26457.1
OG0000064	ALV10770.1	CCC26744.1
OG0000064	ALV10774.1	CCC26753.1
OG0000065	ALV13039.1	CCC27375.1
OG0000066	ALV12463.1	CCC28638.1
OG0000067	ALV13213.1	CCC28716.1
OG0000069	ALV09430.1	CCC25241.1
OG0000069	ALV09816.1	CCC25667.1
OG0000070	ALV12834.1	CCC25670.1
OG0000070	ALV09433.1	CCC25244.1
OG0000071	ALV09819.1	CCC25671.1
OG0000071	ALV09434.1	CCC25245.1
OG0000072	ALV12835.1	CCC25673.1
OG0000072	ALV09435.1	CCC25247.1
OG0000073	ALV09473.1	CCC25290.1
OG0000074	ALV10623.1	CCC26561.1
OG0000074	ALV09502.1	CCC25317.1
OG0000075	ALV09518.1	CCC25334.1
OG0000075	ALV13043.1	CCC27411.1
OG0000076	ALV09956.1	CCC25813.1
OG0000076	ALV09952.1	CCC25808.1
OG0000076	ALV13235.1	CCC28871.1
OG0000077	ALV10264.1	CCC26161.1
OG0000077	ALV12400.1	CCC28569.1
OG0000078	ALV10397.1	CCC26310.1
OG0000079	ALV10517.1	CCC26450.1
OG0000080	ALV10580.1	CCC26520.1
OG0000080	ALV11497.1	CCC27570.1
OG0000081	ALV10695.1	CCC26657.1
OG0000082	ALV10823.1	CCC26808.1
OG0000082	ALV12980.1	CCC26865.1
OG0000083	ALV11073.1	CCC27087.1
OG0000083	ALV11094.1	CCC27111.1
OG0000084	ALV12746.1	CCC28982.1
OG0000084	ALV11144.1	CCC27166.1
OG0000085	ALV13202.1	CCC28618.1
OG0000086	ALV12630.1	CCC28843.1
OG0000088	ALV12121.1	CCC28268.1
OG0000088	ALV09340.1	CCC25138.1
OG0000089	ALV09344.1	CCC25141.1
OG0000090	ALV09345.1	CCC25142.1
OG0000090	ALV09684.1	CCC25513.1
OG0000091	ALV10283.1	CCC26180.1
OG0000091	ALV09347.1	CCC25144.1
OG0000092	ALV09597.1	CCC25420.1
OG0000092	ALV11184.1	CCC27209.1
OG0000093	ALV10317.1	CCC26217.1
OG0000093	ALV09709.1	CCC25540.1
OG0000094	ALV09754.1	CCC25598.1
OG0000094	ALV09998.1	CCC25858.1
OG0000095	ALV09762.1	CCC25609.1
OG0000096	ALV09794.1	CCC25641.1
OG0000096	ALV10185.1	CCC26071.1
OG0000097	ALV09978.1	CCC25839.1
OG0000099	ALV12853.1, ALV12056.1	CCC28194.1
OG0000100	ALV10059.1	CCC25925.1
OG0000101	ALV10261.1	CCC26155.1
OG0000102	ALV12280.1	CCC28411.1
OG0000102	ALV10435.1	CCC26360.1
OG0000103	ALV11910.1	CCC28027.1
OG0000103	ALV10662.1	CCC26622.1
OG0000104	ALV12976.1	CCC26836.1
OG0000105	ALV10946.1	CCC26947.1
OG0000106	ALV11994.1	CCC28125.1
OG0000106	ALV11047.1	CCC27062.1
OG0000107	ALV11095.1	CCC27112.1
OG0000107	ALV12065.1	CCC28210.1
OG0000108	ALV13008.1	CCC27136.1
OG0000109	ALV13245.1	CCC28980.1
OG0000109	ALV11145.1	CCC27167.1
OG0000110	ALV11911.1	CCC28028.1
OG0000110	ALV11468.1	CCC27536.1
OG0000111	ALV11368.1, ALV13061.1	CCC27546.1
OG0000112	ALV11557.1	CCC27631.1
OG0000112	ALV11556.1	CCC27630.1
OG0000112	ALV11555.1	CCC27629.1
OG0000113	ALV11668.1	CCC27758.1
OG0000113	ALV11669.1	CCC27759.1
OG0000114	ALV11957.1	CCC28079.1
OG0000115	ALV12312.1	CCC28452.1
OG0000116	ALV12412.1	CCC28582.1
OG0000117	ALV12415.1	CCC28585.1
OG0000118	ALV12475.1	CCC28652.1
OG0000119	ALV12681.1	CCC28899.1
OG0000119	ALV12680.1	CCC28898.1
OG0000121	ALV09286.1	CCC25081.1
OG0000122	ALV09354.1	CCC25152.1
OG0000123	ALV09540.1	CCC25355.1
OG0000123	ALV10099.1	CCC25974.1
OG0000124	ALV09546.1	CCC25361.1
OG0000124	ALV11972.1	CCC28097.1
OG0000125	ALV09547.1	CCC25362.1
OG0000125	ALV11971.1	CCC28096.1
OG0000126	ALV09606.1	CCC25430.1
OG0000127	ALV09653.1	CCC25481.1
OG0000128	ALV09677.1	CCC25506.1
OG0000129	ALV10018.1	CCC25876.1
OG0000130	ALV10036.1	CCC25896.1, CCC28195.1
OG0000132	ALV10043.1	CCC25906.1
OG0000133	ALV12863.1	CCC25938.1
OG0000134	ALV10327.1	CCC26231.1
OG0000134	ALV12906.1	CCC26230.1
OG0000135	ALV12934.1	CCC26458.1
OG0000136	ALV10539.1	CCC26472.1
OG0000136	ALV12016.1	CCC28151.1
OG0000137	ALV10638.1	CCC26576.1
OG0000138	ALV10649.1	CCC26589.1
OG0000139	ALV12994.1	CCC27016.1
OG0000139	ALV10651.1	CCC26593.1
OG0000140	ALV12296.1	CCC27440.1, CCC28614.1, CCC28237.1
OG0000140	ALV10892.1	CCC26892.1
OG0000142	ALV12988.1	CCC26972.1
OG0000143	ALV11013.1	CCC27026.1
OG0000144	ALV10862.1, ALV11083.1	CCC27097.1
OG0000145	ALV11099.1	CCC27117.1
OG0000145	ALV13142.1	CCC28204.1
OG0000146	ALV12621.1	CCC28833.1
OG0000146	ALV11344.1	CCC27390.1
OG0000147	ALV11419.1	CCC27481.1
OG0000148	ALV11570.1	CCC27645.1
OG0000149	ALV11667.1	CCC27756.1
OG0000150	ALV11707.1	CCC27803.1
OG0000151	ALV13096.1	CCC27900.1
OG0000151	ALV11798.1	CCC27903.1
OG0000152	ALV11898.1	CCC28013.1
OG0000153	ALV11919.1	CCC28037.1
OG0000154	ALV13119.1	CCC28047.1
OG0000155	ALV13144.1	CCC28219.1
OG0000156	ALV12148.1	CCC28304.1
OG0000157	ALV12154.1	CCC28311.1
OG0000158	ALV12237.1, ALV12254.1, ALV12220.1	CCC28383.1
OG0000159	ALV12239.1, ALV12222.1, ALV12256.1	CCC28385.1
OG0000160	ALV12240.1, ALV12257.1, ALV12223.1	CCC28386.1
OG0000161	ALV12259.1, ALV12242.1, ALV12225.1	CCC28388.1
OG0000162	ALV12260.1, ALV12243.1, ALV12226.1	CCC28389.1
OG0000163	ALV12246.1, ALV12263.1, ALV12229.1	CCC28392.1
OG0000164	ALV12231.1, ALV12265.1, ALV12248.1	CCC28395.1
OG0000165	ALV12250.1, ALV12233.1, ALV12267.1	CCC28397.1
OG0000166	ALV12234.1, ALV12268.1, ALV12251.1	CCC28398.1
OG0000167	ALV12252.1, ALV12235.1, ALV12269.1	CCC28399.1
OG0000168	ALV13172.1	CCC28413.1
OG0000169	ALV13173.1	CCC28414.1
OG0000170	ALV13176.1	CCC28427.1
OG0000171	ALV12301.1	CCC28439.1
OG0000171	ALV12291.1	CCC28430.1
OG0000172	ALV12358.1	CCC28508.1
OG0000173	ALV12449.1	CCC28622.1
OG0000174	ALV12474.1	CCC28651.1
OG0000175	ALV13214.1	CCC28721.1
OG0000176	ALV12612.1	CCC28818.1
OG0000177	ALV12632.1	CCC28845.1
OG0000178	ALV12634.1	CCC28847.1
OG0000179	ALV12659.1	CCC28875.1
OG0000182	ALV09300.1	CCC25095.1
OG0000183	ALV09322.1	CCC25120.1
OG0000184	ALV13071.1	CCC27650.1
OG0000184	ALV09349.1	CCC25146.1
OG0000185	ALV11575.1	CCC27651.1
OG0000185	ALV09350.1	CCC25147.1
OG0000186	ALV12779.1	CCC25192.1
OG0000187	ALV09400.1	CCC25205.1
OG0000188	ALV09426.1	CCC25238.1
OG0000189	ALV09442.1	CCC25254.1
OG0000190	ALV09451.1	CCC25263.1
OG0000191	ALV09455.1	CCC25269.1
OG0000192	ALV09470.1	CCC25287.1
OG0000193	ALV09471.1	CCC25288.1
OG0000194	ALV09530.1	CCC25346.1
OG0000195	ALV09970.1	CCC25831.1
OG0000195	ALV09534.1	CCC25350.1
OG0000196	ALV09567.1	CCC25384.1
OG0000197	ALV09601.1	CCC25424.1
OG0000198	ALV09603.1	CCC25426.1
OG0000199	ALV09678.1	CCC25507.1
OG0000200	ALV12819.1	CCC25566.1
OG0000201	ALV09734.1	CCC25574.1
OG0000202	ALV09740.1	CCC25580.1
OG0000203	ALV09748.1	CCC25590.1
OG0000204	ALV09776.1	CCC25622.1
OG0000205	ALV09790.1	CCC25637.1
OG0000206	ALV09827.1	CCC25680.1
OG0000206	ALV11953.1	CCC28074.1
OG0000207	ALV09853.1	CCC25707.1
OG0000207	ALV10082.1	CCC25955.1
OG0000208	ALV09878.1	CCC25735.1
OG0000209	ALV09908.1	CCC25766.1
OG0000210	ALV09950.1	CCC25805.1
OG0000211	ALV12845.1	CCC25810.1
OG0000212	ALV09974.1	CCC25835.1
OG0000213	ALV09983.1	CCC25842.1
OG0000214	ALV09986.1	CCC25845.1
OG0000215	ALV10007.1	CCC25866.1
OG0000216	ALV10040.1	CCC25903.1
OG0000217	ALV10068.1	CCC25940.1
OG0000218	ALV10069.1	CCC25941.1
OG0000219	ALV10088.1	CCC25961.1
OG0000220	ALV10093.1	CCC25966.1
OG0000221	ALV10108.1	CCC25983.1
OG0000222	ALV12872.1	CCC26010.1
OG0000223	ALV10133.1	CCC26011.1
OG0000224	ALV10169.1	CCC26053.1
OG0000225	ALV10182.1	CCC26068.1
OG0000226	ALV10215.1	CCC26105.1
OG0000227	ALV10228.1	CCC26118.1
OG0000227	ALV13183.1	CCC28468.1
OG0000228	ALV10235.1	CCC26239.1
OG0000228	ALV10335.1	CCC26125.1
OG0000229	ALV10334.1	CCC26126.1, CCC26238.1
OG0000230	ALV10267.1	CCC26164.1
OG0000231	ALV10270.1	CCC26167.1
OG0000232	ALV10336.1	CCC26240.1
OG0000233	ALV10350.1	CCC26254.1
OG0000234	ALV10355.1	CCC26261.1
OG0000235	ALV10359.1	CCC26265.1
OG0000236	ALV10377.1	CCC26291.1
OG0000237	ALV10390.1	CCC26303.1
OG0000239	ALV10458.1	CCC26387.1
OG0000240	ALV10465.1	CCC26392.1
OG0000241	ALV12929.1	CCC26394.1
OG0000242	ALV10512.1	CCC26445.1
OG0000243	ALV10526.1	CCC26459.1
OG0000244	ALV12614.1	CCC28821.1
OG0000244	ALV10625.1	CCC26563.1
OG0000245	ALV10628.1	CCC26566.1
OG0000246	ALV10644.1	CCC26583.1
OG0000247	ALV12948.1	CCC26592.1
OG0000248	ALV13211.1	CCC28706.1
OG0000249	ALV11913.1	CCC28031.1
OG0000250	ALV10700.1	CCC26664.1
OG0000251	ALV10711.1	CCC26679.1
OG0000252	ALV10729.1	CCC26700.1
OG0000253	ALV12963.1	CCC26719.1
OG0000254	ALV10749.1	CCC26723.1
OG0000255	ALV10755.1	CCC26729.1
OG0000256	ALV12970.1	CCC26789.1
OG0000257	ALV10813.1	CCC26797.1
OG0000258	ALV10912.1	CCC26912.1
OG0000259	ALV10967.1, ALV10968.1	CCC26969.1
OG0000260	ALV10972.1	CCC26975.1
OG0000261	ALV12990.1	CCC26984.1
OG0000262	ALV12991.1	CCC26995.1
OG0000263	ALV10991.1	CCC26999.1
OG0000264	ALV12996.1	CCC27029.1
OG0000265	ALV13006.1	CCC27122.1
OG0000266	ALV11137.1	CCC27160.1
OG0000267	ALV13013.1	CCC27197.1
OG0000268	ALV13014.1	CCC27213.1
OG0000269	ALV11200.1	CCC27227.1
OG0000270	ALV11222.1	CCC27254.1
OG0000271	ALV11225.1, ALV13053.1	CCC27258.1
OG0000272	ALV11238.1	CCC27274.1
OG0000273	ALV11240.1	CCC27276.1
OG0000274	ALV11246.1	CCC27282.1
OG0000275	ALV11260.1	CCC27297.1
OG0000276	ALV11284.1	CCC27323.1
OG0000277	ALV13038.1	CCC27373.1
OG0000278	ALV11366.1	CCC27414.1
OG0000279	ALV11382.1	CCC27443.1
OG0000280	ALV11397.1	CCC27460.1
OG0000281	ALV11398.1	CCC27461.1
OG0000282	ALV11410.1	CCC27474.1
OG0000283	ALV11438.1	CCC27501.1
OG0000284	ALV11485.1	CCC27556.1
OG0000285	ALV11505.1	CCC27578.1
OG0000285	ALV11543.1	CCC27616.1
OG0000286	ALV11532.1	CCC27603.1
OG0000287	ALV11538.1	CCC27610.1
OG0000288	ALV13073.1	CCC27669.1
OG0000289	ALV11659.1	CCC27745.1
OG0000290	ALV11672.1	CCC27764.1
OG0000291	ALV11681.1	CCC27773.1
OG0000292	ALV11723.1	CCC27823.1
OG0000293	ALV11817.1	CCC27921.1
OG0000294	ALV11855.1	CCC27961.1
OG0000295	ALV11890.1	CCC28003.1
OG0000296	ALV11937.1	CCC28056.1
OG0000297	ALV11938.1	CCC28057.1
OG0000298	ALV11942.1	CCC28062.1
OG0000299	ALV11943.1	CCC28063.1
OG0000300	ALV11949.1	CCC28071.1
OG0000301	ALV11986.1	CCC28113.1
OG0000302	ALV13129.1	CCC28116.1
OG0000303	ALV11991.1	CCC28122.1
OG0000304	ALV12008.1	CCC28142.1
OG0000305	ALV12044.1	CCC28179.1
OG0000306	ALV12050.1	CCC28186.1
OG0000306	ALV12278.1	CCC28410.1
OG0000307	ALV12099.1	CCC28246.1
OG0000308	ALV12102.1	CCC28250.1
OG0000309	ALV12136.1	CCC28290.1
OG0000310	ALV12162.1	CCC28320.1
OG0000310	ALV13225.1	CCC28806.1
OG0000311	ALV12176.1	CCC28335.1
OG0000312	ALV12191.1	CCC28351.1
OG0000313	ALV12194.1	CCC28354.1
OG0000314	ALV12204.1	CCC28366.1
OG0000315	ALV12207.1	CCC28369.1
OG0000316	ALV13169.1, ALV13167.1, ALV13165.1	CCC28381.1
OG0000317	ALV12241.1, ALV12224.1, ALV12258.1	CCC28387.1
OG0000318	ALV12261.1, ALV12227.1, ALV12244.1	CCC28390.1
OG0000319	ALV12262.1, ALV12228.1, ALV12245.1	CCC28391.1
OG0000320	ALV12266.1, ALV12249.1, ALV12232.1	CCC28396.1
OG0000321	ALV12286.1	CCC28423.1
OG0000322	ALV12341.1	CCC28489.1
OG0000323	ALV12387.1	CCC28547.1
OG0000324	ALV12389.1	CCC28549.1
OG0000325	ALV13197.1	CCC28566.1
OG0000326	ALV12425.1	CCC28596.1
OG0000327	ALV12476.1	CCC28653.1
OG0000328	ALV12525.1	CCC28710.1
OG0000329	ALV13215.1	CCC28724.1
OG0000330	ALV12558.1	CCC28752.1
OG0000331	ALV12595.1	CCC28795.1
OG0000332	ALV12636.1	CCC28849.1
OG0000333	ALV12667.1	CCC28883.1
OG0000334	ALV12668.1	CCC28884.1
OG0000335	ALV12717.1	CCC28939.1
OG0000342	ALV09281.1	CCC25075.1
OG0000343	ALV09282.1	CCC25076.1
OG0000344	ALV09283.1	CCC25077.1
OG0000345	ALV09284.1	CCC25078.1
OG0000346	ALV12767.1	CCC25079.1
OG0000347	ALV09285.1	CCC25080.1
OG0000348	ALV09289.1	CCC25083.1
OG0000349	ALV09290.1	CCC25085.1
OG0000350	ALV09292.1	CCC25087.1
OG0000351	ALV09293.1	CCC25088.1
OG0000352	ALV09294.1	CCC25089.1
OG0000353	ALV09295.1	CCC25090.1
OG0000354	ALV09296.1	CCC25091.1
OG0000355	ALV09297.1	CCC25092.1
OG0000356	ALV09298.1	CCC25093.1
OG0000357	ALV09299.1	CCC25094.1
OG0000358	ALV09303.1	CCC25098.1
OG0000359	ALV12770.1	CCC25112.1
OG0000360	ALV09316.1	CCC25114.1
OG0000361	ALV09317.1	CCC25115.1
OG0000362	ALV09318.1	CCC25116.1
OG0000363	ALV09320.1	CCC25118.1
OG0000364	ALV09323.1	CCC25121.1
OG0000365	ALV09325.1	CCC25123.1
OG0000366	ALV09326.1	CCC25124.1
OG0000367	ALV09327.1	CCC25125.1
OG0000368	ALV09329.1	CCC25127.1
OG0000369	ALV09330.1	CCC25128.1
OG0000370	ALV09331.1	CCC25129.1
OG0000371	ALV09332.1	CCC25130.1
OG0000372	ALV09333.1	CCC25132.1
OG0000373	ALV09343.1	CCC25140.1
OG0000374	ALV09351.1	CCC25148.1
OG0000375	ALV09375.1	CCC25177.1
OG0000376	ALV09379.1	CCC25181.1
OG0000377	ALV09380.1	CCC25182.1
OG0000378	ALV12777.1	CCC25186.1
OG0000379	ALV09386.1	CCC25189.1
OG0000380	ALV12778.1	CCC25191.1
OG0000381	ALV12781.1	CCC25194.1
OG0000382	ALV09394.1	CCC25199.1
OG0000383	ALV09404.1	CCC25210.1
OG0000384	ALV09405.1	CCC25211.1
OG0000385	ALV09406.1	CCC25212.1
OG0000386	ALV09408.1	CCC25214.1
OG0000387	ALV09412.1	CCC25220.1
OG0000388	ALV12784.1	CCC25221.1
OG0000389	ALV09413.1	CCC25222.1
OG0000390	ALV09419.1	CCC25229.1
OG0000391	ALV09420.1	CCC25230.1
OG0000392	ALV12787.1	CCC25231.1
OG0000393	ALV12788.1	CCC25235.1
OG0000394	ALV09436.1	CCC25248.1
OG0000395	ALV09437.1	CCC25249.1
OG0000396	ALV09438.1	CCC25250.1
OG0000397	ALV09439.1	CCC25251.1
OG0000398	ALV09441.1	CCC25253.1
OG0000399	ALV09443.1	CCC25256.1
OG0000400	ALV09444.1	CCC25257.1
OG0000401	ALV09445.1	CCC25258.1
OG0000402	ALV09450.1	CCC25262.1
OG0000403	ALV09460.1	CCC25275.1
OG0000404	ALV09461.1	CCC25276.1
OG0000405	ALV12794.1	CCC25277.1
OG0000406	ALV09463.1	CCC25279.1
OG0000407	ALV09464.1	CCC25280.1
OG0000408	ALV09465.1	CCC25281.1
OG0000409	ALV09468.1	CCC25284.1
OG0000410	ALV09472.1	CCC25289.1
OG0000411	ALV09480.1	CCC25296.1
OG0000412	ALV09481.1	CCC25297.1
OG0000413	ALV09482.1	CCC25298.1
OG0000414	ALV09483.1	CCC25299.1
OG0000415	ALV09484.1	CCC25300.1
OG0000416	ALV09491.1	CCC25306.1
OG0000417	ALV09493.1	CCC25308.1
OG0000418	ALV09495.1	CCC25310.1
OG0000419	ALV09496.1	CCC25311.1
OG0000420	ALV09499.1	CCC25314.1
OG0000421	ALV09500.1	CCC25315.1
OG0000422	ALV09501.1	CCC25316.1
OG0000423	ALV09503.1	CCC25318.1
OG0000424	ALV09508.1	CCC25323.1
OG0000425	ALV09520.1	CCC25336.1
OG0000426	ALV09521.1	CCC25337.1
OG0000427	ALV09527.1	CCC25343.1
OG0000428	ALV09528.1	CCC25344.1
OG0000429	ALV09529.1	CCC25345.1
OG0000430	ALV09541.1	CCC25356.1
OG0000431	ALV09542.1	CCC25357.1
OG0000432	ALV09543.1	CCC25358.1
OG0000433	ALV09548.1	CCC25363.1
OG0000434	ALV09549.1	CCC25364.1
OG0000435	ALV09550.1	CCC25365.1
OG0000436	ALV09551.1	CCC25366.1
OG0000437	ALV09559.1	CCC25376.1
OG0000438	ALV09565.1	CCC25382.1
OG0000439	ALV09566.1	CCC25383.1
OG0000440	ALV09568.1	CCC25385.1
