Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	N2	n15	1.0	Non-Terminal	Mmicro_AMC58989.1, Mbovis_ALV10556.1, Mafric_CCC26490.1	Mmicro_AMC61141.1, Mafric_CCC28451.1, Mbovis_ALV13179.1, Mbovis_ALV12324.1, Mmicro_AMC61163.1, Mafric_CCC28470.1, Mbovis_ALV10259.1, Mmicro_AMC58625.1, Mafric_CCC26152.1, Mbovis_ALV12895.1, Mafric_CCC26153.1, Mmicro_AMC58626.1
OG0000000	N2	n18	1.0	Non-Terminal	Mmicro_AMC61141.1, Mafric_CCC28451.1, Mbovis_ALV13179.1, Mbovis_ALV12324.1, Mmicro_AMC61163.1, Mafric_CCC28470.1	Mbovis_ALV10259.1, Mmicro_AMC58625.1, Mafric_CCC26152.1, Mbovis_ALV12895.1, Mafric_CCC26153.1, Mmicro_AMC58626.1
OG0000000	N2	n19	1.0	Non-Terminal	Mmicro_AMC61141.1, Mafric_CCC28451.1, Mbovis_ALV13179.1	Mbovis_ALV12324.1, Mmicro_AMC61163.1, Mafric_CCC28470.1
OG0000000	N2	n24	1.0	Non-Terminal	Mbovis_ALV10259.1, Mmicro_AMC58625.1, Mafric_CCC26152.1	Mbovis_ALV12895.1, Mafric_CCC26153.1, Mmicro_AMC58626.1
OG0000000	N2	n29	1.0	Non-Terminal	Mbovis_ALV12422.1, Mafric_CCC28593.1, Mmicro_AMC61301.1, Mbovis_ALV12424.1, Mmicro_AMC61295.1, Mmicro_AMC61310.1	Mbovis_ALV11158.1, Mmicro_AMC59828.1, Mmicro_AMC59754.1, Mafric_CCC27245.1
OG0000000	N2	n30	0.6666666666666666	Non-Terminal	Mbovis_ALV12422.1, Mafric_CCC28593.1, Mmicro_AMC61301.1	Mbovis_ALV12424.1, Mmicro_AMC61295.1, Mmicro_AMC61310.1
OG0000000	Mmicro	n34	1.0	Terminal	Mmicro_AMC61295.1	Mmicro_AMC61310.1
OG0000000	Mmicro	n37	1.0	Terminal	Mmicro_AMC59828.1	Mmicro_AMC59754.1
OG0000000	N2	n38	1.0	Non-Terminal	Mmicro_AMC58514.1, Mmicro_AMC60347.1, Mafric_CCC27723.1, Mbovis_ALV11641.1	Mbovis_ALV11501.1, Mafric_CCC27572.1, Mmicro_AMC60180.1, Mafric_CCC27575.1, Mmicro_AMC60188.1
OG0000000	N2	n39	0.3333333333333333	Non-Terminal	Mmicro_AMC58514.1	Mmicro_AMC60347.1, Mafric_CCC27723.1, Mbovis_ALV11641.1
OG0000000	N2	n43	0.6666666666666666	Non-Terminal	Mafric_CCC27572.1, Mmicro_AMC60180.1	Mafric_CCC27575.1, Mmicro_AMC60188.1
OG0000000	N2	n46	1.0	Non-Terminal	Mafric_CCC26544.1, Mbovis_ALV10609.1, Mbovis_ALV10607.1, Mafric_CCC26546.1, Mmicro_AMC59051.1, Mmicro_AMC59054.1, Mbovis_ALV10596.1, Mmicro_AMC59037.1, Mafric_CCC26535.1	Mmicro_AMC60085.1, Mafric_CCC28429.1, Mbovis_ALV13177.1, Mbovis_ALV11418.1, Mafric_CCC27480.1
OG0000000	N2	n47	1.0	Non-Terminal	Mafric_CCC26544.1, Mbovis_ALV10609.1, Mbovis_ALV10607.1, Mafric_CCC26546.1, Mmicro_AMC59051.1, Mmicro_AMC59054.1	Mbovis_ALV10596.1, Mmicro_AMC59037.1, Mafric_CCC26535.1
OG0000000	N2	n48	0.6666666666666666	Non-Terminal	Mafric_CCC26544.1, Mbovis_ALV10609.1	Mbovis_ALV10607.1, Mafric_CCC26546.1, Mmicro_AMC59051.1, Mmicro_AMC59054.1
OG0000000	Mmicro	n52	1.0	Terminal	Mmicro_AMC59051.1	Mmicro_AMC59054.1
OG0000000	N3	n56	1.0	Non-Terminal	Mafric_CCC28429.1, Mbovis_ALV13177.1	Mbovis_ALV11418.1, Mafric_CCC27480.1
OG0000000	N2	n59	1.0	Non-Terminal	Mmicro_AMC57554.1, Mbovis_ALV09382.1, Mafric_CCC25184.1	Mbovis_ALV11823.1, Mmicro_AMC60572.1, Mafric_CCC27928.1, Mbovis_ALV12498.1, Mmicro_AMC61402.1, Mafric_CCC28677.1, Mafric_CCC27678.1, Mmicro_AMC60299.1, Mbovis_ALV11599.1
OG0000000	N2	n62	1.0	Non-Terminal	Mbovis_ALV11823.1, Mmicro_AMC60572.1, Mafric_CCC27928.1, Mbovis_ALV12498.1, Mmicro_AMC61402.1, Mafric_CCC28677.1	Mafric_CCC27678.1, Mmicro_AMC60299.1, Mbovis_ALV11599.1
OG0000000	N2	n63	1.0	Non-Terminal	Mbovis_ALV11823.1, Mmicro_AMC60572.1, Mafric_CCC27928.1	Mbovis_ALV12498.1, Mmicro_AMC61402.1, Mafric_CCC28677.1
OG0000000	N2	n72	0.3333333333333333	Non-Terminal	Mmicro_AMC59432.1	Mbovis_ALV11719.1, Mmicro_AMC60453.1, Mbovis_ALV10047.1, Mafric_CCC25914.1, Mmicro_AMC58354.1, Mmicro_AMC59395.1, Mbovis_ALV10910.1, Mbovis_ALV10866.1, Mafric_CCC26910.1, Mmicro_AMC61292.1, Mafric_CCC28589.1, Mbovis_ALV12419.1, Mmicro_AMC58516.1, Mmicro_AMC61148.1, Mbovis_ALV10049.1, Mafric_CCC25915.1, Mmicro_AMC58357.1, Mmicro_AMC58911.1, Mbovis_ALV10490.1, Mafric_CCC26421.1, Mmicro_AMC59386.1, Mmicro_AMC58021.1, Mbovis_ALV09765.1, Mmicro_AMC57766.1, Mbovis_ALV09554.1, Mafric_CCC25371.1, Mafric_CCC25657.1, Mbovis_ALV09807.1, Mmicro_AMC58077.1, Mmicro_AMC57570.1, Mbovis_ALV09393.1, Mmicro_AMC61397.1, Mafric_CCC28672.1, Mbovis_ALV12493.1, Mmicro_AMC58646.1, Mbovis_ALV10274.1, Mafric_CCC26172.1, Mafric_CCC25829.1, Mmicro_AMC58259.1, Mmicro_AMC57747.1, Mmicro_AMC57601.1, Mmicro_AMC57745.1, Mmicro_AMC57743.1, Mmicro_AMC58258.1, Mafric_CCC27704.1, Mbovis_ALV11623.1, Mmicro_AMC58520.1, Mafric_CCC26062.1, Mbovis_ALV10177.1, Mafric_CCC26059.1, Mbovis_ALV10174.1, Mmicro_AMC60324.1, Mmicro_AMC58517.1
OG0000000	N2	n73	0.6666666666666666	Non-Terminal	Mbovis_ALV11719.1, Mmicro_AMC60453.1	Mbovis_ALV10047.1, Mafric_CCC25914.1, Mmicro_AMC58354.1, Mmicro_AMC59395.1, Mbovis_ALV10910.1, Mbovis_ALV10866.1, Mafric_CCC26910.1, Mmicro_AMC61292.1, Mafric_CCC28589.1, Mbovis_ALV12419.1, Mmicro_AMC58516.1, Mmicro_AMC61148.1, Mbovis_ALV10049.1, Mafric_CCC25915.1, Mmicro_AMC58357.1, Mmicro_AMC58911.1, Mbovis_ALV10490.1, Mafric_CCC26421.1, Mmicro_AMC59386.1, Mmicro_AMC58021.1, Mbovis_ALV09765.1, Mmicro_AMC57766.1, Mbovis_ALV09554.1, Mafric_CCC25371.1, Mafric_CCC25657.1, Mbovis_ALV09807.1, Mmicro_AMC58077.1, Mmicro_AMC57570.1, Mbovis_ALV09393.1, Mmicro_AMC61397.1, Mafric_CCC28672.1, Mbovis_ALV12493.1, Mmicro_AMC58646.1, Mbovis_ALV10274.1, Mafric_CCC26172.1, Mafric_CCC25829.1, Mmicro_AMC58259.1, Mmicro_AMC57747.1, Mmicro_AMC57601.1, Mmicro_AMC57745.1, Mmicro_AMC57743.1, Mmicro_AMC58258.1, Mafric_CCC27704.1, Mbovis_ALV11623.1, Mmicro_AMC58520.1, Mafric_CCC26062.1, Mbovis_ALV10177.1, Mafric_CCC26059.1, Mbovis_ALV10174.1, Mmicro_AMC60324.1, Mmicro_AMC58517.1
OG0000000	N2	n75	1.0	Non-Terminal	Mbovis_ALV10047.1, Mafric_CCC25914.1, Mmicro_AMC58354.1, Mmicro_AMC59395.1, Mbovis_ALV10910.1, Mbovis_ALV10866.1, Mafric_CCC26910.1	Mmicro_AMC61292.1, Mafric_CCC28589.1, Mbovis_ALV12419.1, Mmicro_AMC58516.1, Mmicro_AMC61148.1, Mbovis_ALV10049.1, Mafric_CCC25915.1, Mmicro_AMC58357.1, Mmicro_AMC58911.1, Mbovis_ALV10490.1, Mafric_CCC26421.1, Mmicro_AMC59386.1, Mmicro_AMC58021.1, Mbovis_ALV09765.1, Mmicro_AMC57766.1, Mbovis_ALV09554.1, Mafric_CCC25371.1, Mafric_CCC25657.1, Mbovis_ALV09807.1, Mmicro_AMC58077.1, Mmicro_AMC57570.1, Mbovis_ALV09393.1, Mmicro_AMC61397.1, Mafric_CCC28672.1, Mbovis_ALV12493.1, Mmicro_AMC58646.1, Mbovis_ALV10274.1, Mafric_CCC26172.1, Mafric_CCC25829.1, Mmicro_AMC58259.1, Mmicro_AMC57747.1, Mmicro_AMC57601.1, Mmicro_AMC57745.1, Mmicro_AMC57743.1, Mmicro_AMC58258.1, Mafric_CCC27704.1, Mbovis_ALV11623.1, Mmicro_AMC58520.1, Mafric_CCC26062.1, Mbovis_ALV10177.1, Mafric_CCC26059.1, Mbovis_ALV10174.1, Mmicro_AMC60324.1, Mmicro_AMC58517.1
OG0000000	N2	n76	1.0	Non-Terminal	Mbovis_ALV10047.1, Mafric_CCC25914.1, Mmicro_AMC58354.1	Mmicro_AMC59395.1, Mbovis_ALV10910.1, Mbovis_ALV10866.1, Mafric_CCC26910.1
OG0000000	Mbovis	n81	1.0	Terminal	Mbovis_ALV10910.1	Mbovis_ALV10866.1
