Orthogroup	Mafric	Mavium	Mbovis	Mlepra	Mmicro
OG0000010		"AAS02351.1, AAS02476.1, AAS03149.1, AAS03284.1, AAS03350.1, AAS03604.1, AAS04039.1, AAS04088.1, AAS04102.1, AAS04110.1, AAS04351.1, AAS04367.1, AAS04425.1, AAS04474.1, AAS04520.1, AAS04761.1, AAS04894.1, AAS06030.1, AAS06298.1, AAS06616.1, AAS06831.1"			
OG0000011	"CCC25169.1, CCC26216.1, CCC26237.1, CCC26671.1, CCC27038.1, CCC28551.1"		"ALV09369.1, ALV10316.1, ALV10333.1, ALV11023.1, ALV12957.1, ALV13193.1"		"AMC57538.1, AMC58693.1, AMC58715.1, AMC59188.1, AMC59312.1, AMC59313.1, AMC59588.1, AMC61254.1"
OG0000012	CCC25852.1	"AAS02919.1, AAS03072.1, AAS03975.1, AAS04401.1, AAS04503.1, AAS04504.1, AAS04655.1, AAS04900.1, AAS04964.1, AAS04965.1, AAS05099.1, AAS05690.1, AAS05691.1, AAS06063.1, AAS06212.1"	"ALV09479.1, ALV09992.1"		"AMC57680.1, AMC58284.1"
OG0000013	"CCC26158.1, CCC28598.1, CCC28636.1, CCC28792.1"	"AAS02845.1, AAS02865.1, AAS03130.1, AAS03474.1, AAS03564.1, AAS05112.1, AAS06442.1, AAS06487.1"	"ALV12462.1, ALV12592.1, ALV12896.1, ALV13201.1"		"AMC58632.1, AMC61318.1, AMC61358.1, AMC61523.1"
OG0000014	"CCC25525.1, CCC25758.1, CCC26655.1"	"AAS02392.1, AAS03558.1, AAS04054.1, AAS04555.1, AAS05598.1, AAS05678.1, AAS06300.1, AAS06439.1, AAS06496.1"	"ALV09695.1, ALV12843.1, ALV12954.1"	CAC31893.1	"AMC57930.1, AMC58183.1, AMC59172.1"
OG0000015		"AAS02396.1, AAS02982.1, AAS03028.1, AAS03697.1, AAS03766.1, AAS03768.1, AAS03792.1, AAS03806.1, AAS04009.1, AAS04501.1, AAS04727.1, AAS04845.1, AAS05053.1, AAS05096.1, AAS05097.1, AAS05560.1, AAS06299.1, AAS06832.1, AAS06843.1"			
OG0000016	"CCC25240.1, CCC25666.1, CCC28583.1"	"AAS02409.1, AAS02879.1, AAS03074.1, AAS04166.1, AAS04434.1, AAS06152.1, AAS06632.1"	"ALV09429.1, ALV09815.1, ALV12413.1"	CAC32119.1	"AMC57617.1, AMC58086.1, AMC59611.1, AMC61286.1"
OG0000017	CCC28641.1	"AAS02824.1, AAS02999.1, AAS03030.1, AAS03033.1, AAS03065.1, AAS03775.1, AAS04065.1, AAS04544.1, AAS04668.1, AAS04669.1, AAS04679.1, AAS04702.1, AAS04902.1, AAS04972.1, AAS06135.1"	ALV12466.1		AMC61363.1
OG0000018	"CCC25912.1, CCC26818.1"	"AAS02539.1, AAS02980.1, AAS03199.1, AAS04393.1, AAS05935.1, AAS06431.1, AAS06614.1, AAS06739.1, AAS06740.1, AAS06741.1, AAS06747.1"	"ALV10045.1, ALV10831.1"		"AMC58352.1, AMC59347.1"
OG0000019	"CCC26131.1, CCC26290.1, CCC27597.1, CCC27740.1, CCC28100.1, CCC28192.1"		"ALV10240.1, ALV11524.1, ALV12917.1, ALV13126.1, ALV13141.1"		"AMC58602.1, AMC58769.1, AMC60211.1, AMC60377.1, AMC60760.1, AMC60858.1"
OG0000020	"CCC26260.1, CCC26747.1, CCC26856.1, CCC27889.1, CCC28206.1, CCC28406.1"	AAS04473.1	"ALV09980.1, ALV11787.1"		"AMC58270.1, AMC58497.1, AMC59133.1, AMC59375.1, AMC60529.1, AMC60697.1, AMC60874.1, AMC60936.1"
OG0000021	CCC26225.1	"AAS02471.1, AAS03000.1, AAS03200.1, AAS03998.1, AAS04707.1, AAS04712.1, AAS04715.1, AAS04716.1, AAS04962.1, AAS05065.1, AAS06200.1, AAS06208.1, AAS06475.1"	ALV10322.1		AMC58703.1
OG0000022		"AAS02581.1, AAS02810.1, AAS03029.1, AAS03111.1, AAS03249.1, AAS03640.1, AAS03794.1, AAS03863.1, AAS04349.1, AAS04498.1, AAS04673.1, AAS04908.1, AAS05890.1, AAS06426.1, AAS06854.1, AAS06862.1"			
OG0000023		"AAS02609.1, AAS02993.1, AAS03025.1, AAS03073.1, AAS03807.1, AAS03808.1, AAS04029.1, AAS04663.1, AAS04700.1, AAS04723.1, AAS04899.1, AAS05741.1, AAS06061.1, AAS06137.1, AAS06203.1, AAS06848.1"			
OG0000024	"CCC25203.1, CCC26978.1, CCC28888.1"	"AAS02533.1, AAS03926.1, AAS06081.1"	"ALV09398.1, ALV10975.1, ALV12672.1"	"CAC29605.1, CAC30983.1, CAC32187.1"	"AMC57576.1, AMC59519.1, AMC61625.1"
OG0000025	"CCC25684.1, CCC27867.1, CCC27960.1, CCC28054.1, CCC28912.1"		"ALV09831.1, ALV11765.1, ALV11854.1, ALV11935.1, ALV12692.1"		"AMC58105.1, AMC60506.1, AMC60607.1, AMC60714.1, AMC61653.1"
OG0000026	CCC26021.1	"AAS02445.1, AAS02543.1, AAS03201.1, AAS03747.1, AAS03816.1, AAS03915.1, AAS04280.1, AAS04371.1, AAS04798.1, AAS06134.1, AAS06737.1"	ALV10141.1	CAC31307.1	AMC58475.1
OG0000027	"CCC26120.1, CCC26289.1, CCC26885.1, CCC27429.1, CCC27436.1"		"ALV10230.1, ALV10376.1, ALV10885.1, ALV11378.1"	"CAC31437.1, CAC31561.1"	"AMC58593.1, AMC58768.1, AMC59420.1, AMC60028.1"
OG0000028	"CCC26121.1, CCC26288.1, CCC26884.1, CCC27430.1, CCC27437.1"	AAS03825.1	"ALV10231.1, ALV10375.1, ALV10884.1"	"CAC31436.1, CAC31562.1"	"AMC58594.1, AMC58767.1, AMC59419.1, AMC60029.1"
OG0000029	"CCC26336.1, CCC28162.1"	"AAS02366.1, AAS03700.1, AAS03756.1, AAS04515.1, AAS04698.1, AAS04854.1, AAS04855.1, AAS05091.1"	"ALV10417.1, ALV12026.1"	CAC31475.1	"AMC58820.1, AMC60824.1"
OG0000030	"CCC26855.1, CCC27890.1, CCC28407.1, CCC28829.1"	AAS04472.1	"ALV09981.1, ALV11788.1"		"AMC58271.1, AMC58498.1, AMC59134.1, AMC59376.1, AMC60530.1, AMC60696.1, AMC60875.1, AMC60935.1"
OG0000031	CCC25239.1	"AAS02997.1, AAS03097.1, AAS04388.1, AAS04505.1, AAS04659.1, AAS04672.1, AAS04717.1, AAS05064.1, AAS06054.1, AAS06151.1, AAS06209.1"	ALV09428.1		AMC57616.1
OG0000032	"CCC25242.1, CCC25668.1"	"AAS03076.1, AAS04433.1, AAS04506.1, AAS05839.1, AAS06154.1, AAS06634.1"	"ALV09431.1, ALV09817.1"	CAC32121.1	"AMC57619.1, AMC57620.1, AMC58088.1"
OG0000033	"CCC25243.1, CCC25669.1"	"AAS02426.1, AAS03077.1, AAS04169.1, AAS04432.1, AAS04507.1, AAS06155.1, AAS06635.1"	"ALV09432.1, ALV09818.1"	CAC32122.1	"AMC57621.1, AMC58089.1"
OG0000034	"CCC26012.1, CCC26357.1, CCC26359.1, CCC26832.1"	"AAS04343.1, AAS04348.1, AAS04821.1, AAS05937.1"	"ALV10434.1, ALV10843.1"		"AMC58466.1, AMC58843.1, AMC58845.1, AMC59364.1"
OG0000035	"CCC26273.1, CCC28904.1, CCC28908.1"	"AAS04011.1, AAS04548.1, AAS06271.1, AAS06313.1"	"ALV12686.1, ALV12688.1, ALV12911.1"	CAC31611.1	"AMC58753.1, AMC61644.1, AMC61649.1"
OG0000036	"CCC26793.1, CCC26879.1, CCC26881.1, CCC26882.1"	AAS03823.1	"ALV10809.1, ALV10882.1, ALV12983.1, ALV12984.1"		"AMC59319.1, AMC59414.1, AMC59416.1, AMC59417.1, AMC60613.1"
OG0000037	"CCC25167.1, CCC25178.1, CCC26050.1"	AAS06834.1	"ALV09367.1, ALV09376.1, ALV10166.1"	"CAC30942.1, CAC30955.1"	"AMC57536.1, AMC57547.1, AMC57548.1, AMC58506.1"
OG0000038	"CCC25359.1, CCC26480.1, CCC28099.1"	"AAS02439.1, AAS06331.1"	"ALV09544.1, ALV10547.1, ALV13125.1"	"CAC30046.1, CAC32065.1"	"AMC57754.1, AMC58978.1, AMC60759.1"
OG0000039	"CCC25685.1, CCC27866.1, CCC28053.1, CCC28911.1"		"ALV09832.1, ALV11764.1, ALV11934.1, ALV12691.1"		"AMC58106.1, AMC60505.1, AMC60606.1, AMC60713.1, AMC61652.1"
OG0000040	CCC26007.1	"AAS02649.1, AAS03187.1, AAS04103.1, AAS04330.1, AAS04513.1, AAS04554.1, AAS04840.1, AAS05198.1, AAS06126.1, AAS06169.1"	ALV10130.1		AMC58460.1
OG0000041	CCC26487.1	"AAS03444.1, AAS03758.1, AAS03767.1, AAS03780.1, AAS03937.1, AAS04335.1, AAS04517.1, AAS04693.1, AAS06059.1, AAS06144.1"	ALV10553.1		AMC58986.1
OG0000042	CCC25467.1	"AAS02760.1, AAS03370.1, AAS06726.1"	"ALV09639.1, ALV12802.1, ALV12825.1"		"AMC57805.1, AMC57868.1, AMC57869.1, AMC58003.1, AMC58612.1"
OG0000043	"CCC25971.1, CCC26454.1, CCC27573.1"		"ALV09633.1, ALV10097.1, ALV10521.1, ALV11499.1"	CAC30706.1	"AMC57859.1, AMC58417.1, AMC58948.1, AMC60182.1"
OG0000044	"CCC26274.1, CCC28907.1"	"AAS04549.1, AAS04550.1, AAS05628.1"	"ALV10366.1, ALV12687.1, ALV12952.1"	CAC31612.1	"AMC58754.1, AMC59132.1, AMC61648.1"
OG0000045	"CCC26412.1, CCC26413.1, CCC26414.1, CCC26415.1"	AAS04757.1	"ALV10482.1, ALV10483.1, ALV10484.1"		"AMC58902.1, AMC58903.1, AMC58904.1, AMC58905.1"
OG0000046	"CCC26848.1, CCC28802.1"	"AAS02650.1, AAS03793.1, AAS04337.1, AAS04621.1, AAS05978.1, AAS06045.1"	"ALV10857.1, ALV12602.1"		"AMC59382.1, AMC61534.1"
OG0000047	CCC26902.1	"AAS02904.1, AAS03471.1, AAS03834.1, AAS03837.1, AAS03840.1, AAS05102.1, AAS05103.1, AAS05706.1, AAS05968.1"	ALV10902.1		AMC59440.1
OG0000048	"CCC25246.1, CCC25672.1"	"AAS03081.1, AAS04510.1, AAS06158.1, AAS06638.1"	"ALV09820.1, ALV12790.1"	CAC32125.1	"AMC57624.1, AMC58092.1"
OG0000049	"CCC25466.1, CCC26946.1"	"AAS03745.1, AAS03878.1, AAS05813.1, AAS06424.1"	"ALV09638.1, ALV10945.1"	CAC31016.1	"AMC57867.1, AMC59486.1"
OG0000050	"CCC26623.1, CCC26625.1"	"AAS03991.1, AAS05188.1, AAS05713.1, AAS06312.1"	"ALV10663.1, ALV10665.1"	CAC31864.1	"AMC59137.1, AMC59139.1"
OG0000051	CCC26790.1	"AAS03749.1, AAS03782.1, AAS03936.1, AAS04201.1, AAS04812.1, AAS05197.1, AAS05769.1, AAS05882.1, AAS06010.1"	ALV10806.1		
OG0000052	"CCC26844.1, CCC27432.1, CCC27433.1, CCC27434.1"		ALV10853.1		"AMC59377.1, AMC60031.1, AMC60032.1, AMC60033.1, AMC60034.1, AMC60035.1"
OG0000053	"CCC27326.1, CCC27327.1"	"AAS04315.1, AAS04316.1, AAS06035.1"	"ALV11287.1, ALV11288.1"	"CAC30606.1, CAC30607.1"	"AMC59920.1, AMC59921.1"
OG0000054	CCC28610.1	"AAS02375.1, AAS02604.1, AAS02605.1, AAS02854.1, AAS03695.1, AAS05877.1, AAS06099.1, AAS06856.1"	ALV12438.1		AMC61332.1
OG0000055	CCC28637.1	"AAS02827.1, AAS03003.1, AAS03041.1, AAS03337.1, AAS04377.1, AAS04724.1, AAS04963.1, AAS05887.1"	ALV13204.1		AMC61359.1
OG0000056	CCC28645.1	"AAS02820.1, AAS02998.1, AAS03032.1, AAS03064.1, AAS03776.1, AAS04545.1, AAS04670.1, AAS04680.1"	ALV12469.1		AMC61368.1
OG0000057	CCC25176.1	"AAS03559.1, AAS03737.1, AAS04186.1, AAS04187.1, AAS04188.1, AAS04489.1"	ALV09374.1	CAC30951.1	AMC57545.1
OG0000058	"CCC25514.1, CCC28500.1"	"AAS06486.1, AAS06815.1"	"ALV09685.1, ALV12352.1"	"CAC29825.1, CAC29889.1"	"AMC57919.1, AMC61197.1"
OG0000059	CCC25823.1		"ALV09964.1, ALV12666.1"		"AMC57804.1, AMC58249.1, AMC58896.1, AMC59135.1, AMC60531.1, AMC60695.1, AMC61617.1"
OG0000060	"CCC26009.1, CCC26013.1"	"AAS03189.1, AAS05938.1, AAS06722.1"	"ALV10132.1, ALV10134.1"	CAC31050.1	"AMC58462.1, AMC58467.1"
OG0000061	"CCC26268.1, CCC27089.1"	"AAS04356.1, AAS04924.1, AAS05043.1"	"ALV10362.1, ALV11075.1"	CAC30439.1	"AMC58749.1, AMC59649.1"
OG0000062	"CCC26285.1, CCC26547.1, CCC27454.1"		"ALV10373.1, ALV10610.1, ALV11391.1"	CAC31433.1	"AMC58765.1, AMC59055.1, AMC60053.1"
OG0000063	"CCC26287.1, CCC26457.1, CCC28560.1"		"ALV10374.1, ALV10525.1, ALV12396.1"	CAC31563.1	"AMC58766.1, AMC58953.1, AMC61263.1"
OG0000064	"CCC26744.1, CCC26753.1"	"AAS03686.1, AAS03689.1, AAS04959.1"	"ALV10770.1, ALV10774.1"		"AMC59266.1, AMC59267.1, AMC59273.1"
OG0000065	CCC27375.1	"AAS03272.1, AAS03488.1, AAS04069.1, AAS05037.1, AAS05808.1, AAS06596.1"	ALV13039.1	CAC29966.1	AMC59970.1
OG0000066	CCC28638.1	"AAS02391.1, AAS02469.1, AAS02826.1, AAS03042.1, AAS03286.1, AAS04686.1, AAS04975.1"	ALV12463.1		AMC61360.1
OG0000067	CCC28716.1	"AAS02345.1, AAS02421.1, AAS03166.1, AAS03467.1, AAS04467.1, AAS04591.1, AAS06309.1"	ALV13213.1		AMC61440.1
OG0000068		"AAS03059.1, AAS03060.1, AAS03096.1, AAS03944.1, AAS04674.1, AAS04706.1, AAS05088.1, AAS05089.1, AAS05093.1"		CAC30968.1	
OG0000069	"CCC25241.1, CCC25667.1"	"AAS06153.1, AAS06633.1"	"ALV09430.1, ALV09816.1"	CAC32120.1	"AMC57618.1, AMC58087.1"
OG0000070	"CCC25244.1, CCC25670.1"	"AAS06156.1, AAS06636.1"	"ALV09433.1, ALV12834.1"	CAC32123.1	"AMC57622.1, AMC58090.1"
OG0000071	"CCC25245.1, CCC25671.1"	"AAS06157.1, AAS06637.1"	"ALV09434.1, ALV09819.1"	CAC32124.1	"AMC57623.1, AMC58091.1"
OG0000072	"CCC25247.1, CCC25673.1"	"AAS06159.1, AAS06639.1"	"ALV09435.1, ALV12835.1"	CAC32126.1	"AMC57625.1, AMC58093.1"
OG0000073	CCC25290.1	"AAS03755.1, AAS03762.1, AAS04052.1, AAS04681.1, AAS06145.1, AAS06205.1"	ALV09473.1		AMC57674.1
OG0000074	"CCC25317.1, CCC26561.1"	"AAS03512.1, AAS06244.1"	"ALV09502.1, ALV10623.1"	CAC32094.1	"AMC57703.1, AMC59069.1"
OG0000075	"CCC25334.1, CCC27411.1"	"AAS04419.1, AAS06257.1"	"ALV09518.1, ALV13043.1"	CAC31225.1	"AMC57720.1, AMC60009.1"
OG0000076	"CCC25808.1, CCC25813.1, CCC28871.1"		"ALV09952.1, ALV09956.1, ALV13235.1"		"AMC58234.1, AMC58239.1, AMC61603.1"
OG0000077	"CCC26161.1, CCC28569.1"	"AAS03340.1, AAS03773.1"	"ALV10264.1, ALV12400.1"	CAC29822.1	"AMC58635.1, AMC61272.1"
OG0000078	CCC26310.1	"AAS03087.1, AAS03666.1, AAS04028.1, AAS04876.1, AAS05645.1, AAS05763.1"	ALV10397.1		AMC58789.1
OG0000079	CCC26450.1	"AAS03266.1, AAS03663.1, AAS03664.1, AAS04829.1"	ALV10517.1	CAC30703.1	"AMC58942.1, AMC58943.1"
OG0000080	"CCC26520.1, CCC27570.1"	"AAS03475.1, AAS04618.1"	"ALV10580.1, ALV11497.1"	CAC31624.1	"AMC59020.1, AMC60177.1"
OG0000081	CCC26657.1	"AAS02443.1, AAS03382.1, AAS03580.1, AAS03788.1, AAS04499.1, AAS04791.1"	ALV10695.1		AMC59174.1
OG0000082	"CCC26808.1, CCC26865.1"	"AAS03763.1, AAS05055.1, AAS05092.1"	"ALV10823.1, ALV12980.1"		"AMC59336.1, AMC59401.1"
OG0000083	"CCC27087.1, CCC27111.1"	"AAS04058.1, AAS04059.1, AAS04071.1"	"ALV11073.1, ALV11094.1"		"AMC59647.1, AMC59672.1"
OG0000084	"CCC27166.1, CCC28982.1"	AAS06876.1	"ALV11144.1, ALV12746.1"		"AMC59735.1, AMC59738.1, AMC59739.1, AMC61721.1"
OG0000085	CCC28618.1	"AAS02847.1, AAS03008.1, AAS03013.1, AAS03750.1, AAS03800.1, AAS05948.1"	ALV13202.1		AMC61340.1
OG0000086	CCC28843.1	"AAS02572.1, AAS02584.1, AAS02587.1, AAS05672.1, AAS05745.1, AAS06860.1"	ALV12630.1		AMC61574.1
OG0000087		"AAS03037.1, AAS03250.1, AAS03801.1, AAS04653.1, AAS05051.1, AAS05684.1, AAS05689.1, AAS06058.1, AAS06865.1"			
OG0000088	"CCC25138.1, CCC28268.1"	AAS05841.1	"ALV09340.1, ALV12121.1"	CAC30153.1	"AMC57501.1, AMC60945.1"
OG0000089	CCC25141.1	"AAS04036.1, AAS04043.1, AAS04100.1, AAS06597.1"	ALV09344.1	CAC29824.1	AMC57506.1
OG0000090	"CCC25142.1, CCC25513.1"	AAS06483.1	"ALV09345.1, ALV09684.1"	CAC29823.1	"AMC57507.1, AMC57918.1"
OG0000091	"CCC25144.1, CCC26180.1"	AAS05016.1	"ALV09347.1, ALV10283.1"	CAC30908.1	"AMC57510.1, AMC58655.1"
OG0000092	"CCC25420.1, CCC27209.1"		"ALV09597.1, ALV11184.1"	"CAC31685.1, CAC31686.1"	"AMC57818.1, AMC59785.1"
OG0000093	"CCC25540.1, CCC26217.1"	"AAS02615.1, AAS06509.1"	"ALV09709.1, ALV10317.1"		"AMC57945.1, AMC58695.1"
OG0000094	"CCC25598.1, CCC25858.1"	"AAS02925.1, AAS06561.1"	"ALV09754.1, ALV09998.1"		"AMC58008.1, AMC58290.1"
OG0000095	"CCC25609.1, CCC28959.1"	"AAS05591.1, AAS06576.1"	ALV09762.1	CAC29556.1	"AMC58019.1, AMC61695.1"
OG0000096	"CCC25641.1, CCC26071.1"	AAS06608.1	"ALV09794.1, ALV10185.1"	CAC31793.1	"AMC58055.1, AMC58531.1"
OG0000097	CCC25839.1	"AAS02570.1, AAS02745.1, AAS02906.1, AAS02981.1, AAS03167.1, AAS04619.1"	ALV09978.1		
OG0000098	CCC25850.1	"AAS02653.1, AAS02917.1, AAS03047.1, AAS04368.1, AAS04849.1, AAS06140.1"			AMC58282.1
OG0000099	"CCC25897.1, CCC28194.1"	AAS02962.1	"ALV12056.1, ALV12853.1"	CAC31153.1	"AMC58338.1, AMC60860.1"
OG0000100	CCC25925.1	"AAS03006.1, AAS05823.1, AAS05902.1, AAS06867.1"	ALV10059.1	CAC30305.1	AMC58367.1
OG0000101	CCC26155.1	"AAS03094.1, AAS03334.1, AAS03910.1, AAS04714.1"	ALV10261.1	CAC31918.1	AMC58629.1
OG0000102	"CCC26360.1, CCC28411.1"	"AAS02547.1, AAS04820.1"	"ALV10435.1, ALV12280.1"		"AMC58846.1, AMC61097.1"
OG0000103	"CCC26622.1, CCC28027.1"	AAS06310.1	"ALV10662.1, ALV11910.1"	CAC29638.1	"AMC59136.1, AMC60681.1"
OG0000104	CCC26836.1	"AAS03648.1, AAS03774.1, AAS04417.1, AAS06015.1, AAS06016.1"	ALV12976.1		AMC59368.1
